"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Violaceae"
23781	41189	"Gallanech Beg"	56.38444	-5.50139	4	"AWI"	4	-103	67	-15	21	0	5	0	0	3	0	14	2	0	0	0	0	10	0	113	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	72	0	0	17	0	113	0	15	1	0	0	0	0	0	0	0	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	16	"AWI"	16	-66	225	56	12	1	1	0	0	1	0	6	1	0	0	0	0	3	1	195	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	210	0	0	23	0	26	0	8	1	0	0	0	0	0	0	0	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	32	"AWI"	32	2	347	161	9	2	3	0	0	3	0	2	0	0	0	0	0	4	0	265	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	98	0	0	14	0	8	0	7	2	0	4	0	0	0	0	0	1
23781	41189	"Gallanech Beg"	56.38444	-5.50139	48	"AWI"	48	103	441	269	9	2	3	0	0	4	0	5	0	0	1	4	0	12	0	217	3	0	0	1	0	0	1	0	0	1	0	5	0	0	1	0	78	0	1	11	0	28	0	7	1	0	0	0	1	2	0	1	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	64	"AWI"	64	226	543	392	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	66	0	0	4	0	9	0	4	2	0	0	0	0	0	0	0	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	96	"AWI"	96	439	918	673	7	0	1	0	0	4	0	12	0	0	0	0	0	3	0	244	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	86	0	0	20	0	16	0	12	1	0	0	0	0	0	0	0	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	112	"AWI"	112	613	1032	825	15	0	1	0	0	0	0	14	1	0	0	0	0	7	0	253	0	0	0	0	0	6	0	0	0	0	1	0	0	0	1	0	105	0	0	24	0	22	0	7	5	0	0	0	0	0	1	1	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	124	"AWI"	124	718	1125	932	24	1	5	0	0	0	0	18	0	0	0	0	0	12	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	4	0	21	0	3	63	0	0	0	0	0	0	2	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	136	"AWI"	136	780	1262	1020	33	0	0	0	1	1	0	42	2	0	0	0	0	8	1	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	5	0	0	0	1	101	0	0	0	0	0	1	0	0
23781	41189	"Gallanech Beg"	56.38444	-5.50139	144	"AWI"	144	823	1314	1071	4	0	0	0	0	0	0	5	0	0	0	0	0	6	0	438	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	8	0	26	0	0	7	0	0	1	0	2	0	0	0
