"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acacia"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Casuarina"	"Cedrus"	"Ceratonia"	"Cistaceae"	"Corylus"	"Crataegus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Laurus"	"Liliaceae"	"Olea"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Phoenix"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Tamarix"	"Thymelaeaceae"	"Urticaceae"	"Vitaceae"	"Ziziphus"	"Zygophyllaceae"
26027	45113	"Ein Gedi"	31.41889	35.38833	-18	"AWI"	-18	-23	97	33	0	0	157	4	1	53	0	0	0	9	0	7	4	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	28	0	0	0	15	21	5	37	1	102	0	0	13	126	0	24	0	2	0	0	0	2	0	0	0	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	12	"AWI"	12	119	285	202	0	0	273	2	0	27	0	0	0	11	0	28	6	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	9	0	0	4	8	8	8	23	0	51	0	0	10	67	0	8	0	2	0	0	0	1	0	0	0	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	42	"AWI"	42	192	528	334	0	0	200	10	0	50	0	0	0	9	0	23	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	3	0	0	8	0	0	1	2	13	5	0	0	95	0	0	15	63	0	28	1	9	1	0	0	3	0	0	0	1	2
26027	45113	"Ein Gedi"	31.41889	35.38833	72	"AWI"	72	277	730	476	0	1	192	0	1	90	0	0	0	17	0	43	0	0	0	0	0	0	1	5	5	0	1	0	0	0	0	0	0	0	30	0	0	2	0	26	9	26	0	73	2	0	9	56	0	28	1	2	0	0	0	1	0	0	3	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	102	"AWI"	102	386	874	642	0	0	175	13	0	75	0	0	0	9	0	17	0	0	0	0	0	0	2	6	4	0	0	2	0	0	0	1	1	0	28	0	0	5	0	45	10	29	0	64	1	1	3	47	0	25	3	8	1	1	0	5	0	2	1	0	2
26027	45113	"Ein Gedi"	31.41889	35.38833	132	"AWI"	132	542	955	786	1	0	170	4	0	95	0	0	0	6	0	14	0	1	0	0	0	0	9	4	2	0	1	0	0	1	0	0	0	0	62	0	0	1	0	139	14	52	1	60	2	0	4	41	0	16	3	5	0	0	0	3	0	2	0	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	162	"AWI"	162	796	1048	922	0	0	200	6	0	103	0	0	0	8	0	12	0	0	0	0	0	0	3	4	1	0	0	0	0	2	0	0	0	0	42	0	0	0	0	5	4	23	0	33	0	0	2	15	0	4	0	5	0	0	0	1	0	3	0	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	192	"AWI"	192	918	1296	1097	1	1	178	1	0	55	0	0	0	5	0	14	0	0	0	0	0	0	3	4	1	0	2	0	1	2	2	1	0	1	153	0	0	3	0	7	3	24	0	73	0	0	3	15	8	6	8	9	3	0	0	6	0	1	3	1	0
26027	45113	"Ein Gedi"	31.41889	35.38833	222	"AWI"	222	1096	1489	1289	0	0	350	1	0	23	1	0	0	12	0	14	0	1	0	0	0	0	0	2	3	0	1	0	2	0	0	0	0	1	65	0	0	0	1	13	0	0	0	17	1	0	2	3	0	0	0	1	0	0	0	4	0	0	0	0	0
26027	45113	"Ein Gedi"	31.41889	35.38833	244	"AWI"	244	1275	1610	1433	0	1	317	8	0	67	0	0	0	10	0	18	0	0	0	0	0	0	1	4	8	0	2	0	1	1	0	0	0	0	66	0	0	0	0	27	10	33	0	47	1	0	15	9	0	6	6	2	2	0	0	5	0	0	1	0	0
