"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3260	4228	"Breidfeld"	50.12278	6.06306	20	"AWI"	20	716	2283	1563	0	0	56	1	0	0	0	185	0	0	0	0	12	30	3	52	0	1	0	5	0	0	0	0	3	0	1	4	76	20	0	14	0	5	4	0	1	1
3260	4228	"Breidfeld"	50.12278	6.06306	22	"AWI"	22	953	2362	1749	0	0	44	1	0	0	0	107	1	0	0	0	8	23	1	35	0	2	0	2	0	0	0	0	1	0	1	4	42	26	1	6	0	1	8	0	1	1
3260	4228	"Breidfeld"	50.12278	6.06306	24	"AWI"	24	1090	2467	1945	0	0	52	1	0	1	0	197	0	0	0	0	15	19	0	48	0	0	1	6	0	1	0	0	6	0	6	12	72	24	0	6	1	4	7	0	1	0
3260	4228	"Breidfeld"	50.12278	6.06306	26	"AWI"	26	1369	2584	2112	0	0	35	0	0	0	0	119	0	0	0	0	6	11	0	35	0	1	0	0	0	0	0	0	2	0	4	1	17	9	1	4	0	0	3	0	1	0
3260	4228	"Breidfeld"	50.12278	6.06306	28	"AWI"	28	1740	2646	2268	0	0	32	0	0	0	0	125	0	0	0	0	22	22	0	43	0	1	0	5	0	0	0	0	4	0	3	1	40	20	0	2	0	1	1	0	1	0
3260	4228	"Breidfeld"	50.12278	6.06306	30	"AWI"	30	1969	2768	2435	0	1	56	0	0	1	2	20	0	0	0	1	18	32	0	103	0	0	0	5	0	0	0	0	0	0	3	0	38	14	0	5	0	1	4	0	7	2
3260	4228	"Breidfeld"	50.12278	6.06306	32	"AWI"	32	2154	2810	2526	0	0	67	0	0	0	0	9	0	0	0	1	25	22	0	143	0	6	0	6	0	0	0	0	2	0	2	0	0	20	0	7	1	3	0	0	0	2
3260	4228	"Breidfeld"	50.12278	6.06306	34	"AWI"	34	2281	2885	2634	0	1	102	1	0	0	0	10	0	0	0	0	19	8	0	120	0	4	0	1	0	0	0	0	1	0	3	0	0	16	0	3	0	2	0	0	5	1
3260	4228	"Breidfeld"	50.12278	6.06306	36	"AWI"	36	2389	2963	2721	1	0	83	0	0	0	0	17	0	0	0	0	19	11	0	102	2	6	0	4	0	0	0	0	0	0	0	0	0	18	0	2	0	2	1	0	11	2
3260	4228	"Breidfeld"	50.12278	6.06306	38	"AWI"	38	2474	3013	2780	0	3	91	1	0	0	0	16	0	0	0	0	10	7	0	102	2	6	0	8	0	0	0	0	0	0	2	0	10	17	0	3	0	2	0	1	10	2
