"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Ligustrum"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Salix"	"Sambucus"	"Santalaceae"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15815	24330	"Les Humelles"	47.39	-0.54639	90	"AWI"	90	962	1721	1382	1.19402985074627	0	0.597014925373134	0	0	5.07462686567164	22.9850746268657	0	0.597014925373134	0.895522388059702	2.98507462686567	0	0	1.7910447761194	39.4029850746269	0.298507462686567	0	9.25373134328358	0.597014925373134	0	0	0.895522388059702	0	1.19402985074627	1.19402985074627	0.298507462686567	0	1.19402985074627	0	0.597014925373134	0.597014925373134	0	0.597014925373134	0	0	0	2.08955223880597	0	0.895522388059702	0	3.28358208955224	0.298507462686567	0.298507462686567	0.298507462686567	0.597014925373134	0
15815	24330	"Les Humelles"	47.39	-0.54639	95	"AWI"	95	1104	1791	1453	0	0	0	0	0	6.13079019073569	7.76566757493188	0	0.408719346049046	0.681198910081744	0.136239782016349	0	0	0.136239782016349	72.4795640326976	0	0	6.40326975476839	1.08991825613079	0	0	0.136239782016349	0	0.136239782016349	0.136239782016349	0	0	1.63487738419619	0	0	0	0	0	0	0	0	1.22615803814714	0	0	0	1.22615803814714	0	0	0	0.272479564032698	0
15815	24330	"Les Humelles"	47.39	-0.54639	100	"AWI"	100	1261	1843	1527	0.662251655629139	0	0.33112582781457	0	0	16.5562913907285	6.62251655629139	0	0	5.62913907284768	2.98013245033113	0	0	8.94039735099338	11.2582781456954	0	0	19.8675496688742	2.31788079470199	0	0	0.993377483443709	0	0.662251655629139	1.65562913907285	0	0	2.31788079470199	0	0.662251655629139	0.662251655629139	0	0.993377483443709	0	0.33112582781457	0.33112582781457	4.3046357615894	0	0.993377483443709	0.33112582781457	8.27814569536424	0.662251655629139	0.33112582781457	0.662251655629139	0.662251655629139	0
15815	24330	"Les Humelles"	47.39	-0.54639	105	"AWI"	105	1335	1914	1605	0.974025974025974	0	0.649350649350649	0.649350649350649	0	11.6883116883117	6.81818181818182	0	1.62337662337662	4.22077922077922	2.27272727272727	0	0	9.09090909090909	2.5974025974026	1.2987012987013	0	29.2207792207792	2.27272727272727	0	0	0.974025974025974	0	1.62337662337662	1.62337662337662	0	0	0.649350649350649	0	0.649350649350649	0.649350649350649	0	0.974025974025974	0	0.324675324675325	0	4.87012987012987	0	0.974025974025974	0.324675324675325	9.74025974025974	1.94805194805195	0.324675324675325	0.324675324675325	0.649350649350649	0
15815	24330	"Les Humelles"	47.39	-0.54639	110	"AWI"	110	1375	2041	1679	0.313479623824451	0	0.626959247648903	0.313479623824451	0	21.0031347962382	10.9717868338558	0	0.626959247648903	4.07523510971787	2.19435736677116	0	0	1.88087774294671	11.2852664576803	0	0	30.7210031347962	1.88087774294671	0	0	0.940438871473354	0	0.626959247648903	0	0	0	5.01567398119122	0	0.313479623824451	0.626959247648903	0	0	0	0.313479623824451	0	1.25391849529781	0	0.313479623824451	0	3.44827586206897	0	0.626959247648903	0	0.626959247648903	0
15815	24330	"Les Humelles"	47.39	-0.54639	115	"AWI"	115	1434	2085	1741	0.649350649350649	0	0	0.324675324675325	0	18.1818181818182	11.038961038961	0	0.649350649350649	3.24675324675325	1.62337662337662	0	0	3.24675324675325	5.19480519480519	0.324675324675325	0	35.0649350649351	1.94805194805195	0	0	0.974025974025974	0	0.649350649350649	1.62337662337662	0	0	4.54545454545455	0	0	0	0	0.324675324675325	0	0	0.324675324675325	1.62337662337662	0	0.649350649350649	0	6.49350649350649	0	0.649350649350649	0	0.649350649350649	0
15815	24330	"Les Humelles"	47.39	-0.54639	120	"AWI"	120	1472	2149	1801	0	0	0	0	0	20.9302325581395	8.2687338501292	0	0	2.0671834625323	0	0	0	1.03359173126615	4.90956072351421	0.258397932816538	0	41.8604651162791	4.1343669250646	0	0	0.258397932816538	0	0.258397932816538	0.775193798449612	0	0	3.87596899224806	0	0	0.258397932816538	0	0	0	0	0	2.0671834625323	0	0	0	7.75193798449612	0	0.258397932816538	0	1.03359173126615	0
15815	24330	"Les Humelles"	47.39	-0.54639	125	"AWI"	125	1500	2246	1858	0	0	0.233644859813084	0	0	18.6915887850467	7.24299065420561	0	0.233644859813084	2.10280373831776	0	0	0	0.467289719626168	7.00934579439252	0.233644859813084	0	34.5794392523364	6.30841121495327	0	0	0.467289719626168	0	0.467289719626168	0.467289719626168	0	0	6.30841121495327	0	0	0.233644859813084	0	0	0	0	0	4.4392523364486	0	0	0	9.11214953271028	0	0	0	1.4018691588785	0
15815	24330	"Les Humelles"	47.39	-0.54639	130	"AWI"	130	1544	2332	1914	0.540540540540541	0.540540540540541	1.08108108108108	0	0	2.7027027027027	7.56756756756757	0	1.62162162162162	1.08108108108108	3.24324324324324	0	0	1.08108108108108	2.7027027027027	0	0	6.48648648648649	22.7027027027027	0	0	1.62162162162162	0	5.40540540540541	1.62162162162162	0	0	1.08108108108108	0.540540540540541	1.08108108108108	1.08108108108108	0	0	1.08108108108108	0.540540540540541	1.62162162162162	21.0810810810811	0	0	0.540540540540541	7.02702702702703	1.08108108108108	0	2.16216216216216	1.08108108108108	0
15815	24330	"Les Humelles"	47.39	-0.54639	135	"AWI"	135	1603	2371	1981	0	0	0.209205020920502	0	0	19.0376569037657	6.90376569037657	0	0.209205020920502	5.64853556485356	0	0	0	1.04602510460251	31.5899581589958	0	0	18.8284518828452	3.55648535564854	0	0	0.209205020920502	0	0.209205020920502	0.209205020920502	0	0	2.51046025104602	0	0	0.627615062761506	0	0	0	0	0	2.51046025104602	0	0	0	6.06694560669456	0	0	0	0.627615062761506	0
