"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	144	"AWI"	144	1300	3370	2204	0	1	0	2	0	1	0	0	171	0	0	0	1	0	0	0	0	10	0	54	0	0	0	0	0	25	0	0	1	4	0	0	0	0	0	0	0	0	1	0	214	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	1
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	154	"AWI"	154	1550	3591	2517	1	0	0	2	0	1	0	0	194	0	0	0	1	0	0	0	0	12	0	52	0	0	0	0	0	22	0	2	2	11	0	0	0	0	1	0	0	0	2	0	195	0	0	44	0	0	7	0	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	162	"AWI"	162	1696	3901	2764	0	0	0	1	0	1	0	0	180	0	0	1	0	0	0	0	0	7	0	42	0	0	0	0	0	20	0	2	1	10	0	0	0	0	0	0	0	0	0	0	189	0	0	25	1	0	6	0	0	0	1	3	0	0	0	0	2	3	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	170	"AWI"	170	1928	4030	3019	1	0	0	2	0	2	0	0	160	0	0	0	0	0	0	0	0	17	0	28	0	0	0	0	0	12	0	0	2	13	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	178	"AWI"	178	2069	4299	3272	0	1	0	0	0	3	0	0	173	0	0	1	0	0	0	0	0	8	0	35	0	0	0	0	0	21	0	2	0	10	1	0	0	0	1	0	0	0	0	0	221	1	0	24	0	0	5	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	186	"AWI"	186	2376	4450	3515	0	0	0	0	0	1	0	0	172	0	0	1	0	0	0	0	0	16	0	32	0	0	0	0	0	15	1	2	0	5	0	0	0	0	0	0	0	0	1	1	203	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	194	"AWI"	194	2580	4630	3765	0	1	0	1	0	3	0	0	164	0	0	0	0	0	0	0	0	13	0	26	0	0	0	1	0	6	0	2	0	21	0	1	0	0	0	0	0	0	0	0	246	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	16	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	202	"AWI"	202	2918	4794	3999	0	0	0	1	0	3	0	0	148	0	0	0	0	0	0	0	0	11	0	24	0	0	0	0	0	26	0	2	1	8	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	210	"AWI"	210	3188	4912	4264	1	0	0	3	0	2	1	0	140	0	0	1	0	0	0	0	0	9	0	41	0	0	0	0	0	14	1	1	0	9	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	3	12	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	218	"AWI"	218	3504	5077	4508	1	0	0	4	0	3	0	0	140	0	0	0	0	0	0	0	0	11	0	42	0	0	0	0	0	19	0	2	1	14	0	0	0	0	0	0	0	0	1	0	214	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	5	0	0	0	2	0	0
