"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Syringa"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
2985	3889	"Lake Varna"	43.192612	27.815084	1	"AWI"	1	-121	55	-39	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	20	"AWI"	20	-20	1169	393	0	3	4	0	0	0	3	0	0	2	4	1	3	0	0	0	0	0	4	42	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	10	0	0	6	0	0	0	0	0	2	0	0	0	1	0	2	1	0	0	2	3	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	40	"AWI"	40	39	2399	848	7	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	3	0	3	0	0	0	1	6	9	0	0	0	0	0	10	0	2	15	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	4	7	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	60	"AWI"	60	87	3635	1304	2	2	12	0	0	0	7	0	6	0	0	2	5	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	14	0	0	4	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	2	3	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	80	"AWI"	80	506	3848	1877	2	2	9	0	0	0	5	0	1	0	4	0	2	0	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	17	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
2985	3889	"Lake Varna"	43.192612	27.815084	100	"AWI"	100	760	4124	2526	2	3	7	0	0	0	7	0	2	0	0	0	3	0	0	0	0	0	6	23	0	0	0	0	0	0	0	2	0	8	3	1	0	2	1	0	46	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	140	"AWI"	140	2037	4823	3618	1	0	13	0	4	0	4	0	4	0	0	0	2	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	9	3	0	0	0	0	0	22	2	0	8	0	0	0	0	0	0	62	0	0	0	0	2	0	0	0	2	9	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	180	"AWI"	180	3535	5238	4766	0	5	0	0	0	0	10	0	0	0	0	0	5	0	0	1	0	0	0	20	0	0	0	0	3	3	0	3	0	5	0	0	0	0	0	0	40	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	200	"AWI"	200	3785	5342	4937	1	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	3	0	1	0	0	0	0	3	0	0	3	6	0	0	0	0	0	5	1	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	4	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	220	"AWI"	220	4014	5421	5074	0	0	2	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	230	"AWI"	230	4151	5488	5142	0	0	2	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	12	4	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	112	0	0	0	0	0	0	3	0	2	0	0	0	2	0	5	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	260	"AWI"	260	4380	5659	5282	2	3	7	0	0	0	10	0	6	0	0	0	3	0	0	0	0	2	12	21	0	0	0	0	0	0	0	2	2	2	5	0	0	1	0	0	30	1	0	8	0	0	0	0	0	0	61	0	0	2	0	2	0	0	0	0	6	3	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	280	"AWI"	280	4481	5721	5344	1	1	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	10	16	0	0	0	0	0	0	0	0	2	5	1	1	0	0	0	0	8	0	1	10	0	0	0	2	0	1	0	0	0	2	0	2	0	0	1	2	0	3	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	310	"AWI"	310	4626	5858	5431	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	1	14	0	0	1	0	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
