"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malus"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3519	4545	"Zbudovská blata"	49.073406	14.346472	0	"AWI"	0	-100	63	-18	0	0	25	8	0	6	0	23	1	0	0	0	0	1	0	0	0	14	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	17	128	11	500	0	0	0	5	0	0	2	2	8	0	0	0	1	0	6
3519	4545	"Zbudovská blata"	49.073406	14.346472	20	"AWI"	20	131	1187	564	38	0	64	3	0	5	0	36	0	0	0	1	0	0	0	0	6	80	0	0	0	0	7	1	1	0	8	0	0	0	0	0	0	1	25	153	10	0	0	0	0	5	0	0	3	9	12	1	2	1	2	1	4
3519	4545	"Zbudovská blata"	49.073406	14.346472	30	"AWI"	30	344	1470	904	49	0	96	2	0	2	0	26	0	2	0	0	1	3	0	0	29	136	0	0	0	0	9	1	0	0	6	0	0	0	0	0	0	1	72	200	0	0	0	0	0	4	0	0	2	15	10	0	0	5	3	1	5
3519	4545	"Zbudovská blata"	49.073406	14.346472	40	"AWI"	40	631	1719	1240	26	0	76	1	0	2	0	40	0	5	0	0	0	5	1	0	15	217	0	0	0	0	18	0	0	0	6	0	2	0	0	0	0	1	40	207	5	0	0	0	0	21	0	0	2	8	9	0	0	3	2	3	3
3519	4545	"Zbudovská blata"	49.073406	14.346472	50	"AWI"	50	998	1894	1551	11	0	16	1	0	1	0	5	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	45	0	0	0	0	0	2	0	0	1	0	4	0	0	0	1	6	0
3519	4545	"Zbudovská blata"	49.073406	14.346472	60	"AWI"	60	1685	2581	2005	103	0	66	0	0	1	0	12	0	0	0	0	0	2	0	0	17	111	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	42	177	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	2	0
3519	4545	"Zbudovská blata"	49.073406	14.346472	70	"AWI"	70	2060	5170	3075	117	0	115	0	0	2	0	22	0	0	0	0	0	3	0	0	10	305	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	77	82	0	0	0	0	0	5	0	0	1	0	4	0	0	1	5	0	11
3519	4545	"Zbudovská blata"	49.073406	14.346472	75	"AWI"	75	2479	5751	3819	108	0	122	0	0	0	0	45	0	0	0	0	0	0	0	0	9	264	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	1	72	151	0	0	0	0	1	5	0	0	2	0	1	0	0	0	1	4	0
3519	4545	"Zbudovská blata"	49.073406	14.346472	80	"AWI"	80	2701	6968	4482	149	0	45	0	0	0	0	31	0	0	0	0	0	0	0	0	7	275	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	59	123	0	0	0	0	0	9	0	0	1	0	1	0	0	0	2	0	0
3519	4545	"Zbudovská blata"	49.073406	14.346472	85	"AWI"	85	3313	7371	5220	38	0	88	0	0	1	0	61	0	0	0	0	2	1	0	0	5	113	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	2	39	81	0	0	0	0	0	14	0	0	2	1	4	0	0	0	0	2	1
3519	4545	"Zbudovská blata"	49.073406	14.346472	90	"AWI"	90	3626	8060	5967	111	1	170	0	0	3	0	14	0	0	0	0	3	1	0	0	23	110	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	54	49	0	0	0	0	0	6	0	0	1	0	7	0	0	5	2	3	3
