"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Hypericaceae"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	0	"AWI"	0	-149	20	-68	0	0	0	747	3	1	0	13	0	0	136	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	10	0	0	3	0	1	0	0	0	0	0	0	0	100	0	0	0	0	2	0	98	0	0	0	0	0	4	3	0	0	0	0	0	0	0	4	3	4	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	5	"AWI"	5	-86	240	43	0	0	0	330	2	1	0	3	0	0	41	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	1	75	0	1	0	0	1	0	54	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	10	"AWI"	10	-63	527	148	0	0	1	231	3	1	0	2	0	0	129	0	3	0	0	0	0	0	0	1	0	27	0	0	0	0	2	2	1	0	0	18	0	0	0	0	0	0	0	1	1	103	0	0	0	0	0	0	24	0	0	0	3	0	4	1	0	0	0	4	0	0	0	0	0	1	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	15	"AWI"	15	16	675	276	0	0	1	116	3	4	0	0	0	0	64	0	8	0	3	0	0	0	0	6	0	97	0	0	0	0	6	1	0	0	0	35	0	0	1	0	1	0	0	3	2	256	0	0	0	0	0	0	34	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	1	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	17	"AWI"	17	40	709	332	0	0	0	65	3	3	0	4	0	0	71	0	6	0	2	0	0	0	0	8	0	70	0	0	0	0	2	0	0	0	0	35	0	0	0	0	0	0	0	1	3	305	0	0	0	0	0	0	51	0	0	0	3	0	3	0	0	0	0	2	0	0	0	0	1	1	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	20	"AWI"	20	72	785	410	0	0	0	34	0	3	0	13	0	0	58	0	11	0	3	0	0	0	0	8	0	96	0	0	2	0	5	0	1	0	0	20	0	0	1	0	0	0	0	5	2	308	0	0	0	0	0	0	79	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	3	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	25	"AWI"	25	182	908	538	0	0	0	95	2	0	0	10	0	0	93	0	7	0	2	0	0	0	0	15	0	9	0	0	0	0	17	0	0	0	0	8	0	0	0	0	0	0	0	14	1	195	0	0	0	0	0	0	61	1	0	0	1	0	4	1	0	0	0	0	1	0	0	0	3	1	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	30	"AWI"	30	324	969	676	0	0	0	123	2	2	0	13	0	0	109	0	5	0	13	0	0	0	2	22	0	76	0	0	0	0	35	0	5	0	0	10	0	0	0	0	0	0	0	15	1	121	0	0	0	3	0	0	57	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	11	7	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	35	"AWI"	35	417	1100	821	0	0	0	80	2	3	0	3	0	0	207	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	19	0	1	0	0	4	0	0	0	0	0	0	0	16	2	612	0	0	0	0	0	0	55	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
14488	22689	"Schwanengrabenrinne"	52.52444	13.05639	40	"AWI"	40	692	1134	926	1	0	0	18	1	3	0	0	0	0	113	0	0	0	0	0	0	0	0	8	0	10	0	0	0	0	23	0	1	0	0	1	0	0	0	0	0	0	0	11	3	324	0	0	0	0	1	0	114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
