"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16151	24966	"Watten"	50.83361	2.21333	250	"AWI"	250	1367	1702	1532	0	0	65	19	0	3	0	2	0	12	0	0	0	0	0	0	0	0	0	126	0	350	0	0	0	18	0	4	0	0	0	0	0	0	0	0	1	28	0	34	1	0	0	0	5	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	5	4	0	0
16151	24966	"Watten"	50.83361	2.21333	435	"AWI"	435	1525	2073	1724	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16151	24966	"Watten"	50.83361	2.21333	555	"AWI"	555	1733	2509	1933	0	1	176	94	0	8	2	0	0	13	0	0	0	0	0	0	0	0	0	152	0	80	8	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	24	1	0	1	33	0	0	0	0	45	1	0	0	0	0	0	1	4	2	0	0	0	1	23	11	0	0
16151	24966	"Watten"	50.83361	2.21333	565	"AWI"	565	1760	2554	1973	0	0	42	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	6	0	0	0	0	26	0	0	0	0	0	0	0	0	2	0	0	0	0	4	3	0	1
16151	24966	"Watten"	50.83361	2.21333	635	"AWI"	635	1850	3076	2224	0	0	19	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	8	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	11	0	0	0	0	0	0	0	1	7	0	0	0	0	3	1	0	0
16151	24966	"Watten"	50.83361	2.21333	689	"AWI"	689	2491	3737	2881	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	36	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	4	0	0	0	0	0	2	0	0
16151	24966	"Watten"	50.83361	2.21333	755	"AWI"	755	3854	4808	4262	0	0	52	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	44	0	94	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	2	0	0	0	0	21	11	0	0
16151	24966	"Watten"	50.83361	2.21333	1115	"AWI"	1115	7283	7556	7443	0	0	78	34	0	2	1	1	0	5	0	0	0	0	0	0	0	0	0	255	0	12	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	27	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	1	34	23	0	0
16151	24966	"Watten"	50.83361	2.21333	1125	"AWI"	1125	7327	7564	7467	0	0	74	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	124	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	17	35	0	0
16151	24966	"Watten"	50.83361	2.21333	1145	"AWI"	1145	7414	7600	7516	0	0	58	17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	165	0	5	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	5	1	0	0	61	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	0	0
16151	24966	"Watten"	50.83361	2.21333	1165	"AWI"	1165	7467	7653	7570	0	0	39	35	0	2	1	6	0	9	0	0	0	0	0	0	0	0	0	158	0	27	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	1	61	1	0	0	0	0	0	0	1	0	0	0	0	0	21	27	0	0
16151	24966	"Watten"	50.83361	2.21333	1175	"AWI"	1175	7486	7690	7592	0	0	18	17	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	307	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	22	37	0	0
16151	24966	"Watten"	50.83361	2.21333	1195	"AWI"	1195	7509	7771	7637	0	0	87	65	0	0	1	5	0	3	0	0	0	0	0	0	0	0	0	417	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	75	0	0	0	0	35	1	0	0	0	0	0	0	1	0	0	0	0	0	30	57	0	0
16151	24966	"Watten"	50.83361	2.21333	1215	"AWI"	1215	7529	7866	7684	0	0	30	57	0	0	1	8	0	11	0	0	0	0	0	0	0	0	0	207	0	21	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	10	0	0	0	32	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	19	25	0	0
16151	24966	"Watten"	50.83361	2.21333	1225	"AWI"	1225	7535	7915	7708	0	0	36	32	0	3	1	4	0	12	0	0	0	0	0	0	0	0	0	310	0	36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	67	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	11	30	0	0
16151	24966	"Watten"	50.83361	2.21333	1235	"AWI"	1235	7545	7923	7717	0	0	18	15	0	2	1	3	0	7	0	0	0	0	0	0	0	0	0	180	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	20	37	0	0
16151	24966	"Watten"	50.83361	2.21333	1245	"AWI"	1245	7552	7937	7728	0	0	31	15	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	189	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	46	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0
16151	24966	"Watten"	50.83361	2.21333	1255	"AWI"	1255	7557	7948	7738	0	0	31	37	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	235	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	71	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	17	20	0	0
