"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
13381	20012	"Donvold"	68.13333	13.58333	3	"AWI"	3	-114	92	-18	0	0.397350993377483	0	0	0	0	6.62251655629139	0	0.264900662251656	0	0	0.132450331125828	87.0198675496689	0	0	0	0.529801324503311	3.3112582781457	0	0	0	0	0	1.72185430463576	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	10	"AWI"	10	-77	358	62	0	0.344234079173838	0	0	0	0	7.40103270223752	0	0	0	0	0.344234079173838	83.9931153184165	0	0	0	0.172117039586919	3.6144578313253	0	0	0	0	0	0.688468158347676	3.44234079173838	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	17	"AWI"	17	-24	462	162	0	1.08225108225108	0	0.216450216450216	0	0	10.6060606060606	0	0	0	0	1.2987012987013	82.6839826839827	0	0	0	0.216450216450216	3.8961038961039	0	0	0	0	0	0	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	24	"AWI"	24	31	587	257	0	0.0711237553342817	0	0	0	0	3.12944523470839	0	0	0.0711237553342817	0	0	94.6657183499289	0	0	0	0	1.84921763869132	0	0	0	0	0	0.213371266002845	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	32	"AWI"	32	104	714	371	0	0.194174757281553	0	0.0388349514563107	0	0	8.27184466019417	0.0388349514563107	0	0	0	0	88.1941747572816	0	0	0	0.0776699029126214	1.12621359223301	0	0	0	0	0	0.0776699029126214	1.98058252427184	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	40	"AWI"	40	182	839	492	0	0.723327305605787	0.180831826401447	0	0	0	14.2857142857143	0	0	0	0	0.180831826401447	71.0669077757685	0	0	0	0.361663652802893	5.60578661844485	0	0	0	0	0	0	7.05244122965642	0	0.180831826401447	0	0.361663652802893	0	0
13381	20012	"Donvold"	68.13333	13.58333	50	"AWI"	50	301	951	629	0	0.458015267175573	0	0	0	0	11.7557251908397	0	0.152671755725191	0	0	2.59541984732824	75.1145038167939	0	0	0	0.458015267175573	7.17557251908397	0	0	0	0	0	0.458015267175573	1.83206106870229	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	58	"AWI"	58	421	1025	743	0	1.76991150442478	0.221238938053097	0	0	0	25.2212389380531	0	0.663716814159292	0	0	19.6902654867257	33.4070796460177	0	0	0	1.54867256637168	13.2743362831858	0	0	0	0	0	1.10619469026549	2.65486725663717	0	0.221238938053097	0	0.221238938053097	0	0
13381	20012	"Donvold"	68.13333	13.58333	68	"AWI"	68	586	1124	881	0	2.7027027027027	0	0.491400491400491	0	0	25.0614250614251	0	0	0	0	3.93120393120393	36.6093366093366	0	0	0	0.491400491400491	11.0565110565111	0	0	0	0	0	0.737100737100737	0	18.6732186732187	0	0	0.245700245700246	0	0
13381	20012	"Donvold"	68.13333	13.58333	78	"AWI"	78	764	1214	1010	0	0.304878048780488	0	0	0	0.457317073170732	17.2256097560976	0	0	0	0	0	67.0731707317073	0	0	0	0.609756097560976	10.0609756097561	0	0	0	0	0	0.76219512195122	3.04878048780488	0	0.152439024390244	0	0.304878048780488	0	0
