"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16655	26433	"Gradenmoos"	46.96539	12.808492	10	"AWI"	10	-62	441	100	8	0	49	9	0	3	0	9	6	1	0	0	0	1	5	479	0	0	10	0	0	2	0	0	6	0	0	0	472	390	13	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
16655	26433	"Gradenmoos"	46.96539	12.808492	15	"AWI"	15	-8	528	195	2	1	128	3	0	14	0	17	2	0	0	0	0	5	2	449	0	225	15	0	0	4	0	0	7	2	0	1	211	383	13	169	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
16655	26433	"Gradenmoos"	46.96539	12.808492	20	"AWI"	20	22	687	282	4	0	139	6	0	10	0	10	3	1	0	0	0	2	3	158	1	0	20	0	0	5	0	2	7	13	0	0	256	346	17	0	1	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	35	"AWI"	35	219	926	555	36	0	390	2	0	7	0	14	3	1	0	0	0	1	4	113	0	0	64	0	1	0	6	0	10	0	0	1	337	287	3	0	1	0	0	0	0	0	6	7	0	0	0	2	0	0	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	50	"AWI"	50	414	1175	827	27	0	118	2	0	4	0	4	0	0	0	0	0	0	0	291	0	0	34	0	0	2	0	0	0	0	0	0	244	201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	60	"AWI"	60	604	1309	1017	47	4	218	2	0	6	0	22	2	1	0	0	0	0	0	345	0	0	58	0	0	2	0	0	2	8	0	0	288	246	3	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	70	"AWI"	70	827	1409	1191	42	1	143	1	0	8	0	9	2	1	1	0	0	2	1	287	0	0	48	0	0	1	0	0	3	8	0	0	300	207	3	0	0	1	0	0	0	0	6	1	0	0	0	0	0	1	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	80	"AWI"	80	1168	1492	1350	43	1	207	3	0	7	0	17	1	1	1	0	0	0	3	250	0	0	47	0	0	4	0	0	0	12	0	0	267	245	2	0	0	2	0	0	0	1	0	1	0	0	0	2	0	4	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	90	"AWI"	90	1331	1641	1469	43	1	175	1	0	6	0	12	0	0	1	0	0	0	0	311	0	0	59	0	0	0	0	0	1	0	0	0	519	305	7	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	100	"AWI"	100	1393	1787	1563	18	2	469	3	0	5	0	9	2	0	0	0	0	0	3	161	0	0	36	0	0	0	0	0	0	0	0	0	219	186	3	0	0	2	0	0	0	0	3	1	0	0	0	0	1	0	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	110	"AWI"	110	1468	1906	1660	12	1	525	4	0	11	0	20	2	0	1	0	0	1	13	196	0	0	43	0	1	0	2	0	0	8	0	1	105	206	6	0	0	1	0	0	0	2	5	0	1	2	0	0	2	1	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	120	"AWI"	120	1547	2001	1760	80	2	213	0	0	8	0	8	1	0	0	0	0	0	3	290	0	0	41	0	0	0	3	0	0	4	0	0	647	380	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	130	"AWI"	130	1619	2091	1856	11	0	531	3	0	8	0	25	1	0	0	0	0	1	8	151	0	0	27	0	0	0	6	0	1	9	0	0	170	163	2	0	0	0	0	0	0	0	6	3	0	0	0	0	3	2	0	0
16655	26433	"Gradenmoos"	46.96539	12.808492	140	"AWI"	140	1711	2173	1954	34	2	0	1	0	10	0	17	1	0	0	0	0	2	6	435	0	0	66	1	0	0	0	0	1	11	1	3	489	283	5	0	1	2	0	0	0	0	0	6	0	0	0	1	0	1	0	1
