"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
23909	41479	"Creich Castle"	56.38333	-3.08333	145	"AWI"	145	10877	12163	11500	2	5	0	0	1	0	94	2	0	0	87	0	34	0	0	0	0	0	0	0	9	1	0	0	0	12	0	139	0	1	0	0	3	0	40	0	7	0	3
23909	41479	"Creich Castle"	56.38333	-3.08333	155	"AWI"	155	11257	12377	11751	0	0	0	0	61	0	30	5	0	0	2	0	83	3	0	0	0	0	0	0	14	0	1	0	0	15	0	133	0	0	2	0	1	0	17	2	14	0	1
23909	41479	"Creich Castle"	56.38333	-3.08333	165	"AWI"	165	11434	12650	11993	0	2	3	0	139	0	31	10	0	0	9	0	45	0	0	0	0	0	0	0	3	0	0	0	0	34	0	110	0	4	3	0	0	216	43	0	21	0	1
23909	41479	"Creich Castle"	56.38333	-3.08333	175	"AWI"	175	11619	12917	12237	0	0	1	0	12	0	51	0	0	0	0	0	60	0	0	0	0	0	0	0	72	0	0	0	0	11	0	131	0	0	4	0	1	0	11	0	4	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	185	"AWI"	185	11835	13154	12478	0	0	0	1	2	0	29	0	0	0	5	0	59	0	0	0	0	0	0	0	14	0	0	0	0	3	0	294	0	0	1	0	6	0	16	0	16	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	195	"AWI"	195	12065	13371	12723	0	1	0	0	5	0	31	0	0	0	4	0	55	0	0	0	0	0	0	0	15	1	0	0	0	1	0	312	0	0	0	0	7	0	9	0	9	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	205	"AWI"	205	12321	13583	12966	0	1	1	1	2	0	55	0	0	0	8	0	48	0	0	0	0	0	0	0	4	0	2	0	0	4	1	275	0	0	0	0	11	0	13	0	18	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	215	"AWI"	215	12590	13810	13201	0	0	0	0	9	0	28	0	0	0	5	0	56	0	0	0	0	0	0	0	8	0	0	0	0	5	0	243	0	0	0	0	9	105	13	0	1	0	2
23909	41479	"Creich Castle"	56.38333	-3.08333	225	"AWI"	225	12886	13987	13433	0	0	1	0	9	0	55	1	1	0	14	0	44	0	0	0	0	0	0	0	10	0	1	0	0	47	0	213	0	0	0	0	17	0	24	0	2	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	235	"AWI"	235	13234	14196	13659	0	0	1	0	9	9	48	0	0	3	6	1	71	0	0	0	0	17	0	0	3	1	4	0	0	9	0	166	0	2	1	0	9	46	70	0	1	0	0
23909	41479	"Creich Castle"	56.38333	-3.08333	245	"AWI"	245	13384	14671	13889	0	1	1	2	4	0	16	2	0	0	4	0	87	0	0	0	0	0	0	0	5	0	4	0	0	20	0	101	0	0	2	0	3	0	82	7	0	0	1
23909	41479	"Creich Castle"	56.38333	-3.08333	255	"AWI"	255	13544	15039	14135	0	13	2	0	21	0	22	3	0	0	50	0	5	0	0	0	1	0	0	0	1	5	0	0	10	212	0	99	0	0	2	0	1	0	4	0	0	0	1
23909	41479	"Creich Castle"	56.38333	-3.08333	265	"AWI"	265	13708	15415	14394	1	16	2	0	29	0	15	0	0	0	33	0	13	0	0	2	0	0	0	0	0	2	0	0	3	142	0	74	0	0	1	0	0	0	14	2	0	1	4
23909	41479	"Creich Castle"	56.38333	-3.08333	275	"AWI"	275	13883	15745	14644	0	15	3	0	20	0	51	5	0	0	38	0	10	5	0	1	0	4	1	11	2	1	0	0	14	143	0	112	0	6	2	0	2	0	13	0	2	1	3
23909	41479	"Creich Castle"	56.38333	-3.08333	285	"AWI"	285	14047	16061	14893	0	21	7	0	44	0	21	1	0	0	42	0	15	0	0	2	0	0	0	6	1	1	0	3	0	220	0	52	0	2	0	0	0	0	5	2	1	0	19
