"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	5	"AWI"	5	102	258	175	9.27152317880795	0	0.993377483443709	0	0	0.993377483443709	0	0	1.32450331125828	0	0	8.60927152317881	71.1920529801324	7.28476821192053	0	0	0.33112582781457	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	15	"AWI"	15	510	719	613	7.90960451977401	0.282485875706215	0.847457627118644	24.8587570621469	0.282485875706215	1.69491525423729	0	0	1.12994350282486	0	0	7.90960451977401	48.0225988700565	6.21468926553672	0	0	0.564971751412429	0.282485875706215	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	25	"AWI"	25	895	1201	1048	14.6428571428571	0	0.357142857142857	0	0.357142857142857	1.78571428571429	0	0	0.714285714285714	0	0	7.14285714285714	64.6428571428572	7.14285714285714	0	0	3.21428571428571	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	35	"AWI"	35	1241	1632	1434	11.0787172011662	0	0	25.0728862973761	0	1.45772594752187	0	0	0	0	0	5.24781341107872	51.3119533527697	3.79008746355685	0	0	2.04081632653061	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	45	"AWI"	45	1372	1746	1544	6.35451505016722	0	0	21.4046822742475	0.334448160535117	1.33779264214047	0	0	0	0	0	10.7023411371237	56.1872909698997	3.34448160535117	0	0.334448160535117	0	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	65	"AWI"	65	1477	2176	1753	8.22281167108753	0	0.26525198938992	24.6684350132626	0.530503978779841	1.06100795755968	0	0	0.26525198938992	0	0	17.2413793103448	45.8885941644562	0.530503978779841	0	0.26525198938992	0	0.26525198938992	0	0.795755968169761
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	85	"AWI"	85	1986	2584	2270	9.24657534246575	0	0.342465753424658	0	1.71232876712329	1.36986301369863	0	0	0	0	0	34.5890410958904	52.0547945205479	0.342465753424658	0	0	0	0	0	0.342465753424658
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	95	"AWI"	95	2162	2929	2542	11.0144927536232	0	0.289855072463768	25.5072463768116	0.289855072463768	0.579710144927536	0	0	0	0	0.289855072463768	15.9420289855072	43.768115942029	0.289855072463768	0	0.289855072463768	0	0.579710144927536	0.289855072463768	0.869565217391304
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	115	"AWI"	115	2994	3543	3267	9.3984962406015	0	0.37593984962406	0	0	1.12781954887218	0	0	0.37593984962406	0	0	34.2105263157895	49.6240601503759	1.8796992481203	0	0	0	0.37593984962406	0.37593984962406	2.25563909774436
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	125	"AWI"	125	3321	3915	3669	8.80281690140845	0	0.352112676056338	0	1.05633802816901	1.40845070422535	0	0	0	0	0	23.2394366197183	61.6197183098592	2.46478873239437	0	0.352112676056338	0	0	0	0.704225352112676
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	135	"AWI"	135	3560	4371	4027	10.2040816326531	0	0.510204081632653	24.4897959183673	1.02040816326531	0	0	0	0.510204081632653	0	0	27.0408163265306	33.6734693877551	2.04081632653061	0	0.510204081632653	0	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	145	"AWI"	145	3713	4407	4096	9.01162790697674	0.290697674418605	0.290697674418605	0	0.872093023255814	0.290697674418605	0	0	0.290697674418605	0	0	31.6860465116279	54.6511627906977	0.872093023255814	0	0	0	0	0.290697674418605	1.45348837209302
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	155	"AWI"	155	3834	4446	4166	11.3496932515337	0	0.306748466257669	0	1.22699386503067	0.306748466257669	0	0	0.306748466257669	0	0.306748466257669	27.6073619631902	52.1472392638037	3.37423312883436	0	0.613496932515337	0	0	0.306748466257669	2.14723926380368
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	175	"AWI"	175	4021	4535	4295	6.56716417910448	0	0.298507462686567	0	1.49253731343284	0.298507462686567	0	0	0.597014925373134	0.298507462686567	0	30.4477611940298	53.4328358208955	2.6865671641791	0	1.19402985074627	0	0	1.7910447761194	0.895522388059702
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	195	"AWI"	195	4175	4648	4398	5.78313253012048	0	0	0	3.13253012048193	0.240963855421687	0	0	0.240963855421687	0	0	35.1807228915663	50.8433734939759	1.68674698795181	0	0	0	0.240963855421687	0.72289156626506	1.92771084337349
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	215	"AWI"	215	4313	4739	4546	5.57029177718833	0	0.26525198938992	0	1.06100795755968	0.26525198938992	0	0	0.26525198938992	0	0.26525198938992	30.7692307692308	57.5596816976127	1.3262599469496	0	0.795755968169761	0	0.26525198938992	0.26525198938992	1.3262599469496
