"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
15715	24118	"Kugelstattmoos"	48.953182	12.857416	0	"AWI"	0	-120	46	-44	1	1	13	0	0	0	0	0	23	0	1	0	0	8	1	0	0	6	0	0	0	0	0	0	0	1	224	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15715	24118	"Kugelstattmoos"	48.953182	12.857416	4	"AWI"	4	86	490	266	15	4	14	0	2	0	0	0	28	0	1	0	0	16	0	0	1	2	0	1	21	0	0	0	0	1	214	40	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	12	"AWI"	12	385	1529	886	68	0	9	0	1	0	0	0	49	0	0	0	0	12	0	141	0	59	0	0	77	0	0	0	0	3	119	35	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	15	"AWI"	15	769	1703	1179	33	0	19	0	1	0	0	0	41	0	1	0	0	15	0	0	0	39	1	0	71	0	0	0	0	2	56	25	0	8	0	0	0	0	0	0	1	0	0	0	0	1	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	16	"AWI"	16	953	1721	1289	27	0	80	0	2	0	3	4	192	0	1	0	0	61	1	0	0	61	3	0	94	0	0	0	0	7	75	114	0	25	0	0	3	0	0	0	2	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	17	"AWI"	17	1120	1739	1399	41	1	74	2	3	0	2	0	161	0	3	0	0	77	2	42	1	122	0	0	163	0	0	0	0	7	74	46	4	37	0	0	4	0	0	0	0	0	0	0	0	1	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	20	"AWI"	20	1571	1863	1727	52	2	81	0	1	0	5	0	75	0	3	0	0	144	0	101	0	285	4	0	125	0	0	0	0	10	18	29	0	15	0	0	2	0	0	0	1	0	0	0	0	3	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	22	"AWI"	22	1693	2173	1940	143	0	45	0	0	0	0	0	5	0	0	0	0	17	0	0	0	128	0	0	19	0	0	0	0	0	23	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	23	"AWI"	23	1727	2346	2050	156	0	14	0	0	0	0	0	2	0	0	0	0	8	1	0	0	94	0	0	0	0	0	0	0	0	38	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	24	"AWI"	24	1753	2524	2161	324	1	62	0	2	0	0	0	26	0	5	0	0	25	0	0	0	155	0	0	16	0	0	0	0	3	60	11	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	25	"AWI"	25	1778	2701	2270	167	1	40	0	0	0	1	0	12	0	1	0	0	26	1	0	0	182	0	0	51	0	0	0	0	4	53	7	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	26	"AWI"	26	1801	2886	2380	142	0	64	0	0	0	1	0	15	0	0	0	0	37	1	0	0	200	0	0	50	0	0	0	0	2	38	10	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0
