"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Tamaricaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23671	40958	"Durchenbergried"	47.77488	8.978824	0	"AWI"	0	-145	4	-66	1	0	14	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	25	0	5	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	4	0	49	57	0	0	0	0	0	0	0	11	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	2.5	"AWI"	2.5	-50.5	82.5	14.5	1	0	12	2	0	0	0	4	0	0	23	0	0	0	0	2	0	0	0	0	0	0	8	21	0	0	0	0	0	41	0	3	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	4	0	63	86	0	0	0	0	1	0	1	38	0	0	1	4	6	1	0	0	0	0	0	0	0	1	1	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	5	"AWI"	5	36	169	94	2	0	3	1	0	0	0	0	0	0	8	0	2	0	0	0	0	0	1	0	0	0	2	16	0	0	0	0	0	65	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	10	0	82	130	0	0	25	0	0	0	0	12	0	0	2	3	1	0	0	0	0	0	0	0	0	1	0	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	7.5	"AWI"	7.5	115.5	256	174	1	0	5	4	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	4	21	0	0	0	0	0	78	0	3	0	0	0	0	5	0	1	1	0	0	0	0	1	0	0	0	4	0	49	109	0	0	0	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	10	"AWI"	10	195	346	252	3	0	8	1	0	0	0	1	0	0	23	0	3	4	0	0	0	0	1	0	0	0	14	27	0	0	0	0	0	32	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	27	143	0	0	38	0	0	0	0	79	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	12.5	"AWI"	12.5	267.5	439	331	0	0	9	1	0	0	0	0	0	0	22	0	1	0	0	0	0	0	1	0	0	0	9	26	0	0	0	0	0	45	0	3	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	4	0	48	125	0	0	82	0	2	0	0	59	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	15	"AWI"	15	328	505	392	3	0	19	1	0	0	0	2	0	0	21	0	0	0	0	1	0	0	0	0	0	0	14	13	0	0	0	0	0	43	0	3	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	2	0	51	118	0	0	42	0	0	0	0	43	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	17.5	"AWI"	17.5	369	529.5	431.5	1	0	15	0	0	0	0	0	0	0	22	0	3	0	0	2	0	0	0	0	0	0	14	16	0	0	0	0	0	20	0	2	0	0	0	0	7	0	0	3	0	0	0	0	1	0	0	0	3	0	35	157	0	0	0	0	0	0	0	60	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1
23671	40958	"Durchenbergried"	47.77488	8.978824	20	"AWI"	20	404	555	472	2	0	16	0	0	0	0	0	0	0	27	0	0	0	0	2	0	0	0	0	0	0	28	29	0	0	0	0	0	13	0	1	0	0	0	0	5	0	1	6	0	0	0	0	0	0	0	0	4	0	4	74	0	0	0	0	0	0	0	148	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
23671	40958	"Durchenbergried"	47.77488	8.978824	22.5	"AWI"	22.5	433.5	585.5	507.5	0	1	3	2	0	0	0	0	0	0	26	0	3	0	0	4	0	0	1	0	0	0	13	31	0	0	0	0	0	19	0	3	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0	0	10	0	22	129	0	0	0	0	0	0	0	161	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
