"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15809	24319	"Grächen See"	46.19556	7.845	0	"AWI"	0	-98	67	-20	0	0	32	1	0	0	0	0	3	0	32	0	0	0	0	0	0	6	212	0	0	0	1	0	0	0	0	0	72	0	0	0	85	288	0	0	0	0	6	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1
15809	24319	"Grächen See"	46.19556	7.845	30	"AWI"	30	280	446	353	0	0	21	2	0	0	0	0	0	0	11	0	0	2	0	1	0	0	34	0	0	0	1	0	0	3	1	3	50	0	0	0	17	70	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	50	"AWI"	50	501	737	602	1	0	98	1	0	0	0	0	3	0	12	0	1	3	0	0	0	3	140	0	0	0	2	0	0	1	0	3	200	0	0	1	57	92	0	0	0	0	3	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	70	"AWI"	70	712	1039	850	0	0	144	1	0	0	0	0	3	0	11	0	0	3	0	2	0	1	67	0	0	0	2	0	0	0	0	0	83	0	0	0	22	27	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	90	"AWI"	90	1099	1375	1222	2	0	78	1	0	0	0	0	1	0	12	0	0	1	0	0	0	3	42	0	0	0	1	0	0	0	0	0	26	0	0	0	67	108	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	110	"AWI"	110	1475	1760	1623	2	0	84	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	27	0	0	0	87	124	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	130	"AWI"	130	1810	2195	2018	1	0	46	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	24	0	0	0	59	81	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	150	"AWI"	150	2102	2590	2367	1	0	20	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	325	0	0	0	0	0	1	0	0	2	25	0	0	0	118	92	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	170	"AWI"	170	2225	2629	2446	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	32	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24319	"Grächen See"	46.19556	7.845	180	"AWI"	180	2276	2654	2487	0	0	24	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	0	10	26	0	0	0	73	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
