"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16355	25402	"Fontaine Henry"	49.2775	-0.45333	35	"AWI"	35	83	558	282	0.537634408602151	0.537634408602151	0	0	1.61290322580645	3.2258064516129	0.537634408602151	1.61290322580645	0	1.0752688172043	57.5268817204301	0	2.1505376344086	0	0	0	0.537634408602151	0	0	0	0	17.741935483871	0	6.98924731182796	0	0	1.0752688172043	0	1.61290322580645	2.1505376344086	0	1.0752688172043	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	45	"AWI"	45	150	657	375	2.58620689655172	0	0.862068965517241	0	0	6.89655172413793	0	2.58620689655172	0	2.58620689655172	60.3448275862069	0	1.72413793103448	0	0	0.862068965517241	0	0	0	4.31034482758621	3.44827586206897	0	0	12.9310344827586	0	0	0	0	0	0	0	0	0.862068965517241
16355	25402	"Fontaine Henry"	49.2775	-0.45333	65	"AWI"	65	302	855	566	0.873362445414847	0	0.436681222707424	0	0	0	0.873362445414847	2.62008733624454	0	0	68.1222707423581	0	0	0	0	0	0	0	0	0.436681222707424	1.31004366812227	17.0305676855895	0	2.18340611353712	3.49344978165939	0	0	0	1.31004366812227	0.436681222707424	0.436681222707424	0.436681222707424	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	75	"AWI"	75	384	947	661	0	0	1.49253731343284	0	0.497512437810945	0	0	0.995024875621891	0	0	68.1592039800995	0	0.497512437810945	2.48756218905473	0	0	0	0	0	0	0.995024875621891	20.3980099502488	0	1.49253731343284	1.99004975124378	0.497512437810945	0.497512437810945	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	85	"AWI"	85	473	1029	757	1.33333333333333	0	2	0	0	0	0.333333333333333	7.66666666666667	0	0	52.3333333333333	0	0	0	0	0	0	0	0	1	2.33333333333333	23	0	1.66666666666667	4	0.333333333333333	3.33333333333333	0.333333333333333	0.333333333333333	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	95	"AWI"	95	560	1107	853	0.37037037037037	0	22.962962962963	0	0	0	0	17.037037037037	0.37037037037037	0	14.8148148148148	1.11111111111111	0	1.11111111111111	0.37037037037037	0	0	0	0	0	3.7037037037037	26.6666666666667	0	3.7037037037037	1.11111111111111	1.48148148148148	1.11111111111111	0.740740740740741	0.37037037037037	0	0.37037037037037	0	2.59259259259259
16355	25402	"Fontaine Henry"	49.2775	-0.45333	105	"AWI"	105	654	1179	949	1.70940170940171	3.41880341880342	0	0	0.854700854700855	3.41880341880342	0.854700854700855	5.98290598290598	0.854700854700855	6.83760683760684	61.5384615384615	0	1.70940170940171	0	0	0	0	0	1.70940170940171	0	0.854700854700855	0	0	8.54700854700855	0	0.854700854700855	0	0	0	0	0	0.854700854700855	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	110	"AWI"	110	692	1224	1000	1.91082802547771	0	0	0	0	0	0	4.45859872611465	0	5.73248407643312	50.3184713375796	0	2.54777070063694	0	0	0	0	0	0.636942675159236	0	1.91082802547771	22.2929936305732	0	5.73248407643312	0	2.54777070063694	0.636942675159236	0	1.27388535031847	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	120	"AWI"	120	805	1288	1094	0.943396226415094	0	0	0	0	14.1509433962264	0	3.77358490566038	0.943396226415094	4.71698113207547	60.377358490566	0	0	0	0	0	0	0	0	0	4.71698113207547	0	0	6.60377358490566	0	0	0.943396226415094	0	2.83018867924528	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	130	"AWI"	130	918	1344	1192	1.92307692307692	0	0.641025641025641	0	0	0	0	5.76923076923077	0.641025641025641	1.92307692307692	49.3589743589744	0	0.641025641025641	0	0	0	0	0	0	0.641025641025641	4.48717948717949	23.0769230769231	0	6.41025641025641	0.641025641025641	1.28205128205128	0.641025641025641	0	1.92307692307692	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	175	"AWI"	175	1256	1640	1478	4.54545454545455	0	0	0.757575757575758	0	0	0	1.51515151515152	0	13.6363636363636	35.6060606060606	0	0	0	0	0	0	0	0	0	2.27272727272727	29.5454545454545	0	8.33333333333333	0.757575757575758	0.757575757575758	0	0	0.757575757575758	0	0.757575757575758	0.757575757575758	0
