"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Ailanthus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Genista"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
27016	47584	"Gorgo Tondo"	37.90131	13.41265	0	"AWI"	0	-158	3	-63	0	0	0	0	0	0	0	1	9	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	1	0	36	0	3	1	0	0	0	0	0	2	0	0	1	0	0	6	1	0	0	0	15	0	0	0	0	55	0	0	0	0	0	0	0	43	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1
27016	47584	"Gorgo Tondo"	37.90131	13.41265	10	"AWI"	10	-111	142	-3	0	1	1	0	0	0	0	0	3	3	1	0	0	0	4	0	0	0	0	0	8	0	0	0	1	0	28	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	3	0	0	1	0	134	1	0	0	0	6	0	1	24	1	0	0	0	6	0	0	1	0	0	0	0	0	1	0
27016	47584	"Gorgo Tondo"	37.90131	13.41265	20	"AWI"	20	-63	246	68	0	0	0	0	0	0	0	0	2	0	7	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	9	0	0	1	0	1	0	0	0	0	0	0	0	10	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0
27016	47584	"Gorgo Tondo"	37.90131	13.41265	30	"AWI"	30	-6	328	142	0	0	0	0	7	0	0	2	7	1	1	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	30	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	0	2	2	0	0	0	0	0	0	36	2	0	0	0	0	0	4	0	2	1	1	0	1	2	2
27016	47584	"Gorgo Tondo"	37.90131	13.41265	40	"AWI"	40	45	406	217	0	0	0	0	0	0	0	1	11	0	1	0	0	0	10	1	0	0	0	0	1	0	0	0	1	0	46	0	1	0	0	0	0	0	3	1	0	1	0	1	1	3	1	0	0	0	9	0	0	0	0	2	3	0	0	0	0	0	1	65	3	0	0	0	0	0	0	0	0	0	1	0	0	4	2
27016	47584	"Gorgo Tondo"	37.90131	13.41265	50	"AWI"	50	115	472	293	0	0	0	1	0	0	0	0	7	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	2	0	0	0	0	0	0	45	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1
27016	47584	"Gorgo Tondo"	37.90131	13.41265	60	"AWI"	60	185	531	363	0	0	0	0	0	0	0	4	5	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	4	0	0	0	1	2	2	0	0	0	0	0	1	70	2	4	0	0	7	0	1	0	0	0	0	0	0	1	0
27016	47584	"Gorgo Tondo"	37.90131	13.41265	72	"AWI"	72	283	586	449	0	0	0	1	0	0	0	4	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	322	6	0	0	0	0	0	1	0	2	0	0	0	0	1	0
27016	47584	"Gorgo Tondo"	37.90131	13.41265	80	"AWI"	80	335	630	511	0	0	0	1	0	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	90	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	10	2	0	1	0	0	1	1	0	0	0	0	0	1	288	8	0	0	0	7	0	3	0	1	0	0	0	0	2	0
27016	47584	"Gorgo Tondo"	37.90131	13.41265	90	"AWI"	90	432	674	586	0	0	0	0	0	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	41	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	187	2	0	0	0	0	0	1	0	2	0	1	0	1	2	0
