"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"
3337	4330	"Lago Padule"	44.29861	10.21472	311	"AWI"	311	-91	84	-11	130	2	19	0	0	3	0	2	0	0	0	0	2	0	0	9	0	2	4	0	78	2	0	0	0	0	0	0	0	0	3	0	7	0	0	35	0	0	0	2	0	1	0	0	0	0	0
3337	4330	"Lago Padule"	44.29861	10.21472	325	"AWI"	325	-13	700	252	28	1	14	1	1	7	3	1	3	0	0	2	0	0	0	19	0	14	2	0	97	2	0	1	0	0	1	0	0	3	5	0	31	1	0	40	9	0	0	8	0	0	0	0	0	0	2
3337	4330	"Lago Padule"	44.29861	10.21472	345	"AWI"	345	361	1001	696	17	0	28	0	0	2	0	0	0	0	0	1	2	0	0	16	0	3	5	0	169	0	0	0	0	0	2	0	0	0	0	0	11	0	0	32	0	0	0	5	5	0	0	0	0	0	0
3337	4330	"Lago Padule"	44.29861	10.21472	365	"AWI"	365	835	1221	1033	139	0	16	0	1	4	0	1	0	0	0	0	0	0	0	22	1	8	3	0	66	2	0	0	0	0	0	0	0	0	1	0	14	0	0	31	0	0	0	6	0	1	0	0	0	0	1
3337	4330	"Lago Padule"	44.29861	10.21472	385	"AWI"	385	1007	1582	1264	90	0	51	0	2	6	0	4	0	0	0	0	2	0	0	16	0	4	6	0	59	2	0	0	0	0	0	0	0	0	2	0	23	0	0	37	0	0	0	5	1	0	0	0	0	0	2
3337	4330	"Lago Padule"	44.29861	10.21472	405	"AWI"	405	1139	1871	1462	85	2	31	0	0	0	2	3	0	0	0	3	0	0	0	15	0	4	3	0	87	0	0	2	0	0	0	0	0	0	0	0	13	0	0	37	0	0	0	13	0	0	0	0	0	0	2
3337	4330	"Lago Padule"	44.29861	10.21472	425	"AWI"	425	1278	2077	1656	51	1	13	0	0	0	0	2	0	0	0	0	0	1	0	16	0	2	3	0	143	2	0	4	0	0	0	0	0	1	3	0	8	0	0	43	0	0	0	5	1	0	0	0	0	0	1
3337	4330	"Lago Padule"	44.29861	10.21472	445	"AWI"	445	1432	2286	1857	72	1	8	0	1	3	0	0	0	0	0	1	0	0	0	18	0	7	5	0	131	1	0	0	0	0	0	0	0	0	4	0	7	0	0	32	0	0	0	3	0	0	0	0	0	0	2
3337	4330	"Lago Padule"	44.29861	10.21472	465	"AWI"	465	1608	2479	2053	65	1	19	0	0	1	0	1	0	0	0	0	0	0	0	15	0	0	5	0	149	0	0	0	0	0	1	0	0	0	4	0	2	0	0	33	0	0	0	0	0	0	0	0	0	0	0
3337	4330	"Lago Padule"	44.29861	10.21472	485	"AWI"	485	1810	2657	2249	39	0	20	0	0	0	0	0	0	0	0	4	0	1	0	16	0	7	1	0	153	1	0	0	0	0	1	0	0	2	1	0	6	0	0	46	0	0	0	4	1	0	0	0	0	0	1
3337	4330	"Lago Padule"	44.29861	10.21472	505	"AWI"	505	2020	2806	2455	44	3	21	0	0	1	0	3	0	0	0	1	0	0	0	21	0	6	6	0	115	3	0	0	0	0	0	0	0	1	0	0	10	0	0	57	0	0	0	5	2	2	0	0	0	0	3
3337	4330	"Lago Padule"	44.29861	10.21472	525	"AWI"	525	2230	2965	2657	71	3	19	1	3	1	0	3	0	0	0	0	0	0	0	11	1	7	2	0	120	0	0	0	0	0	2	0	0	1	2	0	13	0	0	44	0	0	0	3	0	0	0	0	0	0	2
3337	4330	"Lago Padule"	44.29861	10.21472	545	"AWI"	545	2513	3105	2847	19	4	18	0	0	2	0	6	0	0	0	2	0	0	0	23	1	4	4	0	64	2	0	0	0	0	0	0	0	1	1	0	10	0	0	41	0	0	0	0	0	0	0	0	0	0	1
