"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
2966	3866	"Aholammi"	61.8947	25.21692	1050	"AWI"	1050	-144	24	-65	0	51	0	0	1	0	376	0	0	0	0	4	2	0	0	0	0	1	2	0	0	0	1	67	485	0	0	8	7	0	0	0	0	6	0	1	1
2966	3866	"Aholammi"	61.8947	25.21692	1052.5	"AWI"	1052.5	-57	742	193	0	59	1	0	2	0	434	1	0	0	1	10	2	0	0	0	0	0	4	9	0	0	5	65	412	1	0	19	2	0	0	0	0	0	1	7	0
2966	3866	"Aholammi"	61.8947	25.21692	1055	"AWI"	1055	-23	1541	447	0	78	0	0	2	0	311	0	0	0	0	7	5	0	0	0	0	0	3	14	0	0	3	144	447	1	0	5	2	0	0	0	0	0	0	0	0
2966	3866	"Aholammi"	61.8947	25.21692	1057.5	"AWI"	1057.5	161.5	1817.5	794.5	0	90	1	0	2	0	392	2	0	0	0	10	7	0	0	0	0	0	8	21	0	0	0	106	367	0	0	14	11	0	0	0	0	0	0	3	0
2966	3866	"Aholammi"	61.8947	25.21692	1060	"AWI"	1060	275	2234	1111	0	57	0	0	2	0	289	0	0	1	0	4	0	0	0	0	0	0	1	6	0	0	0	175	467	0	0	0	6	0	0	0	0	1	0	1	0
2966	3866	"Aholammi"	61.8947	25.21692	1062.5	"AWI"	1062.5	557	2476	1443.5	0	71	0	0	1	0	337	1	0	0	0	3	4	0	0	0	1	0	4	8	0	2	0	94	482	0	0	9	5	0	0	0	0	3	1	3	0
2966	3866	"Aholammi"	61.8947	25.21692	1065	"AWI"	1065	690	2888	1774	0	82	1	1	4	0	332	1	0	0	0	3	2	0	0	0	0	1	4	20	0	0	4	133	435	0	0	14	10	0	0	0	0	1	0	2	0
2966	3866	"Aholammi"	61.8947	25.21692	1067.5	"AWI"	1067.5	995.5	3069	2111.5	1	68	1	1	1	0	445	1	0	0	0	14	5	0	0	0	0	0	0	10	0	0	1	111	338	0	0	6	9	0	0	0	0	4	1	7	0
2966	3866	"Aholammi"	61.8947	25.21692	1070	"AWI"	1070	1161	3385	2447	0	87	0	1	1	0	346	0	0	0	0	8	4	0	0	0	0	0	2	24	0	0	1	149	385	0	0	13	6	0	0	0	0	1	0	3	0
2966	3866	"Aholammi"	61.8947	25.21692	1072.5	"AWI"	1072.5	1671	3504	2772	0	71	2	0	2	0	373	0	0	0	0	19	7	0	0	0	0	0	2	17	0	0	1	90	422	0	0	6	8	0	0	0	0	2	2	6	0
2966	3866	"Aholammi"	61.8947	25.21692	1075	"AWI"	1075	1909	3725	3124	0	72	0	0	1	0	374	0	0	0	0	3	2	0	0	0	0	0	4	10	0	0	2	136	373	0	0	24	9	0	0	0	0	0	1	4	0
2966	3866	"Aholammi"	61.8947	25.21692	1077.5	"AWI"	1077.5	2775	3796.5	3404.5	0	102	1	0	0	0	433	0	0	0	0	22	5	0	0	0	0	0	2	6	0	0	1	97	328	0	0	3	7	0	0	0	0	2	0	6	0
2966	3866	"Aholammi"	61.8947	25.21692	1080	"AWI"	1080	3471	3962	3708	0	87	0	0	0	0	429	1	0	0	0	19	0	0	0	0	0	0	2	5	0	0	1	72	342	0	0	24	16	0	0	0	0	6	1	7	0
2966	3866	"Aholammi"	61.8947	25.21692	1082.5	"AWI"	1082.5	3586.5	4323.5	3902.5	0	73	0	0	0	0	507	1	0	0	0	20	5	0	0	0	0	0	0	15	0	0	0	55	288	0	0	26	14	0	0	1	0	1	4	13	0
2966	3866	"Aholammi"	61.8947	25.21692	1085	"AWI"	1085	3648	4840	4081	0	100	0	0	0	0	514	0	0	0	0	14	1	0	0	0	0	2	4	2	0	0	0	35	293	0	0	14	9	0	0	0	0	2	4	13	0
2966	3866	"Aholammi"	61.8947	25.21692	1087.5	"AWI"	1087.5	3797	5022	4301	0	115	0	2	0	0	488	1	0	0	0	21	2	0	0	0	0	1	3	3	0	0	1	46	276	0	0	25	5	0	0	0	0	0	4	18	0
2966	3866	"Aholammi"	61.8947	25.21692	1090	"AWI"	1090	3891	5344	4510	0	90	0	0	0	0	490	0	0	0	0	17	2	0	0	0	0	0	4	3	0	0	0	68	282	0	0	22	8	0	0	0	0	2	5	14	0
2966	3866	"Aholammi"	61.8947	25.21692	1092.5	"AWI"	1092.5	4097.5	5465	4729.5	0	109	0	0	1	0	577	0	0	0	0	19	5	0	0	0	0	1	5	8	0	0	0	66	244	0	0	26	8	0	0	1	0	0	7	21	0
2966	3866	"Aholammi"	61.8947	25.21692	1095	"AWI"	1095	4214	5694	4944	0	94	1	1	1	0	578	0	0	0	0	21	2	0	0	0	0	1	2	7	0	0	0	38	209	0	0	25	12	0	0	0	0	3	4	17	0
2966	3866	"Aholammi"	61.8947	25.21692	1097.5	"AWI"	1097.5	4440	5797.5	5162	0	102	0	0	2	0	572	2	0	0	0	23	7	0	0	0	0	0	0	10	0	0	0	37	218	0	0	14	6	0	0	0	0	0	11	17	0
2966	3866	"Aholammi"	61.8947	25.21692	1100	"AWI"	1100	4582	6003	5383	0	93	0	0	1	0	575	0	0	0	0	12	4	0	0	0	0	0	1	4	0	0	0	61	192	0	0	29	7	0	0	0	0	1	9	21	0
2966	3866	"Aholammi"	61.8947	25.21692	1102.5	"AWI"	1102.5	4862.5	6075	5588.5	0	121	0	0	2	0	584	2	0	0	0	30	1	0	0	0	0	1	0	4	0	0	0	33	298	0	0	13	5	0	0	0	0	0	19	22	0
2966	3866	"Aholammi"	61.8947	25.21692	1105	"AWI"	1105	5034	6223	5813	0	87	0	0	1	0	507	0	0	0	0	25	2	0	0	0	0	0	8	3	0	0	0	17	283	0	0	26	5	0	0	0	0	5	12	30	0
2966	3866	"Aholammi"	61.8947	25.21692	1110	"AWI"	1110	5945	6399	6207	0	95	0	0	0	0	510	1	0	0	0	22	0	0	0	0	0	0	3	2	0	0	0	8	308	0	0	33	4	0	0	0	0	1	5	12	3
2966	3866	"Aholammi"	61.8947	25.21692	1115	"AWI"	1115	6084	7007	6428	0	117	0	0	0	0	446	0	0	0	1	26	1	0	0	0	0	0	5	1	0	0	0	2	329	0	0	49	3	0	0	0	0	1	5	18	0
2966	3866	"Aholammi"	61.8947	25.21692	1120	"AWI"	1120	6243	7366	6697	0	87	0	0	0	0	412	0	0	0	0	12	0	0	0	0	0	0	2	2	0	0	0	7	434	0	0	14	4	0	0	0	0	2	2	26	1
2966	3866	"Aholammi"	61.8947	25.21692	1125	"AWI"	1125	6418	7699	6976	0	99	0	1	0	0	589	0	0	0	0	16	0	0	0	0	0	0	3	1	0	0	0	1	267	0	0	13	2	0	0	0	0	4	1	17	0
2966	3866	"Aholammi"	61.8947	25.21692	1128	"AWI"	1128	6564	7835	7142	0	146	1	0	0	0	558	0	0	0	0	18	4	0	0	0	0	0	3	0	0	0	0	2	223	1	0	44	2	0	0	0	0	1	2	16	0
2966	3866	"Aholammi"	61.8947	25.21692	1133	"AWI"	1133	6782	8095	7413	0	153	0	0	0	0	541	0	0	0	0	15	3	0	0	0	0	0	3	1	0	0	0	1	228	0	0	24	2	0	0	0	0	2	1	19	0
2966	3866	"Aholammi"	61.8947	25.21692	1135	"AWI"	1135	6840	8235	7520	0	134	1	0	0	0	418	0	0	0	0	14	4	0	0	0	0	0	1	0	0	0	0	1	375	0	0	29	5	0	0	0	0	13	1	22	0
2966	3866	"Aholammi"	61.8947	25.21692	1138	"AWI"	1138	7022	8355	7696	0	109	0	0	1	0	517	0	0	0	0	8	3	0	0	0	0	0	6	0	0	0	0	5	325	0	0	14	1	0	0	0	0	1	1	14	0
2966	3866	"Aholammi"	61.8947	25.21692	1140	"AWI"	1140	7100	8481	7804	0	132	0	0	0	0	455	0	0	0	0	11	6	0	0	0	0	0	2	0	0	0	0	1	329	0	0	28	4	0	0	0	0	1	1	34	0
2966	3866	"Aholammi"	61.8947	25.21692	1143	"AWI"	1143	7306	8583	7971	0	143	0	0	2	0	485	0	0	0	0	17	4	0	0	0	0	0	2	0	0	0	0	1	271	0	0	60	1	0	0	0	0	8	2	0	0
2966	3866	"Aholammi"	61.8947	25.21692	1145	"AWI"	1145	7388	8686	8085	0	143	0	0	0	0	490	0	0	0	0	17	6	0	0	0	0	1	2	1	0	0	0	2	284	0	0	35	3	0	3	0	0	7	1	20	0
2966	3866	"Aholammi"	61.8947	25.21692	1148	"AWI"	1148	7607	8791	8260	0	168	1	0	2	0	443	0	0	0	0	18	8	0	0	0	0	0	4	0	0	0	0	0	287	0	0	62	0	0	0	0	0	5	0	19	0
