"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"
3020	3934	"Björksjödamm"	57.707936	12.342754	770	"AWI"	770	9505	11567	10698	0	4	0	11	1	916	0	0	0	0	0	0	4	91	0	0	10	0	2	0	96	0	0	0	1	0	206	0	98	0	2	0	0	0	2	0	0	13	41	0	0	0	6	8	2
3020	3934	"Björksjödamm"	57.707936	12.342754	772	"AWI"	772	9675	11636	10799	0	3	0	9	0	879	0	1	0	0	0	0	1	105	0	0	15	0	2	0	99	0	0	0	0	0	151	0	105	0	0	0	0	0	0	0	0	12	41	0	0	0	2	9	0
3020	3934	"Björksjödamm"	57.707936	12.342754	774	"AWI"	774	9803	11713	10907	0	6	0	6	0	1007	0	0	0	0	0	0	5	111	0	0	6	0	0	0	81	0	0	0	0	0	156	0	114	0	0	0	0	2	0	0	0	12	60	0	0	1	0	7	4
3020	3934	"Björksjödamm"	57.707936	12.342754	776	"AWI"	776	9953	11790	11009	0	2	0	0	0	921	0	0	0	0	0	0	9	111	2	0	30	1	0	0	102	0	0	0	0	0	135	0	150	0	0	0	0	0	0	0	0	12	42	0	0	0	1	4	7
3020	3934	"Björksjödamm"	57.707936	12.342754	778	"AWI"	778	10109	11855	11118	0	8	0	0	0	720	0	0	0	0	0	0	2	120	0	0	11	0	0	0	102	0	0	0	0	0	222	0	127	0	0	0	0	0	0	0	0	3	69	0	0	0	1	0	5
3020	3934	"Björksjödamm"	57.707936	12.342754	780	"AWI"	780	10224	11952	11228	0	0	0	6	2	394	0	0	0	0	0	0	0	135	8	0	79	1	5	0	87	1	0	0	0	1	507	0	228	0	0	0	0	3	0	0	0	20	48	0	0	0	3	0	11
3020	3934	"Björksjödamm"	57.707936	12.342754	782	"AWI"	782	10422	12015	11333	0	2	0	15	0	448	0	0	0	0	0	0	0	219	0	0	90	0	0	0	89	0	1	0	0	0	456	0	249	0	0	0	0	0	2	0	0	26	21	0	0	0	0	0	8
3020	3934	"Björksjödamm"	57.707936	12.342754	784	"AWI"	784	10580	12089	11437	0	0	0	21	0	543	0	0	0	0	0	0	0	231	0	0	144	0	0	0	83	1	1	0	0	0	460	0	243	0	2	0	0	0	0	0	0	28	54	0	0	0	0	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	786	"AWI"	786	10731	12171	11540	3	1	0	33	0	589	0	1	0	0	0	0	0	345	0	0	65	0	5	0	76	0	1	0	0	1	372	0	285	0	1	0	0	0	0	0	3	35	42	0	0	0	3	1	6
3020	3934	"Björksjödamm"	57.707936	12.342754	788	"AWI"	788	10845	12232	11645	0	20	4	43	0	659	0	0	0	0	1	0	0	311	0	0	45	0	0	0	123	1	0	0	0	1	180	0	352	0	0	0	0	2	0	0	6	39	84	0	0	0	4	0	1
3020	3934	"Björksjödamm"	57.707936	12.342754	790	"AWI"	790	10955	12334	11749	0	33	0	57	3	691	2	0	0	0	1	0	0	234	0	1	0	2	2	0	132	1	0	0	0	0	285	0	282	1	0	0	0	0	0	0	0	57	114	0	0	0	6	0	4
3020	3934	"Björksjödamm"	57.707936	12.342754	792	"AWI"	792	11092	12391	11852	2	7	7	90	3	661	0	0	0	0	1	0	0	273	0	1	19	0	6	0	135	0	0	0	1	0	351	0	225	0	0	0	0	1	0	0	2	54	94	1	0	0	3	0	4
3020	3934	"Björksjödamm"	57.707936	12.342754	794	"AWI"	794	11199	12474	11961	0	9	2	111	3	640	0	0	0	0	3	2	1	279	0	0	0	1	1	0	71	2	0	0	0	0	307	1	243	0	0	0	0	0	2	0	0	81	102	0	0	1	18	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	798	"AWI"	798	11480	12619	12175	0	21	3	84	11	615	0	0	0	0	2	0	0	357	0	0	25	0	0	0	72	1	0	0	1	0	333	0	201	0	2	0	0	1	2	0	5	39	102	0	0	0	0	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	802	"AWI"	802	11771	12763	12377	0	28	3	135	2	714	0	0	0	0	3	0	1	273	0	0	0	2	1	0	156	1	0	0	0	0	264	1	282	0	2	0	0	0	3	0	0	114	186	1	1	1	8	1	0
3020	3934	"Björksjödamm"	57.707936	12.342754	806	"AWI"	806	12088	12893	12582	0	45	2	126	3	441	0	0	0	0	2	0	0	193	0	1	25	0	0	0	121	0	0	0	0	1	234	1	243	0	2	0	0	0	2	0	0	76	130	0	0	0	5	0	4
3020	3934	"Björksjödamm"	57.707936	12.342754	808	"AWI"	808	12303	12937	12674	1	21	7	171	2	580	4	0	0	0	2	1	0	276	0	0	0	3	0	1	94	0	0	0	0	0	389	1	206	0	0	0	0	0	8	0	1	42	108	1	0	0	3	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	810	"AWI"	810	12436	13019	12771	0	60	4	291	2	762	0	0	0	0	7	0	0	360	0	1	0	0	0	0	234	4	0	0	0	0	174	2	333	1	0	0	0	0	8	0	6	67	105	1	0	0	11	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	812	"AWI"	812	12544	13066	12844	0	27	0	155	0	532	0	0	0	0	0	1	0	351	0	1	0	4	0	0	163	0	0	0	0	0	340	0	229	0	4	0	0	1	3	0	5	59	89	0	0	1	5	0	0
3020	3934	"Björksjödamm"	57.707936	12.342754	814	"AWI"	814	12625	13142	12911	0	49	4	212	3	721	0	0	0	0	3	0	0	414	0	1	0	3	0	0	292	1	0	0	0	1	269	0	363	0	3	0	0	0	0	0	5	104	152	1	0	0	11	1	2
3020	3934	"Björksjödamm"	57.707936	12.342754	816	"AWI"	816	12731	13215	12980	0	24	0	135	1	479	5	0	0	0	2	1	0	291	3	0	0	3	0	0	224	0	0	0	0	0	375	0	331	0	0	0	0	1	4	0	9	89	81	0	0	0	9	0	3
