"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Pyrus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15689	24053	"Rinderplatz"	46.644508	11.491498	1	"AWI"	1	-96	74	-6	5	0	37	0	0	4	0	0	1	0	94	0	6	0	1	0	0	5	0	0	9	0	0	227	0	0	0	0	0	0	7	0	0	0	1	0	0	35	0	0	0	0	0	0	149	722	0	0	0	87	0	0	0	1	22	0	1	0	1	11	0	0	0	0	1	0	2	0	1	4	0	1
15689	24053	"Rinderplatz"	46.644508	11.491498	5	"AWI"	5	-67	178	40	3	0	34	0	0	2	0	0	3	0	53	0	6	0	0	0	0	8	0	0	9	0	0	192	0	0	0	0	0	0	3	0	0	0	4	2	0	21	0	0	0	0	0	0	141	554	0	0	0	87	0	0	0	0	18	0	2	0	2	8	0	0	0	0	0	0	1	1	3	7	1	0
15689	24053	"Rinderplatz"	46.644508	11.491498	10	"AWI"	10	-47	356	93	2	0	37	3	0	1	0	0	6	0	55	0	5	0	2	0	0	8	0	0	8	0	0	103	0	0	0	0	0	0	9	7	0	0	1	0	0	40	0	0	0	0	0	0	172	483	0	0	0	83	0	0	0	0	8	0	0	0	0	15	0	0	0	0	2	0	1	0	1	6	0	0
15689	24053	"Rinderplatz"	46.644508	11.491498	15	"AWI"	15	-31	535	147	4	0	44	0	0	2	0	0	12	0	76	0	1	0	6	0	0	12	0	0	6	0	0	212	0	0	0	0	0	0	7	0	0	0	6	13	0	35	0	0	0	0	0	0	102	652	0	0	0	90	0	0	0	0	13	0	0	0	2	7	0	0	0	1	1	0	3	0	0	9	0	0
15689	24053	"Rinderplatz"	46.644508	11.491498	20	"AWI"	20	-3	675	207	3	0	47	1	0	1	0	0	10	0	47	0	8	0	3	0	0	12	0	0	4	0	0	189	0	0	0	0	0	0	2	0	0	0	3	10	0	17	0	0	0	0	0	0	82	644	0	0	0	125	0	0	1	0	6	0	2	0	4	11	0	0	0	0	0	1	0	0	0	8	0	0
15689	24053	"Rinderplatz"	46.644508	11.491498	25	"AWI"	25	39	746	276	7	0	120	5	0	8	0	0	13	0	76	0	22	0	7	0	0	27	0	0	2	0	0	439	0	0	0	0	0	0	12	0	0	0	7	38	0	37	0	0	0	0	0	0	54	449	0	0	0	283	0	0	0	0	29	0	3	0	5	15	0	0	0	0	0	1	3	0	0	14	1	0
15689	24053	"Rinderplatz"	46.644508	11.491498	27.5	"AWI"	27.5	55.5	777.5	310.5	1	0	4	0	0	0	0	0	3	0	16	0	1	0	2	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	6	0	0	0	2	2	0	4	0	0	0	0	0	0	26	640	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
15689	24053	"Rinderplatz"	46.644508	11.491498	30	"AWI"	30	69	815	345	1	0	26	0	0	1	0	0	5	0	20	0	1	0	0	0	0	2	0	0	3	0	0	48	0	0	0	0	0	0	10	0	0	0	2	11	0	4	1	0	0	0	0	0	21	457	1	0	0	68	0	0	0	0	10	0	0	0	0	6	1	0	0	0	0	0	0	0	0	9	0	1
15689	24053	"Rinderplatz"	46.644508	11.491498	32.5	"AWI"	32.5	80	874	378.5	0	1	42	0	0	2	0	0	20	0	70	0	7	0	1	0	0	6	0	0	3	0	0	102	0	0	0	0	0	0	12	0	0	0	5	15	0	19	0	0	0	0	0	0	60	577	0	0	0	120	0	0	0	0	12	0	0	0	1	7	0	0	0	0	0	1	0	0	1	14	0	0
15689	24053	"Rinderplatz"	46.644508	11.491498	35	"AWI"	35	88	929	410	0	0	64	0	0	2	0	0	27	0	130	0	5	0	6	0	0	12	0	0	2	0	0	300	0	0	0	0	0	0	22	0	0	0	18	51	0	15	0	0	0	0	0	0	88	582	0	0	0	208	0	0	0	0	41	0	1	0	2	11	0	0	0	0	0	0	4	0	1	27	3	0
