"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
3236	4203	"Liivjarve Bog"	59.30546	27.57509	11	"AWI"	11	-63	424	93	0	70	0	0	1	0	128	0	1	3	177	1	1	41	259	0	0	0	1	0	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	21	"AWI"	21	15	633	240	0	104	1	0	5	0	120	0	0	1	33	0	0	57	240	0	2	0	0	2	0	1	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	32	"AWI"	32	120	827	408	0	66	0	0	3	0	186	0	0	1	112	0	1	38	223	0	3	0	0	3	0	1	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	45	"AWI"	45	268	1036	610	0	37	0	0	0	0	134	0	1	1	9	0	1	76	210	0	1	0	0	0	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	57	"AWI"	57	406	1213	793	1	65	0	0	1	0	140	0	8	3	14	0	2	48	203	0	3	0	0	0	1	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	65	"AWI"	65	513	1319	914	0	15	1	0	1	3	175	1	4	1	26	1	1	88	240	0	3	0	0	2	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	77	"AWI"	77	681	1468	1100	1	36	1	0	6	0	167	0	6	0	21	1	1	125	220	0	7	0	0	3	3	1	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	86	"AWI"	86	828	1577	1238	0	58	0	0	3	0	152	0	3	0	20	2	2	18	209	0	6	0	0	1	1	4	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	96	"AWI"	96	991	1692	1385	0	92	0	0	2	0	138	0	3	0	17	2	1	77	187	0	4	0	0	4	2	1	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	106	"AWI"	106	1173	1792	1536	0	108	1	0	1	0	168	0	8	1	26	0	1	66	156	0	1	0	0	0	4	4	1
3236	4203	"Liivjarve Bog"	59.30546	27.57509	116	"AWI"	116	1382	1875	1675	0	35	0	0	0	0	69	0	2	2	8	0	0	20	79	0	1	0	0	0	0	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	126	"AWI"	126	1639	1969	1806	0	72	0	0	0	0	130	0	7	1	13	0	2	58	130	0	4	0	0	0	0	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	136	"AWI"	136	1769	2142	1935	0	49	0	0	0	0	70	0	0	2	8	0	0	73	79	0	3	0	1	0	1	9	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	146	"AWI"	146	1834	2344	2055	0	63	0	0	1	0	184	0	2	1	2	0	1	32	117	0	2	0	0	0	2	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	156	"AWI"	156	1920	2523	2177	0	27	0	0	0	0	75	0	3	0	10	0	0	115	154	0	2	0	1	2	0	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	166	"AWI"	166	2012	2696	2304	0	96	0	0	2	0	146	1	6	2	11	0	1	73	131	0	1	0	3	1	2	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	176	"AWI"	176	2106	2830	2431	0	129	0	0	1	0	223	0	4	1	7	0	0	36	120	0	3	0	0	3	3	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	186	"AWI"	186	2200	2972	2560	1	46	0	0	1	0	124	0	6	2	14	0	0	44	100	0	3	0	0	0	3	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	196	"AWI"	196	2310	3109	2685	0	28	0	0	0	0	42	0	1	1	10	2	1	56	79	0	3	2	0	0	4	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	217	"AWI"	217	2542	3369	2965	0	131	0	0	3	0	125	0	20	0	13	1	1	101	141	0	3	0	0	1	6	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	227	"AWI"	227	2673	3475	3097	0	110	1	0	0	0	145	1	13	1	11	0	2	85	153	0	10	1	0	6	4	4	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	234	"AWI"	234	2769	3550	3188	0	91	1	0	4	0	182	0	27	1	103	1	4	88	158	0	6	1	0	4	8	12	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	245	"AWI"	245	2917	3661	3329	0	108	0	0	1	0	187	0	10	2	18	3	2	62	148	0	9	0	3	3	4	15	1
3236	4203	"Liivjarve Bog"	59.30546	27.57509	256	"AWI"	256	3066	3775	3471	0	98	0	0	1	0	162	0	24	0	9	5	2	107	131	0	14	0	2	3	7	6	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	266	"AWI"	266	3221	3871	3596	0	69	0	0	0	0	81	0	10	0	8	0	0	112	40	0	0	0	0	1	9	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	276	"AWI"	276	3392	3961	3720	0	57	0	0	1	0	160	0	12	1	18	4	3	117	139	0	8	1	0	2	4	10	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	294	"AWI"	294	3752	4104	3935	0	80	1	0	1	0	150	0	14	1	53	5	0	128	140	0	6	3	0	0	5	6	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	306	"AWI"	306	3890	4304	4081	0	102	1	0	1	0	185	0	20	0	16	0	1	67	117	0	14	2	0	1	20	18	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	316	"AWI"	316	3970	4489	4191	0	95	1	0	1	0	120	0	14	0	35	1	0	144	112	0	4	0	0	2	15	12	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	327	"AWI"	327	4056	4650	4316	0	99	0	0	0	0	177	0	29	1	29	10	0	61	195	0	8	1	1	4	10	22	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	339	"AWI"	339	4157	4813	4454	0	87	1	0	3	0	156	0	17	1	14	4	2	83	112	0	14	2	0	4	14	27	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	347	"AWI"	347	4232	4903	4545	1	150	0	0	0	0	134	0	37	0	17	0	0	82	88	0	11	0	0	2	15	20	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	359	"AWI"	359	4350	5058	4680	0	148	1	0	0	0	153	0	15	1	29	1	1	62	88	0	23	4	0	2	13	12	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	371	"AWI"	371	4466	5205	4819	1	143	0	0	0	0	138	0	29	1	28	1	0	44	136	0	8	0	1	2	21	18	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	381	"AWI"	381	4570	5308	4939	2	171	0	0	1	0	100	0	20	1	16	4	0	47	112	0	11	2	1	1	17	26	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	389	"AWI"	389	4662	5380	5027	0	136	2	0	2	0	152	0	22	1	28	2	0	24	162	0	16	4	0	2	15	35	0
