"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15921	24520	"Cherine"	46.79222	1.1775	5	"AWI"	5	-115	68	-20	0	0	4	1	0	0	1	0	0	3	0	1	3	0	0	0	0	0	0	9	0	4	0	0	0	1	1	1	65	0	0	0	0	1	5	0	0	2	1	2	0	115	9	0	0	115
15921	24520	"Cherine"	46.79222	1.1775	10	"AWI"	10	-86	108	14	0	1	2	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	1	3	0	3	0	0	0	0	6	2	92	0	0	5	0	0	1	0	0	4	0	1	0	48	10	0	0	79
15921	24520	"Cherine"	46.79222	1.1775	15	"AWI"	15	-59	148	49	0	0	1	2	0	0	1	0	0	3	0	1	0	0	0	1	5	0	3	1	0	2	0	0	1	0	1	2	98	0	1	10	0	2	5	0	0	2	0	0	5	31	12	0	0	42
15921	24520	"Cherine"	46.79222	1.1775	20	"AWI"	20	-28	182	84	0	1	1	1	0	0	1	0	0	6	0	1	0	0	1	0	3	0	3	2	0	0	0	0	2	0	1	2	84	0	2	39	0	2	2	0	0	2	0	0	4	32	14	0	0	7
15921	24520	"Cherine"	46.79222	1.1775	25	"AWI"	25	1	212	120	0	0	2	0	0	0	0	0	1	9	0	2	0	0	0	0	2	0	2	0	0	3	1	1	1	0	1	3	59	0	2	30	0	2	0	0	0	1	0	4	2	14	8	1	0	2
15921	24520	"Cherine"	46.79222	1.1775	35	"AWI"	35	63	267	198	2	1	1	3	0	0	2	0	1	3	0	1	2	1	0	0	0	0	13	3	0	0	0	0	0	1	3	5	66	0	1	1	1	2	2	0	0	7	0	1	2	80	14	0	0	192
15921	24520	"Cherine"	46.79222	1.1775	45	"AWI"	45	131	350	266	1	1	0	1	2	0	0	0	2	3	0	1	1	0	1	0	0	0	7	3	0	0	0	0	0	0	5	2	56	0	2	1	2	1	3	0	0	1	0	1	7	69	10	0	0	187
15921	24520	"Cherine"	46.79222	1.1775	60	"AWI"	60	255	458	376	1	1	2	0	1	0	1	0	1	15	0	2	0	0	0	0	0	0	3	1	0	5	1	0	2	0	1	2	107	0	2	9	0	1	2	0	0	3	0	4	1	35	12	0	0	7
15921	24520	"Cherine"	46.79222	1.1775	70	"AWI"	70	325	563	452	0	1	1	1	3	0	1	0	1	35	0	2	0	0	0	0	2	0	2	2	0	4	1	0	1	0	0	5	125	0	0	16	0	1	4	0	0	3	0	1	3	24	20	0	0	12
15921	24520	"Cherine"	46.79222	1.1775	75	"AWI"	75	361	616	493	1	2	2	0	3	0	1	0	1	26	0	3	1	0	1	0	0	0	5	3	3	4	0	0	1	1	3	1	83	0	5	9	1	4	4	0	0	4	0	8	5	60	13	0	0	4
