"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15863	24414	"Brameloup"	44.74444	3.08111	470	"AWI"	470	7870	9124	8388	0	0	0	0	0.657894736842105	0	0.657894736842105	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0.657894736842105	0	29.6052631578947	0	41.4473684210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4736842105263	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31578947368421	5.92105263157895	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	480	"AWI"	480	7920	9347	8496	0	0	0.645161290322581	0	0	0	0	0	3.87096774193548	0	0	0	0	0	0	0	0	0	0	0	0	31.6129032258064	0	36.1290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8709677419355	0	0	0	0	0	0	0.645161290322581	0	0	0	0	0	0	0	3.2258064516129	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	490	"AWI"	490	8001	9497	8601	0	0	0	0	0.490196078431373	0	0	0	4.41176470588235	0	0	0	0	0	0	0	0	0	0	0	0	35.7843137254902	0	16.1764705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490196078431373	0	0	0	0	0	0.490196078431373	0	37.2549019607843	0	0.490196078431373	0	0	0	0	0.490196078431373	0	0	0	0	0	0	0	3.92156862745098	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	500	"AWI"	500	8109	9593	8717	0	0	0.364963503649635	0	1.09489051094891	0.364963503649635	0	0	9.48905109489051	0	0	0.72992700729927	0	0	0	0	0	0	0	0	0	34.6715328467153	0	11.3138686131387	0.364963503649635	0	0	0	0	0	0.364963503649635	0	0	0	0	0	0	0.364963503649635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5620437956204	0	0.72992700729927	0	0	0	0.364963503649635	0	0.364963503649635	0	0	0	0	0	0	9.85401459854015	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	510	"AWI"	510	8185	9728	8829	0	0	0	0	0	0	0	0	4.82456140350877	0	0	0	0	0	0	0	0	0	0	0	0	31.140350877193	0	15.3508771929825	0	0	0	0	0	0	0	0.43859649122807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.2280701754386	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87719298245614	5.70175438596491	0	0.43859649122807	0	0
15863	24414	"Brameloup"	44.74444	3.08111	520	"AWI"	520	8238	9900	8939	0	0	0	0	0	0	0	0	6.2015503875969	0	0	0	0	0	0	0	0	0	0	0	0	41.0852713178295	0	21.7054263565891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.031007751938	0	0.775193798449612	0	0	0	0	0	0.775193798449612	0	0	0	0	0	0	5.42635658914729	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	530	"AWI"	530	8375	10011	9058	0	0	0	0	0	0	0	0	3.75	0	0	0	0	0	0	0	0	0	0	0	0	30	0	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.125	0	0	0	0	0	0	0	0.625	0	0	0	0	0	0	3.75	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	540	"AWI"	540	8485	10113	9194	0	0	0	0	0.431034482758621	0	0.862068965517241	0	7.75862068965517	0	0	0	0	0	0	0	0	0	0	0	0	43.1034482758621	0	9.48275862068965	0	0	0	0	0	0	0	0	0	0	0	0	0.431034482758621	0	0.431034482758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0344827586207	0	0	0	0	0	0	0	0.431034482758621	0	0	0	0	0	0	6.03448275862069	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	550	"AWI"	550	8572	10244	9324	0	0	2.04081632653061	0	2.04081632653061	0	0	0	4.08163265306122	0	0	0	0	0	0	0	0	0	0	0	0	34.6938775510204	0	13.265306122449	0	0	0	0	0	0	1.02040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.734693877551	0	0	0	0	0	0	0	1.02040816326531	0	0	0	0	0	0	5.10204081632653	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	560	"AWI"	560	8626	10444	9448	0	0	0	0	0	0	0.69204152249135	0	6.22837370242214	0	0	0	0	0	0	0	0	0	0	0	0	34.6020761245675	0	8.65051903114187	0	0	0	0	0	0	0	0	0	0	0	0	0.346020761245675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.9480968858132	0	0	0	0	0	0	0	1.03806228373702	0	0	0	0	0	0	13.4948096885813	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	570	"AWI"	570	8790	10528	9583	0	0	0.43859649122807	0	0.43859649122807	0	0.43859649122807	0	7.89473684210526	0	0	0	0	0	0	0	0	0	0	0	0	50.8771929824561	0	4.3859649122807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31578947368421	0	28.9473684210526	0	0	0	0	0	0	0	0.43859649122807	0	0	0	0	0	0	4.82456140350877	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	580	"AWI"	580	8905	10672	9734	0	0.378787878787879	0	0.378787878787879	0.378787878787879	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	37.8787878787879	0	16.6666666666667	0	0	0	0	0	0	0	0.757575757575758	0	0	0	0	0.378787878787879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8939393939394	0	0.757575757575758	0	0	0	0	0.378787878787879	0	0	0	0	0	0.378787878787879	0	6.43939393939394	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	590	"AWI"	590	8992	10875	9880	0	0.469483568075117	0	0	0	0	0	0	17.8403755868545	0	0	0	0	0	0	0	0	0	0	0	0	49.2957746478873	0	5.16431924882629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469483568075117	0	19.7183098591549	0	0.938967136150235	0	0	0	0	0.938967136150235	0.469483568075117	0	0	0	0.469483568075117	0	0	4.22535211267606	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	600	"AWI"	600	9113	11080	10020	0	0	0	0	0.325732899022801	0	0.977198697068404	0	17.5895765472313	0	0	0	0	0	0	0	0	0	0	0	0	48.8599348534202	0	3.58306188925081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325732899022801	0	21.4983713355049	0	0.651465798045603	0	0	0	0.325732899022801	0.651465798045603	0.325732899022801	0	0	0	0	0	0	4.88599348534202	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	610	"AWI"	610	9327	11165	10163	0	0	0	0.478468899521531	0.478468899521531	0	0.478468899521531	0	18.1818181818182	0	0	0	0	0	0	0	0	0	0	0	0	46.88995215311	0	0.478468899521531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478468899521531	0	24.8803827751196	0	1.91387559808612	0	0	0	0.478468899521531	0.478468899521531	0.478468899521531	0	0	0	0	0	0	4.30622009569378	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	620	"AWI"	620	9469	11297	10308	0	0.311526479750779	0	0	0	0	1.24610591900312	0	16.5109034267913	0	0	0	0	0	0	0	0	0	0	0	0	46.7289719626168	0	2.18068535825545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.623052959501558	0	21.8068535825545	0	1.55763239875389	0	0	0	0	1.24610591900312	0	0	0	0	0	0	0	7.78816199376947	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	630	"AWI"	630	9566	11497	10462	0	0	0	0	0.749063670411985	0	0.374531835205993	0	14.2322097378277	0	0	0	0	0	0	0	0	0	0	0	0	50.561797752809	0	2.62172284644195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374531835205993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7265917602996	0	1.49812734082397	0	0	0	0	0.749063670411985	0.374531835205993	0	0	0	0.374531835205993	0	0	9.36329588014981	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	640	"AWI"	640	9730	11647	10623	0	0	0	0	0.668896321070234	0	1.00334448160535	0	17.056856187291	0	0	0	0	0	0	0	0	0	0	0	0	45.1505016722408	0	1.67224080267559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668896321070234	0	23.0769230769231	0	1.33779264214047	0	0	0	0.334448160535117	1.00334448160535	0.334448160535117	0	0	0	0	0	0	7.69230769230769	0	0	0	0
