"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
27171	48072	"Dárko"	49.639158	15.87283	240	"AWI"	240	4129	4589	4386	7.19178082191781	0.342465753424658	5.82191780821918	0	0	0	0.342465753424658	0	0	0	0	0	0	0	0	0	0	0	4.68036529680365	0.91324200913242	0	0	0	0	29.6803652968037	0	0	0	0	0	0.114155251141553	0	0	0	0	0	0	2.85388127853881	38.3561643835616	0	0	0	0	0	0	6.7351598173516	0	0	0	0.228310502283105	0	0.114155251141553	0	0	0	0	0	0.114155251141553	0	2.51141552511416	0
27171	48072	"Dárko"	49.639158	15.87283	250	"AWI"	250	4424	4731	4515	4.34782608695652	0	1.90880169671262	0	0	0	0.106044538706257	0	0	0	0	0	0	0	0	0	0	0	1.90880169671262	0.31813361611877	0	0	0	0	14.3160127253446	0	0	0	0	0	0	0	0	0	0	0	0	0.424178154825027	72.0042417815482	0	0	0	0	0	0	2.75715800636267	0	0	0	0	0.212089077412513	0	0	0	0	0	0	0.106044538706257	0	1.59066808059385	0
27171	48072	"Dárko"	49.639158	15.87283	260	"AWI"	260	4471	4895	4618	0.364520048602673	0.243013365735115	2.79465370595383	0	0	0	0.243013365735115	0	0	0	0	0	0	0.243013365735115	0	0	0	0	11.6646415552855	0.729040097205346	0	0	0	0	32.9283110571081	0	1.70109356014581	0	0	0	0	0	0	0	0	0	0	3.1591737545565	30.6196840826245	0	0	0	0	0	0	8.6269744835966	0	0	0	0.121506682867558	0.607533414337789	0.364520048602673	0	0	0	0	0	0.364520048602673	0	5.10328068043742	0.121506682867558
27171	48072	"Dárko"	49.639158	15.87283	270	"AWI"	270	4550	5006	4746	1.78173719376392	0.44543429844098	6.01336302895323	0	0	0	0.556792873051225	0	0	0	0	0	0	0	0	0	0	0	5.90200445434298	1.44766146993318	0	0	0	0	32.739420935412	0	0	0	0	0	0	0	0	0	0	0	0	1.0022271714922	40.7572383073497	0	0	0	0	0	0	5.23385300668151	0	0	0	0	0	0	0	0	0	0	0	0.111358574610245	0	3.89755011135857	0.111358574610245
27171	48072	"Dárko"	49.639158	15.87283	280	"AWI"	280	4645	5131	4876	0.91324200913242	0.228310502283105	9.70319634703196	0.114155251141553	0	0	0.799086757990868	0	0	0	0	0.114155251141553	0	0.228310502283105	0	0	0	0	8.10502283105023	1.25570776255708	0	0	0	0	32.648401826484	0	0	0	0	0	0	0	0	0	0	0	0	1.36986301369863	31.8493150684932	0	0	0	0	0	0	7.42009132420091	0	0	0	0	0	0.114155251141553	0	0	0	0	0	0	0	4.90867579908676	0.228310502283105
27171	48072	"Dárko"	49.639158	15.87283	290	"AWI"	290	4743	5212	4988	0.872410032715376	0.109051254089422	6.32497273718648	0	0	0	0.218102508178844	0	0	0	0	0	0.109051254089422	0	0	0	0	0	6.54307524536532	0.327153762268266	0	0	0	0	24.6455834242094	0	0	0	0	0	0	0	0	0	0	0	0	1.19956379498364	49.618320610687	0	0	0	0	0	0	4.90730643402399	0	0	0	0.109051254089422	0	0	0	0	0	0	0	0	0	4.90730643402399	0.109051254089422
27171	48072	"Dárko"	49.639158	15.87283	300	"AWI"	300	4904	5280	5120	0.629590766002099	0	2.93809024134313	0	0	0	0.524658971668415	0	0	0	0	0	0	0.104931794333683	0	0	0	0	4.40713536201469	0.944386149003148	0	0	0	0	11.4375655823715	0	0	0	0	0	0	0	0	0	0	0	0	0.314795383001049	73.4522560335782	0	0	0	0	0	0	3.04302203567681	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20356768100735	0
27171	48072	"Dárko"	49.639158	15.87283	310	"AWI"	310	5003	5525	5265	0.546075085324232	0.136518771331058	2.25255972696246	0	0	0	0	0	0	0	0	0	0	0.068259385665529	0	0	0	0	2.45733788395904	0.887372013651877	0	0	0	0	10.7167235494881	0	0	0	0	0	0	0	0	0	0	0	0	0.136518771331058	78.5665529010239	0	0	0	0	0	0	2.18430034129693	0	0	0	0	0.204778156996587	0	0	0	0	0	0	0	0	1.84300341296928	0
27171	48072	"Dárko"	49.639158	15.87283	320	"AWI"	320	5122	5668	5413	0.227531285551763	0.341296928327645	5.46075085324232	0	0	0	0.68259385665529	0	0	0	0	0	0	0	0	0	0	0	7.62229806598407	1.36518771331058	0	0	0	0	19.4539249146758	0	0	0	0	0	0	0	0	0	0	0	0	0.341296928327645	54.9488054607508	0	0	0	0	0	0	5.34698521046644	0	0	0	0	0	0	0	0.113765642775882	0	0	0	0	0	3.86803185437998	0.227531285551763
27171	48072	"Dárko"	49.639158	15.87283	330	"AWI"	330	5271	5784	5563	0.347624565469293	0.115874855156431	9.84936268829664	0	0	0	0.579374275782155	0	0	0	0	0	0	0	0	0	0	0	22.7114716106605	4.40324449594438	0	0	0	0	20.5098493626883	0	0	0.115874855156431	0	0	0	0	0	0	0	0	0	0.579374275782155	31.0544611819235	0	0	0	0	0	0	5.56199304750869	0	0	0	0	0.115874855156431	0.231749710312862	0	0	0	0	0	0	0	3.82387022016222	0
27171	48072	"Dárko"	49.639158	15.87283	340	"AWI"	340	5437	5902	5709	0.480192076830732	0.240096038415366	8.64345738295318	0	0	0	0.960384153661465	0	0	0	0	0	0.120048019207683	0.240096038415366	0	0	0	0	24.249699879952	1.56062424969988	0	0	0	0	10.4441776710684	0	0	0	0	0	0	0	0	0	0	0	0	0.480192076830732	37.0948379351741	0	0	0	0	0	0	6.96278511404562	0	0	0	0	0	0	0	0.120048019207683	0	0	0	0	0	8.28331332533013	0.120048019207683
27171	48072	"Dárko"	49.639158	15.87283	350	"AWI"	350	5715	5987	5828	0	0.116279069767442	5.11627906976744	0	0	0.348837209302326	0.116279069767442	0	0	0	0	0	0	0.116279069767442	0	0	0	0	15.3488372093023	1.04651162790698	0	0	0	0	6.51162790697674	0	0	0	0	0	0	0	0	0	0	0	0	0.232558139534884	53.1395348837209	0	0	0	0	0	0	9.18604651162791	0	0	0	0	0.116279069767442	0	0	0	0	0	0	0.232558139534884	0	8.37209302325581	0
27171	48072	"Dárko"	49.639158	15.87283	360	"AWI"	360	5805	6343	5995	0.124378109452736	0.870646766169154	14.3034825870647	0	0	0	0.870646766169154	0	0	0	0	0	0	0.124378109452736	0	0	0	0	26.3681592039801	1.99004975124378	0	0	0	0	3.85572139303483	0	0	0	0	0	0	0	0	0	0	0	0	0.497512437810945	35.3233830845771	0	0	0	0	0	0	8.83084577114428	0	0	0	0	0	0	0	0.248756218905473	0	0	0	0.248756218905473	0	6.34328358208955	0
27171	48072	"Dárko"	49.639158	15.87283	370	"AWI"	370	5892	6492	6182	0.237812128418549	0.356718192627824	9.8692033293698	0	0	0.118906064209275	1.18906064209275	0	0	0	0	0	0	0	0	0	0	0	23.5434007134364	0.713436385255648	0	0	0	0	1.78359096313912	0	0	0	0	0	0	0	0	0	0	0	0	0.356718192627824	42.8061831153389	0	0	0	0	0	0	6.18311533888228	0	0	0	0	0	0.118906064209275	0	0	0	0	0	0	0	12.6040428061831	0.118906064209275
