"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13451	20180	"Zahájí"	50.37944	14.11556	1	"AWI"	1	-128	46	-43	0	0	50.1100282929896	0.848789688777114	0	0	0.754479723357435	0	10.6570260924238	0	1.03740961961647	0	0	0	0	0	0	0	4.62118830556429	0	0	0.0314366551398931	0	0	0	0.440113171958504	0	0.0628733102797862	0.0314366551398931	12.6689720213769	0	0	0	0	0.220056585979252	0	0	0.0314366551398931	0	0	0	0.188619930839359	0	1.79188934297391	5.72147123546055	0	5.97296447657969	0	0.0314366551398931	0	0	2.2634391700723	0	0	0	0.188619930839359	0	0.251493241119145	1.50895944671487	0	0	0	0.125746620559572	0	0	0.0314366551398931	0.0628733102797862	0	0.314366551398931	0.0314366551398931
13451	20180	"Zahájí"	50.37944	14.11556	30	"AWI"	30	-39	383	152	0.410466906105695	0	44.9974345818368	1.48794253463315	0	0	0.82093381221139	0	16.8804515135967	0	0.307850179579271	0	2.46280143663417	0	0	0	0	0	3.4376603386352	0	0.102616726526424	2.10364289379169	0	0	0	0	0	0.769625448948179	1.7444843509492	0.256541816316059	0	0	0	0	0.0513083632632119	0.0513083632632119	0	0	0	0	0	0.718317085684967	0	1.7444843509492	12.3653155464341	0	0	0	0.153925089789636	0	0	8.10672139558748	0	0	0	0.256541816316059	0	0.461775269368907	0	0	0	0	0	0	0	0	0	0.307850179579271	0	0
13451	20180	"Zahájí"	50.37944	14.11556	40	"AWI"	40	-1	496	217	0.130932896890344	0	53.3551554828151	0.261865793780687	0	0	0.261865793780687	0	36.3338788870704	0	0.0654664484451719	0	0	0	0	0	0	0	0.392798690671031	0	0	1.30932896890344	0	0	0	0	0	0.0327332242225859	1.6366612111293	0	0	0	0	0	0	0	0	0	0.0654664484451719	0	0	0.0654664484451719	0	0.130932896890344	2.35679214402619	0	0	0	0.425531914893617	0.327332242225859	0	2.12765957446809	0	0	0	0.458265139116203	0	0.196399345335516	0	0	0	0	0.0327332242225859	0	0	0	0	0	0.0327332242225859	0
13451	20180	"Zahájí"	50.37944	14.11556	50	"AWI"	50	110	513	292	0.124688279301746	0	55.4031587697423	0.457190357439734	0	0.0415627597672485	1.16375727348296	0	22.402327514547	0	0.249376558603491	0.0415627597672485	3.74064837905237	0	0	0	0	0	1.70407315045719	0	0.0415627597672485	4.65502909393184	0	0	0	0	0	0.207813798836243	1.16375727348296	0.0831255195344971	0.0415627597672485	0	0	0.0415627597672485	0	0.0415627597672485	0	0	0.124688279301746	0	0	0.0415627597672485	0	0.498753117206983	3.82377389858687	0	0	0	0.207813798836243	0.415627597672485	0	1.82876142975894	0	0	0	0.29093931837074	0.58187863674148	0.29093931837074	0	0	0	0	0	0	0.0415627597672485	0	0	0	0.249376558603491	0
13451	20180	"Zahájí"	50.37944	14.11556	60	"AWI"	60	186	543	370	0.234879624192601	0	58.3088667058133	0.704638872577804	0	0.0587199060481503	2.23135642982971	0	6.51790957134469	0	0.469759248385203	0.117439812096301	7.51614797416324	0	0	0	0	0	3.22959483264827	0	0.117439812096301	8.57310628302995	0	0	0	0	0	0.411039342337052	0.587199060481503	0.176159718144451	0.0587199060481503	0	0	0.0587199060481503	0	0.0587199060481503	0	0	0.234879624192601	0	0	0.0587199060481503	0	0.939518496770405	5.51967116852613	0	0	0	0	0.528479154433353	0	1.46799765120376	0	0	0	0.117439812096301	0.763358778625954	0.411039342337052	0	0	0	0	0	0	0.0587199060481503	0	0	0	0.469759248385203	0
13451	20180	"Zahájí"	50.37944	14.11556	70	"AWI"	70	246	590	452	0.461254612546125	0	36.5313653136531	2.5830258302583	0	0	3.13653136531365	0	7.93357933579336	0	0.55350553505535	0.276752767527675	7.47232472324723	0	0	0	0	0	2.12177121771218	0	0.0922509225092251	7.65682656826568	0	0	0	0	0	0.276752767527675	0.55350553505535	0.0922509225092251	0	0	0	0.276752767527675	0	0.3690036900369	0	0	0.18450184501845	0	0	0	0	2.49077490774908	18.2656826568266	0	0	0	0	0.3690036900369	0	1.01476014760148	0	0	0	3.41328413284133	2.02952029520295	1.29151291512915	0	0	0	0	0	0	0.0922509225092251	0	0	0	0.461254612546125	0
13451	20180	"Zahájí"	50.37944	14.11556	90	"AWI"	90	462	653	559	0.882352941176471	0	2.35294117647059	6.17647058823529	0	0	5.29411764705882	0	11.4705882352941	0	0.882352941176471	0.588235294117647	0	0	0	0	0	0	0.294117647058824	0	0	7.05882352941176	0	0	0	0	0	0	0.588235294117647	0	0	0	0	0.588235294117647	0	0.882352941176471	0	0	0	0	0	0	0	5.58823529411765	43.5294117647059	0	0	0	0	0	0	0.294117647058824	0	0	0	9.70588235294118	0	2.94117647058824	0	0	0	0	0	0	0.294117647058824	0	0	0	0.588235294117647	0
13451	20180	"Zahájí"	50.37944	14.11556	100	"AWI"	100	556	689	607	0.0679347826086956	0	21.6032608695652	1.5625	0	0	3.125	0	59.7826086956522	0	0.407608695652174	0	2.85326086956522	0	0	0	0	0	0.203804347826087	0	0	0.0679347826086956	0	0	0	0	0	0.0679347826086956	0.747282608695652	0	0	0	0	0	0	0	0	0	0	0	0	0.0679347826086956	0	0.611413043478261	7.54076086956522	0	0	0	0.0679347826086956	0	0	0.339673913043478	0	0	0	0.611413043478261	0	0.135869565217391	0	0	0	0	0	0	0.0679347826086956	0	0	0	0.0679347826086956	0
13451	20180	"Zahájí"	50.37944	14.11556	110	"AWI"	110	575	797	671	0.120772946859903	0	14.975845410628	2.29468599033816	0	0	9.42028985507246	0	45.5314009661836	0	0.845410628019324	0	5.67632850241546	0	0	0	0	0	1.32850241545894	0	0	1.32850241545894	0	0	0	0	0	0.241545893719807	0.483091787439614	0	0	0	0	0	0	0.120772946859903	0	0	0	0	0	0.72463768115942	0	1.08695652173913	12.6811594202899	0	0	0	0	0	0	0.72463768115942	0	0	0	1.57004830917874	0	0.72463768115942	0	0	0	0	0	0	0	0	0	0.120772946859903	0	0
13451	20180	"Zahájí"	50.37944	14.11556	120	"AWI"	120	599	860	711	0.314465408805031	0	1.57232704402516	4.71698113207547	0	0	17.9245283018868	0	19.811320754717	0	2.20125786163522	0	0	0	0	0	0	0	4.40251572327044	0	0	4.71698113207547	0	0	0	0	0	0.943396226415094	0	0	0	0	0.314465408805031	0	0	0.314465408805031	0	0	0	0	0	2.51572327044025	0	2.51572327044025	28.3018867924528	0	0	0	0	0	0	2.20125786163522	0	0	0	4.40251572327044	0	2.51572327044025	0	0	0	0	0	0	0	0	0	0.314465408805031	0	0
