"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	0	"AWI"	0	-121	46	-41	4	0	0	0	0	0	0	3	0	0	63	0	2	0	0	0	0	0	0	0	3	21	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	548	243	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	10	"AWI"	10	-17	892	281	3	0	0	2	0	1	0	1	0	0	48	0	0	0	0	0	0	0	0	0	3	55	1	0	0	0	7	0	0	0	0	0	0	0	0	3	0	2	624	320	0	0	50	0	0	5	0	0	0	0	0	0	1	0	2	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	20	"AWI"	20	25	1813	596	3	0	0	1	0	1	0	5	0	0	44	0	0	0	1	0	0	0	0	0	1	40	0	0	0	0	3	0	0	0	0	0	1	0	0	29	0	1	215	239	0	0	33	0	0	5	0	0	0	0	0	0	0	1	1	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	30	"AWI"	30	145	2584	941	104	0	0	1	0	1	0	7	0	0	69	0	0	0	0	0	0	0	1	0	10	14	0	0	0	0	77	0	0	0	0	0	0	0	0	6	0	2	623	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1	2	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	40	"AWI"	40	392	2794	1461	110	1	0	0	0	3	0	12	0	0	0	0	1	0	0	0	0	0	0	0	16	3	0	0	0	0	107	0	1	0	0	0	0	0	0	5	0	1	791	87	0	0	0	0	0	9	0	0	0	0	0	0	1	1	3	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	60	"AWI"	60	931	3488	2307	141	4	0	4	0	1	0	4	0	0	32	0	0	0	0	0	0	2	0	0	6	4	0	0	0	0	129	1	0	0	0	0	0	0	0	1	0	0	891	0	0	0	0	1	0	16	0	0	0	0	0	0	0	3	2	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	80	"AWI"	80	1911	3739	3133	161	0	0	3	0	1	0	6	0	0	32	0	0	1	0	0	0	1	0	0	6	3	0	0	0	0	74	0	0	0	0	0	0	0	0	2	0	2	899	0	0	0	0	1	0	5	0	0	0	0	0	0	0	2	1	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	100	"AWI"	100	3294	4007	3683	138	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	1	0	0	130	0	0	0	0	0	0	0	0	0	0	2	934	56	0	0	0	0	0	9	0	0	0	0	0	0	0	3	5	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	120	"AWI"	120	3761	4618	4136	146	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	69	0	0	0	0	0	0	0	0	4	0	0	856	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	3	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	140	"AWI"	140	3884	5245	4417	174	1	0	0	0	3	0	1	0	0	26	0	1	0	0	0	0	0	0	0	7	14	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	3	0	65	0	0	0	0	0	10	0	0	0	0	0	0	0	5	2	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	160	"AWI"	160	4116	5577	4765	95	1	0	0	0	0	0	4	0	0	36	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	140	0	0	0	0	0	0	0	0	1	1	3	1019	94	0	0	0	0	0	13	0	0	1	0	0	0	0	3	3	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	180	"AWI"	180	4347	5943	5079	66	2	0	1	0	4	0	0	1	0	25	0	1	1	0	0	0	0	0	0	13	6	0	0	0	0	65	1	0	0	0	0	0	0	0	2	0	0	858	39	0	0	0	0	0	14	0	0	0	0	0	0	2	3	8	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	200	"AWI"	200	4542	6250	5387	36	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	46	1	0	0	0	0	0	0	0	0	0	0	886	63	0	0	0	0	0	12	0	0	0	0	0	0	0	2	5	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	220	"AWI"	220	4750	6503	5707	57	0	0	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	0	18	6	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	926	50	0	0	0	0	0	15	0	0	0	0	0	1	1	6	2	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	240	"AWI"	240	5105	6693	6010	45	1	0	0	0	3	0	5	0	0	40	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	954	76	0	0	0	0	0	18	0	0	0	0	0	0	0	3	18	0	0
3482	4501	"Grosses Überling Schattseit-Moor"	47.17222	13.9	260	"AWI"	260	5462	6912	6323	33	0	0	1	0	0	0	2	0	0	32	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	1147	0	0	0	0	0	0	7	0	0	0	0	1	0	0	1	7	0	0
