"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	562	"AWI"	562	-145	19	-59	0	9	0	2	0	2	0	11	0	0	0	0	60	1	0	45	0	0	0	0	0	0	6	6	0	0	21	0	0	147	0	1	11	3	9	0	17	3	0	0	1	0	0	0	2	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	570	"AWI"	570	-97	216	21	0	15	0	0	0	0	6	25	1	0	0	0	65	0	0	36	123	0	1	0	3	0	19	18	0	0	0	0	0	157	0	0	7	0	0	0	18	3	0	0	0	0	0	0	5	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	578	"AWI"	578	-45	353	108	0	20	0	1	0	0	0	15	1	0	0	0	86	3	0	40	0	0	1	0	0	0	11	6	0	0	0	0	0	149	0	1	5	2	13	0	18	1	0	0	0	0	0	0	5	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	586	"AWI"	586	11	483	199	0	9	0	0	0	0	4	21	0	0	0	0	63	0	0	53	0	0	1	0	0	0	12	5	0	0	0	0	0	119	0	0	12	2	0	0	13	2	0	0	1	0	0	0	11	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	594	"AWI"	594	68	609	294	0	25	0	0	0	1	0	16	0	0	0	0	74	1	0	32	0	0	1	0	0	0	32	2	0	0	0	0	0	110	0	0	11	0	10	0	3	3	0	0	0	1	0	0	3	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	602	"AWI"	602	123	728	390	0	18	0	0	1	0	2	17	1	0	0	0	73	0	0	57	0	0	0	0	0	0	6	13	0	0	0	0	0	110	0	0	9	0	0	0	10	5	0	1	1	0	0	0	11	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	610	"AWI"	610	198	812	490	0	14	0	0	0	1	0	23	0	0	0	1	53	0	0	58	0	0	0	1	0	0	15	4	0	0	0	0	0	117	0	0	7	1	11	0	6	2	0	0	0	0	0	0	5	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	618	"AWI"	618	280	907	583	0	23	1	0	0	0	0	23	0	0	0	1	61	0	0	40	138	0	4	0	3	0	18	8	0	0	0	0	0	0	0	0	21	0	0	0	10	4	0	0	0	0	1	0	7	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	626	"AWI"	626	356	990	674	0	17	0	0	0	0	0	20	1	0	0	0	76	0	0	63	0	0	1	0	0	0	18	14	0	0	0	0	0	113	0	0	16	0	0	1	5	7	0	0	0	0	0	0	4	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	634	"AWI"	634	439	1067	763	0	17	0	0	0	1	0	9	1	0	0	0	77	0	0	64	0	0	0	0	0	0	19	10	0	0	0	0	0	0	0	0	15	0	0	0	4	1	0	0	0	0	0	1	9	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	642	"AWI"	642	517	1151	857	0	20	1	0	0	0	0	22	2	0	0	0	64	0	0	53	0	2	4	0	3	2	22	18	0	0	0	0	0	0	0	0	22	0	0	0	5	1	0	0	0	0	0	0	8	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	658	"AWI"	658	743	1296	1046	0	15	0	0	0	1	0	14	1	0	0	0	83	3	0	71	0	0	0	0	0	0	17	9	0	0	0	0	0	103	1	0	10	0	0	0	7	0	0	0	0	0	0	0	5	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	666	"AWI"	666	857	1364	1134	0	10	0	0	0	0	0	19	0	0	0	0	92	0	0	53	140	0	2	0	3	3	25	4	0	0	0	0	0	144	0	0	13	1	0	0	2	0	0	0	0	0	0	0	4	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	674	"AWI"	674	969	1429	1225	0	17	0	0	0	1	0	13	2	0	0	0	72	0	0	63	0	0	2	2	0	2	52	14	0	4	0	0	0	0	0	0	8	0	0	0	7	3	1	0	0	0	0	0	4	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	682	"AWI"	682	1092	1487	1317	0	16	0	0	0	1	0	29	0	0	0	0	54	1	0	60	97	0	1	0	0	0	22	6	0	0	0	0	0	0	0	0	9	1	0	0	6	4	0	0	0	0	0	0	5	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	690	"AWI"	690	1307	1533	1395	0	14	0	0	0	1	3	38	1	0	0	0	100	0	0	73	0	0	1	1	6	1	45	7	0	4	0	0	0	175	0	0	12	1	16	0	0	7	0	0	0	0	0	0	8	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	698	"AWI"	698	1360	1733	1505	0	5	0	0	1	2	0	29	0	0	0	0	60	0	0	68	0	0	0	0	0	0	63	19	0	6	0	0	0	139	0	0	4	0	11	2	2	8	0	0	0	0	0	0	2	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	706	"AWI"	706	1414	1942	1607	0	10	0	0	1	0	2	26	0	0	0	0	78	1	0	71	0	0	0	0	0	0	51	15	0	2	0	0	0	165	0	0	12	1	0	0	1	5	0	0	0	0	0	0	1	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	714	"AWI"	714	1468	2118	1713	0	6	0	0	0	1	3	27	0	0	0	0	58	1	0	52	89	0	1	0	6	0	36	4	0	3	0	0	0	0	0	0	1	0	21	0	2	9	0	0	0	1	0	0	3	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	722	"AWI"	722	1527	2288	1824	0	9	0	0	0	0	5	31	0	0	0	0	62	0	0	72	0	0	0	1	0	0	30	2	1	4	0	0	0	148	0	0	11	1	15	0	6	5	0	0	0	0	0	0	3	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	730	"AWI"	730	1603	2412	1935	0	4	0	0	0	1	0	39	0	0	0	0	69	0	0	73	0	0	0	2	0	0	30	9	0	3	0	0	0	121	2	0	9	0	20	0	2	6	0	0	1	0	0	0	1	0
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	738	"AWI"	738	1691	2526	2047	0	9	0	0	0	0	0	46	0	0	0	0	72	0	0	69	0	0	0	2	1	3	42	9	0	0	0	0	0	0	0	0	7	0	26	0	2	16	0	1	0	2	0	0	2	1
23919	41502	"Lough Nabraddan"	55.022748	-8.34934	754	"AWI"	754	1855	2795	2264	0	17	0	0	0	1	2	34	0	0	0	0	49	0	0	72	85	0	1	1	0	0	24	8	0	0	0	0	0	0	1	0	12	2	17	0	4	3	0	0	0	0	0	0	5	0
