"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Datiscaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malus"	"Olea"	"Orobanchaceae"	"Osmanthus"	"Ostrya.Carpinus"	"Paliurus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"	"Vitex"
3209	4167	"Küçük Akgöl"	40.86667	30.43333	520	"AWI"	520	4329	5149	4719	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	504	"AWI"	504	4195	4992	4572	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	440	"AWI"	440	3647	4353	3986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	400	"AWI"	400	3312	3945	3623	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	120	"AWI"	120	846	1246	1042	1	0	114	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	5	9	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	50	0	0	3	0	0	4	0	0	129	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	1	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	420	"AWI"	420	3479	4147	3805	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	50	"AWI"	50	239	569	390	1	0	59	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	97	0	0	3	0	0	44	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	51	0	0	6	0	0	0	0	0	160	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	0	0	0	1	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	410	"AWI"	410	3395	4045	3714	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	100	"AWI"	100	668	1054	856	2	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	4	0	0	29	0	0	0	0	0	2	0	0	0	0	4	1	1	0	0	106	0	0	0	60	0	0	2	15	0	2	0	0	231	1	0	0	0	0	0	0	7	0	0	0	0	0	0	2	24	0	0	0	2	0
3209	4167	"Küçük Akgöl"	40.86667	30.43333	80	"AWI"	80	492	863	668	1	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	28	0	0	1	0	0	32	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	81	0	0	0	61	2	0	4	0	0	1	0	0	186	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	26	0	0	0	1	0
