"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3086	46663	"Duartbeg"	58.29591	-5.12887	120	"AWI"	120	802	2295	1478	3	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	6	0	4	0	0	42	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	140	"AWI"	140	1022	2555	1747	9	0	0	0	0	0	0	0	0	0	0	12	96	0	0	0	0	0	0	0	0	10	0	5	0	0	40	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	300	"AWI"	300	3428	4207	3848	21	0	0	0	0	0	118	0	0	0	0	31	9	0	0	0	0	0	0	0	0	12	0	2	0	0	42	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	80	"AWI"	80	392	1729	951	7	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	1	0	2	0	0	132	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	470	"AWI"	470	5522	6375	6009	3	0	0	0	0	0	0	0	0	0	0	37	8	0	0	0	0	0	0	0	0	5	0	49	0	0	15	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	2	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	380	"AWI"	380	4058	5111	4519	22	0	0	0	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	0	5	0	16	0	0	13	0	0	0	0	26	0	0	0	0	0	3	0	0	0	0	0	1	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	430	"AWI"	430	4717	5680	5164	20	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	5	0	45	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	460	"AWI"	460	5413	6279	5902	8	0	0	0	0	0	0	0	0	0	0	25	8	0	0	0	0	0	0	0	0	2	0	59	0	0	27	0	0	0	0	14	0	0	0	0	0	7	0	0	0	0	0	8	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	410	"AWI"	410	4339	5411	4758	31	0	0	0	1	0	83	0	0	0	0	23	3	0	0	0	1	0	0	0	0	3	0	28	0	0	16	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	240	"AWI"	240	2341	3680	3072	10	0	1	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	85	0	6	0	0	119	0	0	0	0	12	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	180	"AWI"	180	1496	3033	2275	3	0	0	0	0	0	0	0	0	0	0	44	131	0	0	0	0	0	1	0	1	7	0	5	0	0	73	0	0	0	0	4	0	0	0	0	1	3	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	360	"AWI"	360	3918	4908	4356	26	0	0	1	0	0	113	0	0	0	0	14	4	0	0	0	0	0	0	0	0	0	0	17	0	0	9	0	0	0	0	21	0	0	0	0	2	1	0	0	0	0	0	2	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	160	"AWI"	160	1271	2809	2014	5	1	0	0	0	0	0	0	0	0	0	23	86	0	0	0	0	0	0	0	1	40	0	7	0	0	66	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	280	"AWI"	280	3038	4035	3601	32	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	2	0	2	0	0	1	0	10	0	0	82	0	0	1	0	13	0	0	0	0	1	0	0	0	0	0	0	2	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	575	"AWI"	575	6626	7726	7086	0	0	0	0	1	0	35	0	0	0	0	0	21	0	0	0	0	0	5	0	0	1	0	7	0	0	37	0	0	0	0	0	0	0	0	0	14	9	0	0	0	1	0	2	0	0
3086	46663	"Duartbeg"	58.29591	-5.12887	50	"AWI"	50	135	1233	552	9	1	0	0	1	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	115	0	3	0	0	75	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	2	0	0
