"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26129	45351	"Måsåtjørnet"	61.5625	10.26778	347	"AWI"	347	-136	26	-54	0	10	1	0	0	0	182	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	33	0	0	0	73	268	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	355	"AWI"	355	-10	530	191	0	15	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	63	0	0	0	57	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	1	5	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	363	"AWI"	363	141	828	472	0	15	0	0	0	0	0	0	0	1	0	0	1	21	0	0	0	0	0	0	0	0	0	115	0	0	0	61	225	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	371	"AWI"	371	338	1070	749	0	11	0	0	0	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	82	0	1	0	68	199	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	379	"AWI"	379	743	1224	1023	0	12	0	0	0	0	0	0	0	1	0	0	4	13	0	0	0	1	0	0	0	0	0	87	0	0	0	39	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	2	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	387	"AWI"	387	1052	1590	1280	0	7	0	0	0	0	0	0	0	1	0	0	2	16	0	0	0	1	0	0	0	0	1	55	0	2	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	395	"AWI"	395	1202	2015	1537	0	25	0	0	0	0	319	0	0	1	0	0	3	13	0	0	0	1	2	0	0	0	0	47	0	1	0	9	267	0	0	0	0	1	8	0	0	0	0	0	0	1	2	0	2	5	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	407	"AWI"	407	1504	2426	1932	1	37	0	0	0	0	258	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	63	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	1	0	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	415	"AWI"	415	1744	2666	2207	0	37	0	0	0	0	268	0	0	0	0	0	10	16	0	0	1	0	0	0	0	0	0	35	0	3	0	0	217	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	3	1	0
26129	45351	"Måsåtjørnet"	61.5625	10.26778	423	"AWI"	423	2012	2846	2473	0	37	0	0	0	0	272	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	5	1	0
