"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3478	4497	"Mire Johvika"	58.4848	22.38803	10	"AWI"	10	-44	453	131	0	0	7.29001584786054	0.158478605388273	0	0.316957210776545	0	32.3296354992076	0	0	0.316957210776545	0	0.158478605388273	1.42630744849445	2.37717908082409	0	0	0	0	0.158478605388273	1.58478605388273	0	0.158478605388273	0	2.85261489698891	49.9207606973059	0.158478605388273	0	0	0.158478605388273	0	0	0	0	0	0	0.158478605388273	0	0.316957210776545	0	0	0	0	0	0.158478605388273
3478	4497	"Mire Johvika"	58.4848	22.38803	15	"AWI"	15	19	592	232	0	0	10.6969205834684	0.162074554294976	0	0.972447325769854	0	29.6596434359805	0	0	0.162074554294976	0	0	1.29659643435981	3.56564019448947	0	0	0	0	0.324149108589951	0	0	0.162074554294976	0	2.10696920583468	48.9465153970827	0.162074554294976	0	0	0	0	0.810372771474878	0.162074554294976	0	0.162074554294976	0	0	0	0.162074554294976	0.162074554294976	0	0	0.324149108589951	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	25	"AWI"	25	159	867	435	0	0	12.1783876500858	0.171526586620926	0.343053173241852	0.686106346483705	0	31.7324185248714	0	0	0.343053173241852	0	0	3.77358490566038	4.45969125214408	0	0	0	0	0.514579759862779	1.54373927958834	0.514579759862779	0.343053173241852	0	3.9451114922813	29.3310463121784	0.171526586620926	6.34648370497427	0	0	0	2.05831903945112	0	0	0.514579759862779	0	0	0.343053173241852	0.171526586620926	0	0	0	0	0.514579759862779	0
3478	4497	"Mire Johvika"	58.4848	22.38803	30	"AWI"	30	247	1029	534	0	0	10.8527131782946	0.155038759689922	0.155038759689922	0.310077519379845	0	21.5503875968992	0	0	0	0	0	2.01550387596899	3.10077519379845	0	0.155038759689922	0	0	0.155038759689922	0.155038759689922	0.310077519379845	0	0	4.03100775193798	52.4031007751938	0.155038759689922	2.63565891472868	0	0	0	0.465116279069767	0.155038759689922	0	0	0	0	0.62015503875969	0.155038759689922	0	0	0.310077519379845	0.155038759689922	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	35	"AWI"	35	328	1173	633	0	0	7.33333333333333	0.133333333333333	0	0.133333333333333	0	30.8	0	0	0.266666666666667	0	0.133333333333333	2	0.533333333333333	0	0	0	0	0.4	0	0	0	0.4	4.93333333333333	50.6666666666667	0	0	0	0.133333333333333	0	1.33333333333333	0	0	0	0	0.4	0	0.133333333333333	0	0	0	0.133333333333333	0.133333333333333	0
3478	4497	"Mire Johvika"	58.4848	22.38803	40	"AWI"	40	414	1306	730	0	0	8.3969465648855	0	0	0.381679389312977	0	22.1374045801527	0	0	0	0	0	0.763358778625954	1.90839694656489	0	0	0	0	0	0.763358778625954	0	0	0.381679389312977	4.19847328244275	57.6335877862595	0.381679389312977	0	0	0.381679389312977	0	1.90839694656489	0.381679389312977	0	0	0	0	0	0.381679389312977	0	0	0	0	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	45	"AWI"	45	517	1467	828	0	0	10.7794361525705	0	0	0.165837479270315	0	33.167495854063	0	0	0	0	0	1.32669983416252	0.165837479270315	0	0	0.165837479270315	0	0.165837479270315	0	0	0	0	6.96517412935323	44.6102819237148	0.33167495854063	0	0	0	0	0.33167495854063	0	0	0	0	0	0	0.165837479270315	0	0	0.66334991708126	0.995024875621891	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	55	"AWI"	55	725	1764	1021	0	0	4.94011976047904	0.149700598802395	0.598802395209581	0.29940119760479	0	30.0898203592814	0	0	0.149700598802395	0	0	3.2934131736527	0.29940119760479	0	0	0	0	0.29940119760479	0	0	0	0.149700598802395	5.98802395209581	51.3473053892216	0	0	0	0	0	0.898203592814371	0	0	0	0	0	0	0.449101796407186	0	0	0	1.04790419161677	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	60	"AWI"	60	847	1901	1107	0	0	10.9489051094891	0	0	0.364963503649635	0	27.3722627737226	0.364963503649635	0	0	0	0	0	5.47445255474453	0	0	0	0	0	0	0	1.09489051094891	0	9.12408759124088	42.3357664233577	0	0	0	0	0	1.45985401459854	0.364963503649635	0	0	0	0	0	0	0	0	0	0.72992700729927	0.364963503649635	0
3478	4497	"Mire Johvika"	58.4848	22.38803	65	"AWI"	65	1008	2098	1253	0	0	14	0	0.117647058823529	0.352941176470588	0	30.7058823529412	0	0	0	0	0	2.47058823529412	9.29411764705882	0	0	0	0	0.117647058823529	0	0.117647058823529	0.117647058823529	0	3.41176470588235	36.5882352941177	0.117647058823529	0	0	0	0	1.88235294117647	0	0	0	0	0	0	0.352941176470588	0	0	0.117647058823529	0.235294117647059	0	0
