"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
16141	24944	"Lac de Malpas"	46.83389	6.29389	100	"AWI"	100	-61	389	102	56	3	29	2	0	2	1	0	0	16	3	0	0	14	0	0	0	0	0	0	53	8	8	0	64	0	9	0	0	0	4	1	0	0	0	2	0	26	16	0	0	0	0	0	38	2	0	2	2	0	0	0	0	0	0	0	8	2	0	1	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	104	"AWI"	104	-27	429	152	96	0	20	1	0	1	0	1	0	37	1	1	0	6	0	0	0	1	0	0	65	13	11	0	97	0	0	0	0	0	1	1	0	0	0	4	0	38	19	0	0	0	1	1	34	1	0	3	1	0	0	0	0	0	0	0	8	15	0	2	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	108	"AWI"	108	16	468	203	44	0	25	0	0	1	0	1	0	26	0	0	0	13	0	0	0	0	0	0	51	15	9	0	95	0	6	2	0	1	1	0	0	0	3	4	0	32	28	0	0	0	0	0	43	7	0	1	1	1	0	0	0	0	1	0	6	9	0	4	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	112	"AWI"	112	55	509	254	61	0	17	0	0	2	0	2	0	19	2	1	0	13	0	0	0	0	0	0	41	12	7	0	65	0	2	0	0	0	5	0	0	0	0	7	0	22	12	6	32	0	0	0	43	2	0	2	4	0	0	0	0	0	0	0	2	3	0	4	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	116	"AWI"	116	95	551	304	46	0	8	2	0	1	0	3	0	21	1	1	0	13	0	0	0	1	0	0	39	11	0	0	71	0	0	0	0	2	8	0	0	0	0	14	0	37	2	16	58	0	0	0	60	5	0	0	12	6	0	0	0	0	0	0	0	2	0	5	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	120	"AWI"	120	136	591	355	59	0	7	0	0	1	0	1	0	16	2	1	0	10	0	2	0	0	0	0	39	13	6	0	69	0	0	0	0	5	9	0	0	0	0	10	0	26	9	9	43	0	0	0	50	1	0	0	3	0	1	0	0	0	0	1	1	2	0	0	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	124	"AWI"	124	186	626	404	55	0	19	0	0	0	0	4	0	31	1	1	1	18	0	0	0	0	0	0	43	9	0	0	81	0	2	0	0	3	3	1	0	0	0	8	0	32	16	8	31	0	0	0	42	0	0	2	1	0	1	0	0	0	0	0	1	6	0	4	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	128	"AWI"	128	240	664	451	41	1	22	0	0	1	0	1	0	27	2	2	0	25	0	0	1	1	0	0	69	11	9	0	89	0	0	0	0	2	11	0	0	0	0	12	1	30	17	11	39	0	0	0	47	2	0	0	1	3	0	0	0	0	0	0	1	3	0	2	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	132	"AWI"	132	286	707	500	35	1	14	0	0	2	0	3	0	33	2	2	0	17	0	0	0	0	0	0	68	15	4	0	79	0	3	0	0	1	11	1	0	0	0	7	0	9	19	11	59	0	1	0	63	3	0	1	5	4	0	0	0	0	0	0	0	3	0	0	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	136	"AWI"	136	336	746	550	17	0	14	0	0	4	0	2	0	25	6	3	0	19	0	0	0	0	0	0	68	18	0	0	66	0	3	0	0	1	14	0	0	0	0	7	0	14	14	17	77	0	0	0	47	0	0	0	4	5	0	0	0	0	0	0	1	2	2	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	140	"AWI"	140	387	785	601	22	2	19	0	0	1	0	2	0	25	5	0	0	17	0	0	2	0	0	0	65	12	0	0	80	0	5	0	0	2	12	1	0	0	0	9	0	15	17	12	47	0	0	0	29	3	0	1	3	2	0	0	0	0	0	0	0	3	1	0	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	144	"AWI"	144	444	817	649	36	0	11	0	0	4	0	5	0	21	2	0	0	32	0	0	0	0	0	0	56	18	8	0	74	0	2	0	0	3	12	0	1	0	0	1	0	18	15	20	0	0	1	0	39	4	0	2	5	2	0	0	0	0	0	0	0	3	0	1	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	148	"AWI"	148	508	852	697	25	1	19	0	0	2	0	1	0	23	4	0	0	34	0	0	0	0	0	1	47	6	11	0	81	0	1	0	0	0	2	2	0	0	0	2	0	18	17	15	54	0	0	0	26	0	0	1	8	2	0	0	0	0	0	0	2	2	0	6	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	152	"AWI"	152	576	884	744	39	0	26	2	0	1	0	4	0	20	1	0	0	32	0	0	0	0	0	0	35	6	0	0	73	0	1	0	0	1	1	0	0	0	1	10	0	17	27	0	0	0	0	0	20	6	0	1	3	2	0	0	0	0	0	0	0	4	0	2	0
