"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15685	24046	"Trogenmoos"	46.76194	7.86389	1	"AWI"	1	-117	39	-36	28	1	39	1	0	0	0	0	35	0	0	0	4	0	0	7	0	0	13	0	0	1540	0	0	0	0	0	50	15	0	0	3	0	0	0	0	0	0	2	0	225	482	0	0	0	0	0	15	0	0	0	0	1	0	2	0	0	0	0	1	0	0	2	5	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	2	"AWI"	2	-107	55	-26	10	1	28	0	0	0	0	0	24	1	0	0	0	0	0	4	0	0	7	0	0	141	0	0	0	0	0	19	9	0	0	3	1	0	0	0	3	0	2	0	86	312	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	4	"AWI"	4	-94	96	-8	6	1	15	0	0	0	2	0	6	0	1	0	0	0	0	1	0	0	4	0	0	99	0	0	0	0	0	8	10	0	0	1	0	0	0	0	0	0	3	0	72	222	0	0	87	0	0	13	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	13	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	6	"AWI"	6	-78	130	10	8	0	12	2	0	0	0	0	8	0	1	0	0	0	0	2	0	0	4	0	0	67	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	3	0	113	230	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	8	"AWI"	8	-64	154	31	8	1	14	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	1	0	0	106	0	0	0	0	0	11	2	0	0	0	1	0	0	0	1	0	0	0	90	228	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	10	"AWI"	10	-54	188	50	11	0	19	2	0	0	1	0	3	0	0	0	0	0	0	2	0	0	5	0	0	93	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	94	152	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	12	"AWI"	12	-37	205	70	4	0	26	1	0	0	1	0	3	0	0	0	0	0	0	6	0	0	5	0	0	275	0	0	0	0	0	14	4	0	1	3	1	0	0	0	3	0	0	0	65	166	0	0	0	0	0	8	0	0	1	0	1	0	1	0	0	0	1	0	2	1	0	2	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	14	"AWI"	14	-23	229	90	5	0	21	2	2	0	1	0	8	0	0	0	7	0	0	2	0	0	8	0	1	380	0	0	0	0	0	19	4	0	0	0	3	0	0	0	2	0	2	0	88	190	0	0	0	0	0	16	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	16	"AWI"	16	-7	253	110	1	0	37	1	0	0	2	0	9	0	0	0	17	0	0	4	0	0	6	0	0	218	0	0	0	0	0	22	0	0	1	6	2	0	0	0	3	0	0	0	33	94	0	0	0	0	0	18	0	0	0	0	0	26	1	0	0	0	0	0	0	0	1	5	0	0	0
15685	24046	"Trogenmoos"	46.76194	7.86389	18	"AWI"	18	9	271	128	5	0	41	2	0	0	2	0	15	0	0	0	38	0	0	7	0	0	6	0	1	131	0	0	0	4	0	44	1	0	1	6	2	0	0	0	2	0	1	0	46	170	0	0	0	0	0	22	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	3	0	0	0
