"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3167	4120	"Jasiel"	49.3705	21.8875	5	"AWI"	5	-88	175	28	12	4	56	7	0	0	15	0	99	0	0	0	7	0	0	0	28	27	0	0	84	2	1	0	1	1	0	0	0	14	19	0	15	0	0	3	7	1	0	1	10	29	0	0	5	27
3167	4120	"Jasiel"	49.3705	21.8875	10	"AWI"	10	-65	392	110	3	2	215	2	0	0	1	0	47	0	1	0	0	0	0	0	36	23	0	0	64	1	0	0	0	1	1	0	0	6	1	0	0	0	0	3	13	5	0	0	2	25	0	0	4	4
3167	4120	"Jasiel"	49.3705	21.8875	15	"AWI"	15	2	445	196	2	1	375	2	0	0	3	9	17	0	1	0	4	0	0	0	10	27	0	0	68	0	2	0	0	5	0	0	0	3	1	0	5	0	0	3	21	1	0	0	3	16	0	1	2	1
3167	4120	"Jasiel"	49.3705	21.8875	20	"AWI"	20	34	537	284	7	0	464	0	0	0	3	8	9	0	0	0	0	0	0	0	6	28	0	0	60	0	0	0	0	1	0	0	0	3	0	0	0	126	0	6	7	4	4	0	2	11	0	0	2	1
3167	4120	"Jasiel"	49.3705	21.8875	25	"AWI"	25	156	583	373	4	1	551	1	0	0	2	4	9	0	0	1	0	0	0	0	11	17	0	0	48	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	10	0	0	0	1	8	0	0	1	1
3167	4120	"Jasiel"	49.3705	21.8875	30	"AWI"	30	215	648	468	6	0	660	0	0	0	6	0	2	0	0	0	0	0	0	0	6	24	0	0	51	0	0	0	0	0	0	0	0	3	0	0	5	0	0	2	9	2	0	0	1	5	0	3	1	4
3167	4120	"Jasiel"	49.3705	21.8875	35	"AWI"	35	484	744	599	43	0	242	0	0	0	5	0	13	0	0	0	0	0	0	0	12	49	0	0	129	0	0	0	0	0	0	0	0	17	0	0	0	170	0	3	23	0	0	0	2	3	0	1	7	3
3167	4120	"Jasiel"	49.3705	21.8875	40	"AWI"	40	552	1019	722	21	0	268	0	0	0	7	0	30	0	0	0	0	0	0	0	12	40	0	0	107	0	0	0	0	0	0	0	0	19	1	0	0	0	0	3	22	1	7	0	1	4	0	0	4	0
3167	4120	"Jasiel"	49.3705	21.8875	45	"AWI"	45	698	1738	1057	44	0	256	1	0	0	9	12	12	0	2	0	0	1	0	0	15	36	1	0	130	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	19	1	0	0	0	2	0	0	7	3
3167	4120	"Jasiel"	49.3705	21.8875	50	"AWI"	50	753	2719	1368	54	3	101	2	0	0	9	28	36	0	6	0	1	0	1	0	26	24	0	0	123	0	4	0	0	0	0	0	0	27	1	0	0	0	0	2	21	2	8	0	4	1	0	2	10	1
3167	4120	"Jasiel"	49.3705	21.8875	55	"AWI"	55	960	3017	1746	57	2	104	1	0	0	8	0	17	0	0	0	0	0	0	0	25	37	0	0	124	0	2	0	0	0	0	0	0	24	1	0	0	0	0	1	18	2	0	0	0	3	0	6	7	4
3167	4120	"Jasiel"	49.3705	21.8875	60	"AWI"	60	1067	3545	2124	30	1	51	2	0	0	4	30	24	0	0	0	0	0	0	0	22	29	0	1	165	0	2	0	0	0	0	0	0	23	3	0	0	0	0	0	34	0	25	0	1	3	1	5	23	1
3167	4120	"Jasiel"	49.3705	21.8875	65	"AWI"	65	1394	3784	2534	55	0	48	0	0	0	3	0	20	0	1	0	0	0	0	0	21	53	0	0	149	0	6	0	0	0	0	0	0	21	0	0	3	0	1	0	25	1	26	0	1	7	0	1	32	0
3167	4120	"Jasiel"	49.3705	21.8875	70	"AWI"	70	1549	4255	2956	27	4	42	3	0	0	11	20	31	0	0	0	1	0	1	0	34	28	0	1	137	0	6	0	0	0	0	0	0	32	13	0	0	0	0	1	37	2	33	0	4	3	0	1	46	1
3167	4120	"Jasiel"	49.3705	21.8875	75	"AWI"	75	1851	4439	3319	17	1	50	1	0	0	6	20	16	0	0	0	0	0	0	0	39	37	1	1	140	0	12	0	0	0	0	0	0	26	5	0	0	0	1	2	20	2	40	1	0	4	0	2	43	1
3167	4120	"Jasiel"	49.3705	21.8875	80	"AWI"	80	2077	4768	3697	7	1	46	0	0	0	6	0	30	0	2	0	0	1	0	0	71	28	0	0	80	0	8	0	0	0	0	0	0	33	12	0	0	0	0	5	38	7	66	0	0	13	0	16	57	1
3167	4120	"Jasiel"	49.3705	21.8875	85	"AWI"	85	2578	4914	4076	1	2	48	0	0	0	3	17	24	0	0	0	0	0	0	0	71	26	0	0	61	0	2	0	0	0	0	0	0	44	24	0	0	0	0	26	35	9	0	0	0	16	0	17	66	0
3167	4120	"Jasiel"	49.3705	21.8875	90	"AWI"	90	2939	5185	4505	1	4	47	0	0	0	3	17	18	0	0	0	0	0	0	0	75	18	0	0	31	0	7	0	0	0	0	0	0	43	25	0	0	0	0	9	40	10	69	0	0	15	0	13	62	0
3167	4120	"Jasiel"	49.3705	21.8875	95	"AWI"	95	4042	5254	4836	4	3	71	0	0	0	6	0	19	0	0	0	0	0	0	0	106	42	0	0	14	0	13	0	0	0	0	0	0	8	17	0	0	0	0	21	30	23	188	0	2	24	0	20	64	0
3167	4120	"Jasiel"	49.3705	21.8875	100	"AWI"	100	4931	5439	5162	0	1	43	1	0	0	3	0	16	0	0	0	0	0	0	0	128	28	0	1	7	0	24	0	0	0	1	0	0	9	13	0	0	0	0	41	47	11	0	0	0	12	0	22	65	0
3167	4120	"Jasiel"	49.3705	21.8875	105	"AWI"	105	5096	5586	5338	0	0	38	3	0	0	7	0	14	0	0	0	0	0	1	0	166	94	0	0	1	0	12	0	0	0	0	0	0	0	9	0	0	0	0	9	35	8	0	1	0	8	0	20	89	1
3167	4120	"Jasiel"	49.3705	21.8875	110	"AWI"	110	5150	5846	5492	0	1	20	0	0	0	3	6	8	0	0	0	0	0	0	0	166	69	0	0	2	0	10	0	0	0	0	0	0	3	16	0	0	0	0	1	34	21	134	0	0	12	0	16	98	0
3167	4120	"Jasiel"	49.3705	21.8875	115	"AWI"	115	5473	6106	5725	0	0	30	1	0	1	6	0	22	0	1	0	0	0	0	0	151	53	0	0	0	0	9	0	0	0	1	0	0	0	11	0	0	0	0	2	26	24	0	0	0	8	0	18	94	0
3167	4120	"Jasiel"	49.3705	21.8875	120	"AWI"	120	5570	6562	5955	0	0	20	1	0	0	3	0	19	0	0	0	0	0	0	0	216	49	0	0	1	0	5	0	0	0	0	0	0	0	13	0	0	0	0	0	20	15	106	0	0	6	0	8	56	0
