"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3210	4168	"Kuivajarvi"	60.78455	23.85616	2.5	"AWI"	2.5	-73.5	357	72.5	0	53	0	0	2	0	117	0	0	0	0	2	5	7	0	1	0	0	16	0	0	0	60	261	0	26	0	0	2	0	0	0	0	6	1	0	0	0	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	5	"AWI"	5	-48	759	204	0	66	0	1	3	0	124	1	0	0	0	0	6	9	0	1	0	0	5	0	0	0	54	249	0	26	0	0	2	0	0	2	0	2	1	0	0	0	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	7.5	"AWI"	7.5	-27.5	1164	334.5	1	46	0	1	2	0	135	0	0	1	0	5	3	4	0	0	0	3	11	0	0	0	58	252	3	26	0	0	1	0	0	3	0	4	1	0	0	0	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	10	"AWI"	10	-7	1566	465	0	65	0	0	1	0	119	0	0	0	0	0	2	11	0	1	0	0	16	0	0	1	45	266	0	44	0	0	1	0	0	6	0	6	4	0	0	2	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	12.5	"AWI"	12.5	107.5	1650.5	631	0	55	0	0	0	0	144	0	0	0	0	0	2	5	0	1	0	1	9	0	0	0	49	253	0	0	0	0	1	0	0	3	0	0	1	0	0	0	2	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	15	"AWI"	15	175	1738	805	0	65	1	0	0	0	130	0	0	0	0	8	6	11	0	1	0	1	11	0	0	0	36	259	0	34	0	0	2	0	0	2	0	1	0	0	0	0	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	17.5	"AWI"	17.5	227.5	1894.5	982.5	0	57	0	1	1	0	164	0	0	0	0	5	7	10	0	0	0	1	4	0	0	0	44	226	0	31	0	0	1	0	1	0	0	3	0	0	0	1	0	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	20	"AWI"	20	266	2151	1148	0	67	1	0	0	0	146	0	0	0	0	5	8	9	0	0	0	0	13	0	0	0	38	238	0	0	0	0	0	0	3	0	0	2	3	0	0	2	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	22.5	"AWI"	22.5	491	2211	1297.5	0	64	0	0	0	0	125	0	0	0	0	1	8	9	0	0	0	0	8	0	0	0	45	255	0	0	0	0	0	0	1	3	0	2	2	0	0	1	3	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	25	"AWI"	25	613	2275	1457	0	65	1	1	0	0	158	0	0	0	0	4	5	5	0	0	0	0	5	0	0	1	34	243	0	31	0	0	1	0	0	6	1	2	3	0	0	0	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	27.5	"AWI"	27.5	696.5	2375.5	1627	0	61	0	1	1	0	121	0	0	0	0	3	2	3	0	0	0	0	7	0	0	0	53	255	0	30	0	0	2	0	1	4	0	3	2	0	0	2	4	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	30	"AWI"	30	777	2545	1781	0	56	0	0	3	0	128	0	0	0	0	3	6	6	0	1	0	1	9	0	0	0	52	262	0	21	0	0	4	0	1	2	0	0	0	0	0	4	1	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	32.5	"AWI"	32.5	1133	2584	1942	0	56	0	1	1	0	111	0	0	0	0	2	4	4	0	0	0	0	14	0	0	0	50	282	0	0	0	0	1	0	0	0	0	1	2	0	0	4	5	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	35	"AWI"	35	1433	2624	2107	0	54	0	0	2	0	140	0	0	0	0	4	2	7	0	0	0	0	11	0	0	0	42	255	0	0	0	0	4	0	0	0	1	2	3	0	0	1	2	0
3210	4168	"Kuivajarvi"	60.78455	23.85616	37.5	"AWI"	37.5	1627	2684	2288	0	42	0	0	4	0	151	0	0	0	0	3	5	3	0	0	0	1	4	0	0	0	41	255	0	0	0	0	2	0	0	0	0	1	3	0	0	1	3	0
