"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Chamaerops"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Heliotropium"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26121	45322	"Lago Preola"	37.61667	12.63333	0	"AWI"	0	-127	55	-49	1	225	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	6	15	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	3
26121	45322	"Lago Preola"	37.61667	12.63333	8	"AWI"	8	-64	383	72	0	175	0	0	0	11	0	0	0	0	0	1	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	36	0	0	0	5	8	0	18	0	2	15	0	0	0	29	0	1	0	0	0	0	2
26121	45322	"Lago Preola"	37.61667	12.63333	16	"AWI"	16	-3	597	205	2	18	0	0	2	42	0	0	0	0	0	16	0	0	14	0	2	0	0	12	0	8	0	0	0	0	0	0	0	90	0	0	0	12	44	0	96	0	10	40	0	0	0	28	0	8	2	0	0	16	0
26121	45322	"Lago Preola"	37.61667	12.63333	32	"AWI"	32	156	983	489	2	20	0	0	2	40	0	4	0	0	0	2	0	0	6	0	0	8	0	16	0	0	0	0	4	0	0	0	0	22	0	0	2	8	16	0	104	0	2	34	0	0	0	24	0	4	4	0	0	45	0
26121	45322	"Lago Preola"	37.61667	12.63333	64	"AWI"	64	602	1556	1067	1	5	0	0	1	9	0	0	0	0	0	0	0	0	0	0	1	12	0	7	0	0	0	0	0	0	0	0	0	26	0	0	0	3	71	0	17	0	1	28	0	0	0	0	0	4	0	0	0	40	0
26121	45322	"Lago Preola"	37.61667	12.63333	80	"AWI"	80	843	1808	1369	0	5	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	1	199	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	96	"AWI"	96	1194	2001	1644	0	2	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	2	0	0	0	0	10	0	0	0	0	180	0	22	0	2	20	0	0	0	6	0	0	0	0	1	0	2
26121	45322	"Lago Preola"	37.61667	12.63333	112	"AWI"	112	1503	2197	1922	0	9	0	0	0	15	0	0	0	0	0	0	2	0	2	0	1	2	0	6	0	0	0	0	2	0	0	0	0	62	0	0	1	3	138	0	0	0	14	79	0	0	0	1	0	1	0	0	1	2	0
26121	45322	"Lago Preola"	37.61667	12.63333	128	"AWI"	128	1986	2321	2166	1	7	0	0	0	4	0	0	0	0	0	0	0	2	5	0	1	5	0	4	0	0	1	0	3	0	0	0	0	24	0	0	0	2	124	0	0	0	3	8	0	0	0	2	0	1	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	160	"AWI"	160	2265	2843	2509	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	5	0	0	2	0	4	0	0	0	0	44	0	0	0	0	66	0	0	0	6	107	0	0	0	0	0	1	0	0	0	1	0
26121	45322	"Lago Preola"	37.61667	12.63333	176	"AWI"	176	2386	3044	2673	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	0	0	140	0	0	0	3	86	0	0	0	0	0	5	0	0	0	16	0
26121	45322	"Lago Preola"	37.61667	12.63333	192	"AWI"	192	2512	3245	2839	0	3	0	0	0	1	0	0	0	0	0	0	0	0	5	0	3	2	0	8	0	0	5	0	4	0	0	0	0	156	0	0	1	3	107	0	22	0	7	72	0	0	0	1	0	3	0	0	0	0	0
