"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Viburnum"
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	0	"AWI"	0	-154	15	-59	27	0	0	0	0	0	0	0	0	0	0	3	0	51	0	0	0	0	2	0	4	29	0	0	0	0	0	5	0	2	0	0	50	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	6	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	4	"AWI"	4	-115	96	-11	52	0	0	0	0	0	1	0	0	0	0	3	0	67	0	0	0	0	0	0	3	49	0	0	2	0	0	8	0	1	0	0	48	0	0	0	2	0	0	0	0	0	0	0	4	0	0	2	4	4	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	8	"AWI"	8	-81	179	36	50	0	0	0	0	148	0	0	0	0	0	8	0	85	0	0	0	0	1	0	5	49	0	0	0	0	1	5	0	1	0	0	61	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	4	1	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	12	"AWI"	12	-50	249	86	41	0	0	0	0	0	0	0	0	0	0	5	0	65	0	0	0	0	1	0	1	44	0	0	1	0	0	9	0	2	0	0	57	0	0	0	7	0	0	0	0	0	0	0	4	0	1	0	5	3	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	16	"AWI"	16	-5	295	136	41	0	0	0	0	0	1	0	0	0	0	7	0	91	0	0	0	0	3	0	1	51	0	0	0	0	0	11	0	1	0	0	65	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	6	1	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	20	"AWI"	20	43	337	186	37	0	0	0	0	0	1	0	0	0	0	9	0	46	0	0	0	0	1	0	1	20	1	0	0	0	0	8	0	1	0	0	41	0	0	0	8	0	0	0	0	0	0	0	6	0	0	1	7	2	1
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	22	"AWI"	22	60	355	210	69	0	0	0	0	0	0	0	0	0	0	20	0	46	0	0	0	0	2	0	1	35	1	0	1	0	0	9	0	2	0	0	70	0	0	0	9	0	0	0	0	0	0	0	7	0	0	1	7	2	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	26	"AWI"	26	100	400	258	69	0	0	0	0	152	0	0	0	0	0	28	0	71	0	0	0	0	0	0	4	64	0	0	0	0	0	9	0	0	0	0	70	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	12	3	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	30	"AWI"	30	137	440	309	56	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	1	3	29	0	0	0	0	1	4	0	3	0	0	53	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	11	1	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	34	"AWI"	34	187	472	378	80	0	0	0	0	204	1	0	0	0	0	25	0	38	0	0	0	0	2	1	3	23	0	0	0	0	0	5	0	1	0	0	57	0	0	0	16	0	0	0	0	0	0	0	7	0	1	0	18	2	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	38	"AWI"	38	251	581	441	71	1	0	0	0	0	0	0	0	0	0	29	0	42	0	0	0	0	0	1	1	15	0	0	0	0	0	10	0	1	0	0	57	0	0	0	11	0	0	0	0	0	0	0	8	0	0	0	9	2	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	42	"AWI"	42	314	771	510	78	0	0	0	0	0	0	0	0	0	0	15	0	51	0	0	0	0	1	1	1	36	0	0	2	0	1	7	0	0	0	0	67	0	0	0	11	0	0	1	0	0	0	0	2	0	0	0	10	1	0
13392	20050	"Vestre Øykjamyrtjørn"	59.81667	6	46	"AWI"	46	373	863	605	59	0	2	0	0	192	0	0	0	0	0	26	0	61	0	0	0	0	0	0	2	50	0	0	0	0	0	9	0	0	0	0	76	0	0	0	17	0	0	0	0	0	0	0	5	0	0	0	9	1	0
