"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3198	4154	"Kluki"	54.70694	17.28472	0	"AWI"	0	-139	27	-50	0	0	0.459066564651875	0.0765110941086457	0.0765110941086457	0	0.0765110941086457	0	9.8699311400153	0	0	0	0	0	0	0	0	0	0	0.229533282325937	0.765110941086458	0	0	0	0	0	0	0.0765110941086457	0.229533282325937	60.9793420045907	0.382555470543229	0	0	0.0765110941086457	0	26.2433052792655	0	0.153022188217291	0	0.153022188217291	0	0.0765110941086457	0	0	0	0.0765110941086457	0
3198	4154	"Kluki"	54.70694	17.28472	5	"AWI"	5	-94	137	4	0	0	2.46781115879828	0.214592274678112	0	0	0.214592274678112	0	5.04291845493562	0	0	0	0	0	0.643776824034335	0.214592274678112	0	0	0	0.107296137339056	0.321888412017167	0	0	0	0	0	0.214592274678112	0.107296137339056	0.429184549356223	87.4463519313305	0.321888412017167	0	0	0.107296137339056	0	1.60944206008584	0	0.214592274678112	0	0.107296137339056	0	0.107296137339056	0	0	0	0	0.107296137339056
3198	4154	"Kluki"	54.70694	17.28472	10	"AWI"	10	-73	300	55	0	0	6.43522438611346	0.169348010160881	0.0846740050804403	0	0.592718035563082	0	8.46740050804403	0	0	0	0	0.0846740050804403	1.01608806096528	0.0846740050804403	0	36.917866215072	0	1.2701100762066	0	0	0	0	0	0	0.254022015241321	0.254022015241321	0	41.5749364944962	0.592718035563082	0	0	0	0	1.86282811176969	0	0.254022015241321	0	0	0	0	0	0	0	0	0.0846740050804403
3198	4154	"Kluki"	54.70694	17.28472	15	"AWI"	15	-29	333	113	0	0	20.1515151515152	0	0	0	0.454545454545455	0	37.5757575757576	0	0	0	0	0.151515151515152	3.03030303030303	0.606060606060606	0	0	0	2.12121212121212	0.151515151515152	0	0	0	0	0	0	0.606060606060606	0.454545454545455	29.3939393939394	0.303030303030303	0	0	0	0	4.84848484848485	0	0	0	0.151515151515152	0	0	0	0	0	0	0
3198	4154	"Kluki"	54.70694	17.28472	20	"AWI"	20	-10	389	170	0	0	15.0704225352113	0.140845070422535	3.23943661971831	0	0.985915492957746	0	36.4788732394366	0	0	0.140845070422535	0	0	1.83098591549296	0.563380281690141	0	0	0	1.40845070422535	0	0.140845070422535	0	0.140845070422535	0	0	0.28169014084507	0.985915492957746	0	33.3802816901408	0.422535211267606	0	0.422535211267606	0.140845070422535	0	3.38028169014084	0	0	0	0	0	0.422535211267606	0	0	0	0.28169014084507	0.140845070422535
3198	4154	"Kluki"	54.70694	17.28472	25	"AWI"	25	58	422	240	0	0	11.2258064516129	0.258064516129032	0	0	0.129032258064516	0	15.3548387096774	0	0	0.129032258064516	0	0	1.29032258064516	0.387096774193548	0	0	0	1.16129032258065	0	0	0	0	0	0	0.387096774193548	1.29032258064516	0.258064516129032	64	0	0	0	0	0	3.61290322580645	0	0	0	0	0	0	0	0	0	0.258064516129032	0.258064516129032
3198	4154	"Kluki"	54.70694	17.28472	30	"AWI"	30	98	508	304	0	0	17.0055452865065	0.0924214417744917	0	0	0.0924214417744917	0	26.0628465804067	0	0	0	0	0	0.55452865064695	0.831792975970425	0	29.6672828096118	0	2.58780036968577	0	0.369685767097967	0	0	0	0	0.831792975970425	1.57116451016636	0	16.358595194085	0	0	0	0	0.0924214417744917	3.69685767097967	0	0	0	0	0	0.0924214417744917	0	0	0	0	0.0924214417744917
3198	4154	"Kluki"	54.70694	17.28472	35	"AWI"	35	179	577	377	0	12.1866897147796	21.6940363007779	0.0864304235090752	0.0864304235090752	0	0.345721694036301	0	2.33362143474503	0	0	0	0	1.21002592912705	1.3828867761452	1.29645635263613	0	27.2255834053587	0	0	0.0864304235090752	0	0	0	0	0	0.518582541054451	0	0.0864304235090752	27.4848746758859	0.259291270527226	0	0	0	0	2.93863439930856	0	0.0864304235090752	0	0.17286084701815	0	0	0	0	0	0.432152117545376	0.0864304235090752
3198	4154	"Kluki"	54.70694	17.28472	40	"AWI"	40	218	706	460	0	0	23.6093943139679	0.123609394313968	0.123609394313968	0	0.370828182941904	0	25.2163164400494	0	0.123609394313968	0	0	0	1.11248454882571	1.97775030902349	0	15.6983930778739	0	2.71940667490729	0	0	0	0	0	0	0.370828182941904	1.73053152039555	0.123609394313968	20.1483312731768	0	0	0	0	0	5.31520395550062	0	0.618046971569839	0	0.123609394313968	0	0.247218788627936	0	0	0	0.247218788627936	0
3198	4154	"Kluki"	54.70694	17.28472	45	"AWI"	45	316	744	538	0	0	25.2299605781866	0	0	0	0	0	32.0630749014455	0.26281208935611	0	0.131406044678055	0	0	2.36530880420499	1.97109067017083	0	0	0	3.67936925098555	0	0.26281208935611	0	0	0	0	0.26281208935611	2.36530880420499	0.131406044678055	19.5795006570302	0.657030223390276	0	0	0	0	9.98685939553219	0	0.131406044678055	0	0	0	0.26281208935611	0	0	0	0.525624178712221	0.131406044678055
