"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
14603	22892	"Kumata"	42.59028	23.25167	0	"AWI"	0	-142	13	-60	2	0	16	4	2	0	2	0	11	0	3	0	0	0	0	0	0	0	16	6	0	1	0	0	0	13	0	0	0	2	6	0	0	0	0	0	0	0	19	101	214	0	0	0	0	15	0	0	1	2	0	0	1	0	0	1	0	0
14603	22892	"Kumata"	42.59028	23.25167	5	"AWI"	5	-101	104	-10	0	0	11	8	2	0	2	0	12	0	2	0	1	0	0	0	0	0	16	12	0	0	0	0	0	25	0	13	1	3	3	3	0	0	0	0	0	0	14	92	43	0	0	0	0	15	0	0	0	4	1	0	3	0	0	1	0	0
14603	22892	"Kumata"	42.59028	23.25167	10	"AWI"	10	-60	175	43	1	0	9	5	2	1	2	0	7	2	8	1	0	0	2	0	1	1	28	26	1	0	0	0	0	32	0	7	2	2	4	2	1	0	0	0	0	0	21	93	83	0	0	0	0	23	0	10	0	5	0	0	1	3	0	0	0	0
14603	22892	"Kumata"	42.59028	23.25167	20	"AWI"	20	27	293	153	3	0	6	1	1	0	3	0	5	0	1	1	0	0	0	0	0	0	6	14	0	2	0	0	0	14	0	1	3	3	2	0	0	0	0	0	0	0	0	124	157	0	0	0	0	12	0	0	0	9	1	0	1	0	0	1	0	0
14603	22892	"Kumata"	42.59028	23.25167	25	"AWI"	25	76	338	210	8	0	5	5	1	0	9	0	3	1	4	1	0	0	0	0	0	0	9	46	0	1	1	0	0	61	0	19	0	1	2	3	1	0	0	0	0	0	18	49	114	0	0	0	0	39	0	0	0	7	0	0	1	0	2	2	0	0
14603	22892	"Kumata"	42.59028	23.25167	30	"AWI"	30	130	383	267	7	0	3	5	4	0	6	0	4	0	4	15	0	0	2	0	0	0	5	19	0	0	1	0	0	27	0	0	1	3	0	2	0	0	0	0	0	0	3	43	61	0	0	0	0	18	0	0	0	5	1	0	0	1	1	1	0	1
14603	22892	"Kumata"	42.59028	23.25167	35	"AWI"	35	190	422	323	9	0	4	6	3	0	8	0	7	1	5	2	0	0	0	0	0	0	15	45	0	1	0	0	0	45	0	6	0	1	4	21	0	0	1	0	0	0	8	48	65	0	0	0	0	35	0	0	1	8	0	0	1	1	0	3	0	0
14603	22892	"Kumata"	42.59028	23.25167	40	"AWI"	40	267	458	378	17	0	13	5	0	0	13	0	9	0	3	2	0	2	0	0	1	0	12	25	0	0	1	0	0	61	0	2	0	1	0	3	0	0	0	0	0	0	10	60	121	0	0	2	0	36	0	8	2	6	0	2	2	0	0	0	0	1
14603	22892	"Kumata"	42.59028	23.25167	45	"AWI"	45	327	528	439	10	1	11	2	2	0	14	0	8	0	3	1	2	0	0	0	0	0	13	16	0	0	0	0	0	36	0	3	0	2	0	2	0	0	0	0	0	1	14	149	106	0	0	0	0	39	0	0	1	3	1	0	2	0	0	1	0	0
14603	22892	"Kumata"	42.59028	23.25167	50	"AWI"	50	385	613	505	25	0	15	0	6	0	10	0	5	0	1	1	0	0	0	0	1	0	10	7	0	1	0	0	0	45	0	1	0	2	0	0	0	0	0	0	0	0	12	95	109	0	0	0	0	53	0	0	0	3	0	0	1	1	0	2	0	0
