"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3492	4517	"Vernérovice"	50.604486	16.213004	0	"AWI"	0	-107	60	-24	146	2	83	7	1	0	5	14	0	174	7	0	0	0	0	0	22	0	30	0	11	0	0	30	0	0	0	0	0	0	0	1	0	1	1	1	9	0	114	314	0	173	0	0	0	0	7	15	0	0	0	6	0	0	7	4	0
3492	4517	"Vernérovice"	50.604486	16.213004	5	"AWI"	5	-20	921	248	40	0	30	5	7	0	2	0	0	103	9	0	0	0	0	0	16	0	5	0	7	0	0	25	0	0	0	3	0	0	1	0	0	0	0	0	3	0	66	219	12	78	0	0	1	0	1	0	0	1	8	0	0	0	2	3	1
3492	4517	"Vernérovice"	50.604486	16.213004	10	"AWI"	10	136	1361	613	400	3	87	1	2	0	4	0	0	133	0	0	0	0	0	0	20	0	7	0	3	0	0	168	0	0	0	0	1	0	0	0	0	0	0	0	18	0	141	261	0	0	0	0	0	0	9	0	0	4	0	4	0	0	4	3	1
3492	4517	"Vernérovice"	50.604486	16.213004	15	"AWI"	15	349	1653	967	150	4	20	1	1	0	5	0	0	90	0	0	0	0	0	1	14	0	7	0	0	0	0	115	0	0	0	6	0	0	0	0	0	0	0	0	9	1	86	151	0	0	0	0	0	1	4	13	0	3	0	0	0	0	4	6	0
3492	4517	"Vernérovice"	50.604486	16.213004	20	"AWI"	20	659	1932	1323	153	4	88	0	0	0	2	0	0	198	0	0	0	0	0	0	22	0	1	0	6	0	0	108	0	0	0	0	0	0	0	0	0	0	1	0	13	0	223	245	0	0	0	0	0	0	8	4	0	1	0	1	0	1	10	14	0
3492	4517	"Vernérovice"	50.604486	16.213004	25	"AWI"	25	1069	2141	1657	67	0	345	0	1	0	8	0	0	145	1	0	0	0	0	0	54	1	2	0	9	0	0	80	1	0	1	4	0	0	0	0	0	0	4	0	13	0	82	99	0	0	0	0	1	0	4	0	0	0	0	0	0	1	6	7	1
3492	4517	"Vernérovice"	50.604486	16.213004	30	"AWI"	30	1553	2312	1999	174	2	303	0	1	0	2	0	0	114	1	0	0	0	0	0	27	0	10	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	22	0	141	64	0	0	0	0	0	0	9	0	0	0	0	11	0	0	9	11	0
3492	4517	"Vernérovice"	50.604486	16.213004	36	"AWI"	36	2152	2761	2443	6	10	155	0	2	0	7	0	0	133	4	0	0	0	0	0	158	0	14	0	3	0	0	17	4	1	0	0	0	0	0	0	1	0	2	0	18	0	383	151	0	0	0	0	0	0	14	18	0	0	0	6	0	0	38	35	0
3492	4517	"Vernérovice"	50.604486	16.213004	40	"AWI"	40	2313	3143	2721	36	6	167	0	0	0	2	0	0	385	0	0	0	0	0	0	81	0	5	0	2	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	17	0	242	47	0	0	0	0	0	0	4	8	0	1	0	2	0	0	11	18	0
3492	4517	"Vernérovice"	50.604486	16.213004	45	"AWI"	45	2657	3342	3081	78	6	133	0	1	0	1	0	0	49	0	0	0	0	0	0	41	0	3	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	13	0	104	55	2	0	0	0	0	0	2	0	0	0	0	1	0	0	5	23	0
3492	4517	"Vernérovice"	50.604486	16.213004	50	"AWI"	50	3207	4963	3789	15	1	44	0	0	0	2	0	0	173	5	1	0	0	0	0	66	0	4	0	3	0	0	19	1	0	0	0	0	0	0	0	0	0	4	0	7	0	118	58	0	0	0	0	0	0	5	0	0	0	0	4	0	2	10	15	0
3492	4517	"Vernérovice"	50.604486	16.213004	55	"AWI"	55	3719	5846	4873	14	2	63	0	0	0	2	0	1	155	0	0	0	0	0	0	80	0	7	0	0	0	0	22	1	0	0	3	0	0	0	0	0	0	1	0	7	0	155	67	0	0	0	2	0	0	5	0	0	0	0	1	0	0	7	22	0
3492	4517	"Vernérovice"	50.604486	16.213004	60	"AWI"	60	5252	6187	5857	0	4	57	0	1	0	3	0	0	68	1	0	0	0	0	0	75	0	2	0	0	0	0	3	1	9	0	0	1	0	0	0	0	0	1	0	4	0	146	57	0	0	0	0	0	0	6	0	0	0	0	2	0	0	10	27	0
3492	4517	"Vernérovice"	50.604486	16.213004	63	"AWI"	63	5802	6768	6230	1	0	27	0	1	1	4	0	0	91	1	0	0	0	0	0	87	0	1	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	98	87	0	0	0	0	0	2	7	9	0	0	0	4	0	0	14	24	0
3492	4517	"Vernérovice"	50.604486	16.213004	69	"AWI"	69	6201	8045	6970	1	1	49	0	0	0	5	0	0	112	5	0	0	0	0	0	166	0	3	0	0	0	0	1	8	1	0	0	0	0	0	0	0	0	0	0	2	0	293	75	0	0	0	0	0	0	2	0	0	1	0	4	0	0	45	72	0
3492	4517	"Vernérovice"	50.604486	16.213004	72	"AWI"	72	6510	8376	7340	0	0	31	1	0	0	3	0	0	113	0	0	0	0	0	0	135	0	1	0	5	1	0	3	2	11	0	0	0	0	0	0	0	0	0	0	0	1	208	115	0	0	0	0	0	0	6	0	0	1	0	2	0	1	29	51	0
3492	4517	"Vernérovice"	50.604486	16.213004	77	"AWI"	77	6957	8937	7963	0	1	27	0	1	0	2	0	0	87	0	0	0	0	0	0	104	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	85	62	0	0	0	0	0	0	1	0	0	0	0	1	0	0	27	35	0
3492	4517	"Vernérovice"	50.604486	16.213004	82	"AWI"	82	7535	9338	8561	0	0	7	0	2	0	0	0	0	149	3	0	0	2	0	0	176	0	19	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	303	0	0	0	0	2	0	0	7	0	1	0	1	1	0	5	24	0
3492	4517	"Vernérovice"	50.604486	16.213004	87	"AWI"	87	8352	9629	9153	4	1	5	0	1	0	6	0	0	197	1	0	0	0	0	0	213	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	386	0	0	0	0	2	0	4	0	0	1	0	6	0	1	2	32	0
