"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Tilia"	"Ulmus"
9	9	"Adange"	43.30556	41.33333	2	"AWI"	2	-149	19	-59	23.7037037037037	11.1111111111111	2.22222222222222	0	0.740740740740741	0	0	0	5.18518518518519	1.48148148148148	2.96296296296296	11.8518518518519	0	0	10.3703703703704	0	0	0	0	0	0	14.0740740740741	15.5555555555556	0	0	0	0	0	0.740740740740741	0	0	0	0
9	9	"Adange"	43.30556	41.33333	5	"AWI"	5	-121	61	-28	31.8181818181818	4.54545454545455	0	0	0	0	0	0	3.63636363636364	0	0.909090909090909	3.63636363636364	0	0	7.27272727272727	0	0	0	0	0	0	20.9090909090909	25.4545454545455	0	0	0	1.81818181818182	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	6	"AWI"	6	-115	85	-18	25.1336898395722	5.3475935828877	0	0	0	0	0	0	2.13903743315508	1.06951871657754	1.06951871657754	30.4812834224599	0	0	5.88235294117647	0	0	0	0	0.53475935828877	0	8.02139037433155	19.7860962566845	0	0	0	0.53475935828877	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	9	"AWI"	9	-98	165	9	18.3673469387755	7.75510204081633	0	0.408163265306122	0	0	0.408163265306122	0	2.04081632653061	0	0.816326530612245	44.8979591836735	0	0.816326530612245	2.85714285714286	0	0	0.408163265306122	0	0	0	6.12244897959184	8.57142857142857	0	2.04081632653061	0	2.04081632653061	0	0.408163265306122	2.04081632653061	0	0	0
9	9	"Adange"	43.30556	41.33333	15	"AWI"	15	-78	342	63	16.6666666666667	10.4166666666667	0	0	0	0	0	0	4.86111111111111	0.694444444444444	0	21.5277777777778	0	0.694444444444444	11.1111111111111	0	0	0	0	0	0	2.77777777777778	20.1388888888889	0	0	0	10.4166666666667	0	0.694444444444444	0	0	0	0
9	9	"Adange"	43.30556	41.33333	20	"AWI"	20	-39	382	122	8.18181818181818	19.0909090909091	0.909090909090909	0	0.909090909090909	0	0	0	0	0.909090909090909	0.909090909090909	39.0909090909091	0	0.909090909090909	11.8181818181818	0	0	0	0	0.909090909090909	0	2.72727272727273	8.18181818181818	0	0	0	4.54545454545455	0	0	0	0.909090909090909	0	0
9	9	"Adange"	43.30556	41.33333	25	"AWI"	25	-13	448	180	16.9312169312169	9.52380952380952	0	1.05820105820106	0.529100529100529	0	0	1.05820105820106	1.05820105820106	0	0.529100529100529	22.2222222222222	0	1.05820105820106	22.2222222222222	0	0	0.529100529100529	0	0	0	4.23280423280423	11.1111111111111	0	0	0	7.40740740740741	0	0	0	0	0	0.529100529100529
9	9	"Adange"	43.30556	41.33333	34	"AWI"	34	55	547	279	12.6506024096386	9.63855421686747	3.01204819277108	0.602409638554217	0	0	0	0	0	1.20481927710843	1.80722891566265	24.0963855421687	0	0.602409638554217	3.6144578313253	0	0	0	0.602409638554217	0	0	3.01204819277108	15.6626506024096	0	0.602409638554217	0	19.8795180722892	0	0	1.80722891566265	0.602409638554217	0.602409638554217	0
9	9	"Adange"	43.30556	41.33333	38	"AWI"	38	77	589	326	13.6363636363636	7.02479338842975	0	0	0	0	0	0.413223140495868	1.2396694214876	0.826446280991736	1.2396694214876	43.3884297520661	0	1.65289256198347	11.5702479338843	0	0	0.413223140495868	0	0	0	2.89256198347107	12.8099173553719	0	0.413223140495868	0	2.06611570247934	0	0.413223140495868	0	0	0	0
9	9	"Adange"	43.30556	41.33333	42	"AWI"	42	99	644	368	21.1640211640212	8.46560846560847	0.529100529100529	0	0.529100529100529	0	0	2.11640211640212	3.7037037037037	1.05820105820106	1.58730158730159	11.1111111111111	0	2.64550264550265	15.8730158730159	0	0	1.58730158730159	0	0	0	2.11640211640212	14.8148148148148	0	2.11640211640212	0	5.29100529100529	0	0	3.7037037037037	1.05820105820106	0	0.529100529100529
9	9	"Adange"	43.30556	41.33333	46	"AWI"	46	153	663	411	15.2173913043478	11.5942028985507	0	0	0	0	0	0.72463768115942	0	0.72463768115942	1.44927536231884	26.8115942028986	0	0	18.1159420289855	0	0	0	0	0	0	3.6231884057971	18.1159420289855	0	0.72463768115942	0	2.89855072463768	0	0	0	0	0	0
9	9	"Adange"	43.30556	41.33333	50	"AWI"	50	187	692	455	9.70873786407767	10.1941747572816	0	1.45631067961165	0	0	0	0	0.485436893203883	0.485436893203883	3.88349514563107	32.5242718446602	0	0	24.2718446601942	0	0	0.485436893203883	0	0	0	0.970873786407767	8.7378640776699	0	0.970873786407767	0	3.88349514563107	0	0.485436893203883	0.485436893203883	0.485436893203883	0.485436893203883	0
9	9	"Adange"	43.30556	41.33333	53.5	"AWI"	53.5	209.5	730	494	12.2950819672131	13.1147540983607	1.63934426229508	0	0	0	0.819672131147541	0	1.63934426229508	0.819672131147541	0.819672131147541	21.3114754098361	0	0.819672131147541	13.1147540983607	0	0	0.819672131147541	0	0	0	5.73770491803279	17.2131147540984	0	0	0	6.55737704918033	0	0	1.63934426229508	0	1.63934426229508	0
9	9	"Adange"	43.30556	41.33333	56.5	"AWI"	56.5	253.5	753	525.5	9.46745562130178	13.6094674556213	2.36686390532544	2.36686390532544	0	0	0.591715976331361	1.77514792899408	4.14201183431953	1.18343195266272	2.36686390532544	26.6272189349112	0	2.36686390532544	15.9763313609467	0	0	0	0	0	0	1.18343195266272	7.69230769230769	0	0.591715976331361	0	6.50887573964497	0	0.591715976331361	0	0	0	0.591715976331361
9	9	"Adange"	43.30556	41.33333	58.5	"AWI"	58.5	292	762	546	10.3139013452915	7.17488789237668	2.69058295964126	0.896860986547085	0	0	0	0.448430493273543	3.1390134529148	0.896860986547085	2.24215246636771	43.0493273542601	0	0	12.5560538116592	0.448430493273543	0	1.34529147982063	0	0	0	2.24215246636771	5.38116591928251	0	1.79372197309417	0	4.93273542600897	0	0	0	0.448430493273543	0	0
9	9	"Adange"	43.30556	41.33333	62	"AWI"	62	336	781	586	4.58015267175572	9.16030534351145	1.52671755725191	4.58015267175572	0	0	0	1.52671755725191	3.81679389312977	0.381679389312977	4.19847328244275	33.206106870229	0	1.90839694656489	16.030534351145	0	0	0	0	0	0	3.05343511450382	6.10687022900763	0	0.381679389312977	0	6.48854961832061	0.381679389312977	0	1.14503816793893	0.763358778625954	0.381679389312977	0.381679389312977
9	9	"Adange"	43.30556	41.33333	66.5	"AWI"	66.5	376.5	815.5	637.5	7.53768844221105	17.5879396984925	0.50251256281407	1.00502512562814	0	0	0	0.50251256281407	5.0251256281407	0.50251256281407	5.0251256281407	16.0804020100502	0	1.50753768844221	8.5427135678392	0	0	0.50251256281407	0	0	0	2.01005025125628	17.5879396984925	0	1.00502512562814	0	11.0552763819095	0	0.50251256281407	3.01507537688442	0.50251256281407	0	0
9	9	"Adange"	43.30556	41.33333	70	"AWI"	70	438	836	671	8.03571428571429	13.3928571428571	3.57142857142857	0	1.33928571428571	0	0.446428571428571	0	1.33928571428571	1.33928571428571	6.25	43.3035714285714	0	0	10.2678571428571	0	0	0	0	0	0	2.23214285714286	7.58928571428571	0	0	0	0	0	0.892857142857143	0	0	0	0
9	9	"Adange"	43.30556	41.33333	73	"AWI"	73	505	846	700	5	17.5	2.08333333333333	2.08333333333333	2.08333333333333	0	0	0.416666666666667	3.33333333333333	0.416666666666667	2.08333333333333	38.3333333333333	0	0.416666666666667	9.58333333333333	0	0	4.16666666666667	0	0	0	1.66666666666667	9.16666666666667	0	0	0	1.25	0	0	0.416666666666667	0	0	0
9	9	"Adange"	43.30556	41.33333	76	"AWI"	76	562	857	730	15.5688622754491	20.9580838323353	0	1.79640718562874	1.79640718562874	0	0	0	2.39520958083832	0.598802395209581	5.98802395209581	22.1556886227545	0	0	11.9760479041916	0	0	0.598802395209581	0	0	0	1.19760479041916	12.5748502994012	0	0	0	1.79640718562874	0	0	0	0	0.598802395209581	0
9	9	"Adange"	43.30556	41.33333	77	"AWI"	77	578	860	740	9.34065934065934	15.9340659340659	0.549450549450549	0.549450549450549	0.549450549450549	0	0	0	0	0.549450549450549	4.3956043956044	49.4505494505495	0	0	2.74725274725275	0	0	0	0	0	0	1.64835164835165	13.7362637362637	0	0	0	0	0	0	0	0	0	0.549450549450549
