"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
15946	24574	"La Grande Brousse"	47.48667	0.67417	55	"AWI"	55	153	816	450	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	138	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	65	"AWI"	65	226	924	544	0	3	2	2	0	0	0	1	0	2	0	1	0	0	0	0	0	1	176	0	0	0	0	0	0	1	1	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	80	"AWI"	80	344	1059	692	0	9	2	2	0	0	0	0	0	3	0	0	0	0	2	0	0	1	204	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	85	"AWI"	85	380	1109	740	0	10	2	5	0	2	0	1	0	4	0	0	2	0	0	0	0	3	127	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	3	0	4	0	0	0	1	0	1	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	95	"AWI"	95	467	1193	836	0	7	2	3	0	0	0	0	0	2	0	0	1	0	1	0	0	1	133	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	105	"AWI"	105	539	1285	942	0	12	1	7	0	0	0	0	0	1	0	0	3	0	1	0	0	3	161	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	115	"AWI"	115	655	1344	1038	0	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	195	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	120	"AWI"	120	691	1394	1090	1	21	3	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	153	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	135	"AWI"	135	853	1488	1227	0	30	2	2	0	1	0	3	0	0	0	0	3	0	1	0	0	4	145	0	0	1	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	140	"AWI"	140	942	1509	1273	0	28	5	2	0	1	0	1	0	1	0	0	0	0	0	0	0	6	186	0	0	0	0	0	0	0	4	0	0	0	1	0	4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	145	"AWI"	145	1015	1537	1318	1	24	2	2	0	2	0	3	0	1	0	0	0	0	1	0	0	4	151	0	0	0	1	0	0	0	1	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	155	"AWI"	155	1185	1596	1405	0	19	2	13	0	0	0	1	0	2	0	0	12	0	1	0	0	5	144	0	0	2	0	0	0	1	4	0	0	0	0	0	27	0	0	0	7	0	6	0	0	0	3	0	2	0	0	0	0	0
