"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3436	4450	"Menez-Cam"	48.25	-3.5	10	"AWI"	10	-39	834	243	0	17	0	6	1	1	0	31	1	5	30	0	0	3	35	0	329	1116	0	0	29	0	1	4	1	0	1	0	1	0	0	40	1	0	0	1	0	624	0	3	5	0	106	0	0	1	83	3	2	0	0	0	0	0	0	4	0
3436	4450	"Menez-Cam"	48.25	-3.5	20	"AWI"	20	143	1174	663	0	54	2	3	1	1	0	57	0	1	3	0	0	2	96	0	132	141	0	0	26	0	4	4	0	0	0	0	0	0	0	248	1	2	0	1	0	1137	0	0	0	0	97	0	0	1	30	4	1	0	0	0	0	0	1	5	0
3436	4450	"Menez-Cam"	48.25	-3.5	30	"AWI"	30	487	1445	1056	1	79	3	3	0	2	0	72	2	0	0	0	0	4	537	0	340	106	0	0	22	0	6	2	0	1	0	0	0	0	0	79	0	2	0	0	26	609	0	0	0	0	134	0	0	2	17	4	1	0	0	0	0	0	1	3	0
3436	4450	"Menez-Cam"	48.25	-3.5	40	"AWI"	40	1121	1614	1393	1	218	2	2	3	1	0	310	0	0	0	0	0	2	630	0	126	218	0	0	45	0	32	8	0	4	0	0	0	0	0	177	1	0	0	4	0	0	0	0	0	0	356	0	0	0	11	12	1	0	0	0	0	0	7	3	0
3436	4450	"Menez-Cam"	48.25	-3.5	45	"AWI"	45	1323	1682	1491	1	157	0	1	2	1	0	214	0	0	0	0	0	3	396	0	94	141	0	0	26	0	25	1	0	0	0	0	0	0	0	104	0	6	0	3	0	0	2	0	0	0	216	0	0	0	2	8	1	0	0	0	0	0	3	3	0
3436	4450	"Menez-Cam"	48.25	-3.5	50	"AWI"	50	1396	1860	1597	0	138	0	1	4	3	0	192	0	0	0	0	0	0	345	0	146	37	0	0	13	0	25	11	0	0	0	0	0	0	0	113	4	1	0	0	5	0	1	0	0	0	310	0	0	1	2	3	1	0	0	0	0	0	6	3	0
3436	4450	"Menez-Cam"	48.25	-3.5	60	"AWI"	60	1485	2080	1741	0	65	2	2	0	1	0	83	0	0	1	0	0	0	49	0	1136	320	0	0	7	7	4	3	1	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	324	0	0	0	32	14	1	0	1	3	0	1	1	2	0
3436	4450	"Menez-Cam"	48.25	-3.5	70	"AWI"	70	1585	2261	1892	0	119	3	1	2	1	0	249	3	0	0	0	0	0	120	0	1515	361	0	0	9	5	3	8	0	0	0	0	0	0	0	0	40	1	0	3	0	0	0	0	0	0	284	0	0	2	75	46	0	2	0	0	0	1	6	9	1
3436	4450	"Menez-Cam"	48.25	-3.5	80	"AWI"	80	1707	2439	2049	0	96	1	0	2	1	0	1068	0	0	0	0	0	0	119	0	431	31	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	251	0	0	0	14	68	2	0	0	0	1	0	1	1	0
3436	4450	"Menez-Cam"	48.25	-3.5	90	"AWI"	90	1838	2581	2205	0	106	0	0	2	1	0	370	0	0	0	0	0	0	113	0	441	85	0	0	3	0	5	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	240	0	0	0	8	79	1	0	0	0	0	0	4	0	0
