"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
15778	24250	"Kožlí"	49.37639	14.02583	10	"AWI"	10	-23	937	281	3.3175355450237	0	5.92417061611374	0.23696682464455	0	0.710900473933649	0	0	3.55450236966825	0.23696682464455	0	0	0	0.4739336492891	0.947867298578199	0	4.50236966824645	0	0	0	0.23696682464455	0	0	0.23696682464455	0.4739336492891	0.23696682464455	25.3554502369668	42.4170616113744	0	5.68720379146919	0.23696682464455	0	1.8957345971564	0	0	0.23696682464455	0	0.23696682464455	0	2.3696682464455	0.4739336492891
15778	24250	"Kožlí"	49.37639	14.02583	20	"AWI"	20	163	1362	675	2.72277227722772	0	5.69306930693069	0	0	0.99009900990099	0	0	2.97029702970297	0.742574257425743	0.247524752475248	0	0	0.495049504950495	2.72277227722772	0	1.98019801980198	0	0.247524752475248	0	0	0	0	0	0.247524752475248	0	24.5049504950495	41.3366336633663	0	6.93069306930693	0.247524752475248	0	2.22772277227723	0	0	0.247524752475248	0	0.247524752475248	0	4.95049504950495	0.247524752475248
15778	24250	"Kožlí"	49.37639	14.02583	30	"AWI"	30	466	1721	1062	3.97727272727273	0	10.4545454545455	0.113636363636364	0	0.227272727272727	0	0	1.25	0.113636363636364	0.113636363636364	0.113636363636364	0	0.113636363636364	1.02272727272727	0	1.02272727272727	0	0.681818181818182	0	0	0	0	0	0	0.113636363636364	13.9772727272727	58.75	0.113636363636364	2.84090909090909	0	0	1.93181818181818	0	0	0	0	0.227272727272727	0	2.72727272727273	0.113636363636364
15778	24250	"Kožlí"	49.37639	14.02583	35	"AWI"	35	818	1869	1232	4.85933503836317	0	10.997442455243	0	0	0.127877237851662	0	0	2.68542199488491	0.255754475703325	0	0	0	0.127877237851662	1.0230179028133	0	0.895140664961637	0.127877237851662	1.27877237851662	0	0	0	0	0	0	0.127877237851662	13.5549872122762	53.9641943734015	0.127877237851662	2.94117647058824	0	0	3.0690537084399	0	0	0.127877237851662	0	0.127877237851662	0	3.58056265984655	0
15778	24250	"Kožlí"	49.37639	14.02583	40	"AWI"	40	1018	2088	1421	4.125	0	13	0.125	0	0.625	0	0	1.875	0.875	0	0	0	0	1.25	0.25	1.375	0	1.125	0.125	0	0	0	0	0	0.25	13.875	50.875	0.25	2	0	0	3.625	0	0	0.125	0	0.5	0	3.75	0
15778	24250	"Kožlí"	49.37639	14.02583	45	"AWI"	45	1280	2968	1895	1.89873417721519	0	16.4556962025316	0.253164556962025	0	0.506329113924051	0	0	2.0253164556962	0.506329113924051	0	0.126582278481013	0	0	1.26582278481013	0.379746835443038	0.886075949367089	0	0.886075949367089	0	0	0	0	0	0	0	14.1772151898734	50.7594936708861	0	2.0253164556962	0	0.126582278481013	3.92405063291139	0	0	0	0	0.253164556962025	0.379746835443038	3.16455696202532	0
15778	24250	"Kožlí"	49.37639	14.02583	50	"AWI"	50	1400	4252	2326	1.9438444924406	0	5.93952483801296	0	0	0.539956803455723	0	0	0.971922246220302	0.971922246220302	0	0	0	1.07991360691145	1.29589632829374	1.61987041036717	0.539956803455723	0.107991360691145	0.215982721382289	0	0	0	0	0	0	0	10.0431965442765	67.170626349892	0	1.29589632829374	0	0.107991360691145	5.0755939524838	0	0	0.215982721382289	0	0	0	0.755939524838013	0.107991360691145
15778	24250	"Kožlí"	49.37639	14.02583	55	"AWI"	55	1730	4710	2850	2.12765957446809	0	10.531914893617	0	0	0.319148936170213	0	0	1.70212765957447	0.212765957446809	0	0	0	0.212765957446809	1.06382978723404	1.38297872340426	1.80851063829787	0	0.531914893617021	0	0	0	0	0	0	0	10.8510638297872	62.0212765957447	0.106382978723404	0	0	0	5.53191489361702	0	0	0.106382978723404	0	0	0.106382978723404	1.27659574468085	0.106382978723404
15778	24250	"Kožlí"	49.37639	14.02583	60	"AWI"	60	1917	5561	3360	3.72526193247963	0	14.0861466821886	0	0	0.232828870779977	0	0	2.44470314318976	0	0	0	0	0	1.16414435389988	0	5.82072176949942	0	0.69848661233993	0	0	0	0	0	0	0	3.84167636786962	60.6519208381839	0	0	0	0	4.77299185098952	0	0.582072176949942	0.116414435389988	0	0	0.465657741559953	0.69848661233993	0.69848661233993
15778	24250	"Kožlí"	49.37639	14.02583	65	"AWI"	65	2339	6012	3912	3.86416861826698	0.234192037470726	17.9156908665105	0	0	0.234192037470726	0.117096018735363	0	5.97189695550351	0	0	0	0	0	1.75644028103044	0	3.62997658079625	0	0.468384074941452	0	0	0.234192037470726	0	0	0	0	33.1381733021077	25.5269320843091	0	0	0	0	4.56674473067916	0	0.234192037470726	0	0	0	0	1.28805620608899	0.819672131147541
