"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Anacardiaceae"	"Apiaceae"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Castanea"	"Corylus"	"Ericales"	"Fagus"	"Geraniaceae"	"Ilex"	"Liliaceae"	"Nyssaceae"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
2970	3870	"Alsa"	43.11778	-4.01667	30	"AWI"	30	-147	23	-68	0	10	24	0	0	2	14	16	0	0	2	22	70	20	0	0	0	0	0	4	28	0	16	0	0	12	0	0
2970	3870	"Alsa"	43.11778	-4.01667	40	"AWI"	40	-65	465	287	1	16	3	0	0	2	11	16	0	1	1	18	23	40	0	5	0	0	1	5	4	0	14	0	0	0	4	3
2970	3870	"Alsa"	43.11778	-4.01667	50	"AWI"	50	41	1139	522	0	25	6	1	0	1	8	25	0	0	2	9	33	36	0	2	0	0	0	12	15	0	8	0	0	0	3	2
2970	3870	"Alsa"	43.11778	-4.01667	60	"AWI"	60	256	1551	818	2	35	33	0	0	0	9	21	0	0	0	8	31	31	0	0	1	0	0	10	11	0	12	0	0	0	7	2
2970	3870	"Alsa"	43.11778	-4.01667	70	"AWI"	70	497	1928	1133	2	50	0	2	0	1	5	13	2	0	0	5	25	31	0	0	0	0	0	15	22	0	11	0	3	0	1	3
2970	3870	"Alsa"	43.11778	-4.01667	80	"AWI"	80	752	2182	1453	0	56	3	3	0	5	3	21	8	0	0	7	12	12	0	1	0	0	0	12	12	1	12	0	1	0	8	0
2970	3870	"Alsa"	43.11778	-4.01667	90	"AWI"	90	1014	2453	1781	6	43	12	0	0	0	2	36	0	0	0	13	10	10	0	8	2	0	1	8	8	0	15	0	0	0	4	1
2970	3870	"Alsa"	43.11778	-4.01667	100	"AWI"	100	1299	2669	2095	20	37	50	0	0	2	3	32	0	0	0	28	14	2	0	9	0	0	0	11	8	1	7	0	0	0	0	3
2970	3870	"Alsa"	43.11778	-4.01667	110	"AWI"	110	1650	2873	2408	16	25	30	0	0	1	1	22	0	0	0	15	7	0	0	3	0	0	0	5	2	0	2	0	0	0	0	8
2970	3870	"Alsa"	43.11778	-4.01667	120	"AWI"	120	2119	3027	2723	13	53	80	0	0	0	0	22	6	0	0	17	5	5	0	0	0	0	0	11	3	0	7	0	0	0	0	7
2970	3870	"Alsa"	43.11778	-4.01667	130	"AWI"	130	2792	3148	2973	7	55	7	0	1	2	0	35	0	0	0	13	6	1	0	0	0	0	0	13	15	0	10	0	3	0	0	10
2970	3870	"Alsa"	43.11778	-4.01667	140	"AWI"	140	2884	3451	3113	5	36	14	0	0	1	0	33	0	0	0	21	4	1	0	0	0	0	0	22	5	0	17	0	3	0	0	3
2970	3870	"Alsa"	43.11778	-4.01667	150	"AWI"	150	2980	3678	3260	8	32	6	1	0	0	0	40	0	0	0	23	5	2	0	0	0	0	0	20	5	0	16	1	7	0	0	3
2970	3870	"Alsa"	43.11778	-4.01667	160	"AWI"	160	3090	3858	3418	17	22	2	0	0	7	0	40	0	0	0	21	5	3	0	0	0	0	0	15	5	0	21	0	0	0	0	3
2970	3870	"Alsa"	43.11778	-4.01667	170	"AWI"	170	3197	4017	3575	17	15	0	2	0	0	0	45	0	0	0	15	6	2	0	0	0	0	0	20	10	0	5	0	0	0	0	7
2970	3870	"Alsa"	43.11778	-4.01667	180	"AWI"	180	3320	4185	3722	31	16	0	2	0	0	1	45	0	0	0	23	1	0	0	0	0	0	2	25	12	0	8	0	0	0	0	8
2970	3870	"Alsa"	43.11778	-4.01667	190	"AWI"	190	3453	4337	3877	50	22	0	6	0	0	3	16	0	0	0	26	2	0	0	0	0	0	4	42	12	0	90	0	0	0	0	14
2970	3870	"Alsa"	43.11778	-4.01667	200	"AWI"	200	3584	4496	4033	3	7	2	3	0	0	1	40	0	0	0	8	5	5	0	0	0	0	0	41	3	0	8	0	1	0	0	3
2970	3870	"Alsa"	43.11778	-4.01667	210	"AWI"	210	3726	4637	4187	2	6	47	0	0	0	5	16	0	0	0	1	23	21	0	0	0	0	0	11	5	0	9	0	1	0	1	3
2970	3870	"Alsa"	43.11778	-4.01667	220	"AWI"	220	3890	4774	4349	0	0	0	1	0	1	7	40	1	0	0	10	5	0	1	0	0	0	1	65	0	0	10	0	2	0	0	4
2970	3870	"Alsa"	43.11778	-4.01667	230	"AWI"	230	4077	4911	4495	20	0	2	10	0	12	6	60	2	0	0	52	4	0	2	0	0	0	4	40	0	0	10	0	6	0	0	0
2970	3870	"Alsa"	43.11778	-4.01667	240	"AWI"	240	4243	5041	4651	24	0	0	9	0	6	12	40	0	0	0	30	8	0	6	0	0	1	0	60	0	0	22	0	0	0	0	0
2970	3870	"Alsa"	43.11778	-4.01667	250	"AWI"	250	4443	5163	4798	5	0	2	1	0	0	12	60	1	1	0	11	3	0	3	0	0	0	0	51	0	0	0	0	20	0	0	0
2970	3870	"Alsa"	43.11778	-4.01667	260	"AWI"	260	4662	5265	4932	11	0	2	0	0	0	3	25	6	1	0	24	1	0	1	0	0	0	0	60	0	0	0	0	0	0	0	0
