"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Ulmus"	"Viburnum"
3065	3996	"Coolteen"	52.35	-6.6	101	"AWI"	101	7904	8978	8480	5	0	1	1	0	19	0	0	0	0	0	182	60	0	0	22	0	0	0	19	0	0	0	20	0	0	0	0	20	0	0	0	3	1
3065	3996	"Coolteen"	52.35	-6.6	102	"AWI"	102	7954	9017	8518	0	0	2	0	0	31	0	0	0	0	0	234	96	0	0	63	0	0	0	22	0	2	0	10	0	0	0	0	32	0	0	1	1	1
3065	3996	"Coolteen"	52.35	-6.6	103	"AWI"	103	7995	9060	8558	0	0	0	0	0	76	0	0	0	0	0	2	82	0	0	10	0	0	0	8	0	116	0	0	0	0	0	0	43	0	0	0	0	0
3065	3996	"Coolteen"	52.35	-6.6	104	"AWI"	104	8042	9100	8599	0	1	0	0	0	121	0	0	0	0	0	0	32	0	0	2	80	0	0	2	0	97	0	0	4	0	0	6	36	0	0	1	0	0
3065	3996	"Coolteen"	52.35	-6.6	105	"AWI"	105	8092	9126	8639	1	0	0	1	0	88	0	0	0	0	0	1	29	1	0	3	155	0	0	1	0	82	0	0	10	0	5	13	33	0	0	1	0	0
3065	3996	"Coolteen"	52.35	-6.6	106	"AWI"	106	8135	9159	8680	0	0	0	1	0	19	0	0	0	0	0	0	26	1	0	4	176	0	0	0	0	85	0	0	9	0	0	7	27	0	0	4	0	0
3065	3996	"Coolteen"	52.35	-6.6	107	"AWI"	107	8180	9194	8719	0	0	0	0	0	10	0	0	1	0	0	0	37	2	0	4	164	0	0	1	3	58	0	0	13	0	1	9	8	0	0	2	0	0
3065	3996	"Coolteen"	52.35	-6.6	108	"AWI"	108	8225	9231	8761	0	0	2	1	4	10	0	0	3	0	0	1	77	4	0	8	43	0	0	4	4	116	0	0	22	0	2	33	9	0	0	5	0	0
3065	3996	"Coolteen"	52.35	-6.6	109	"AWI"	109	8266	9265	8803	1	0	0	3	5	6	0	0	3	0	0	0	147	2	0	7	0	0	0	8	0	100	0	1	22	0	0	28	8	3	0	3	0	0
3065	3996	"Coolteen"	52.35	-6.6	110	"AWI"	110	8318	9302	8842	3	0	3	0	25	6	1	1	2	0	0	2	38	0	0	12	2	0	0	6	0	186	0	0	47	0	3	7	4	1	0	2	0	0
3065	3996	"Coolteen"	52.35	-6.6	111	"AWI"	111	8364	9340	8881	1	1	5	2	0	9	1	1	4	0	1	1	28	0	0	8	27	0	0	2	0	179	0	0	47	0	6	18	6	0	0	6	0	0
3065	3996	"Coolteen"	52.35	-6.6	112	"AWI"	112	8410	9374	8920	0	0	2	4	0	12	1	0	5	0	0	0	40	0	0	9	42	0	0	0	0	160	1	0	21	18	6	16	9	0	0	5	0	0
3065	3996	"Coolteen"	52.35	-6.6	113	"AWI"	113	8463	9409	8961	1	0	4	1	4	14	1	0	1	0	1	2	43	0	0	9	34	0	0	4	0	146	0	1	19	0	2	22	3	0	1	3	0	0
3065	3996	"Coolteen"	52.35	-6.6	114	"AWI"	114	8509	9445	9002	0	1	4	0	0	16	0	0	1	0	2	0	30	2	0	9	41	0	0	3	0	163	0	0	15	0	5	18	10	0	0	8	0	0
3065	3996	"Coolteen"	52.35	-6.6	115	"AWI"	115	8559	9475	9042	3	0	0	0	4	16	0	0	4	0	1	1	19	0	0	16	10	0	0	3	0	189	0	0	32	12	4	23	5	0	0	2	0	0
3065	3996	"Coolteen"	52.35	-6.6	116	"AWI"	116	8600	9509	9083	0	4	2	4	7	48	0	0	1	1	1	0	39	5	0	11	13	0	0	1	0	117	0	0	2	0	3	61	12	0	0	3	0	0
3065	3996	"Coolteen"	52.35	-6.6	117	"AWI"	117	8644	9546	9123	2	0	3	3	5	16	0	0	6	0	0	0	32	1	0	7	18	0	0	3	0	164	0	0	17	0	2	18	13	0	0	4	0	0
3065	3996	"Coolteen"	52.35	-6.6	119	"AWI"	119	8742	9617	9202	0	0	2	1	0	11	0	0	0	0	0	0	39	0	0	6	57	0	1	0	0	200	0	1	5	0	11	7	10	0	0	12	0	0
3065	3996	"Coolteen"	52.35	-6.6	121	"AWI"	121	8843	9684	9279	0	0	9	2	0	13	0	0	1	0	0	1	45	2	0	8	50	0	0	0	0	197	0	0	14	0	5	9	3	0	0	11	0	0
3065	3996	"Coolteen"	52.35	-6.6	123	"AWI"	123	8938	9747	9359	0	1	12	3	0	6	0	0	4	0	1	0	70	0	0	5	48	0	0	1	0	137	0	0	4	0	3	6	15	0	0	19	0	0
3065	3996	"Coolteen"	52.35	-6.6	124	"AWI"	124	8986	9790	9399	0	1	5	5	0	27	0	0	0	0	0	0	33	4	0	5	54	0	1	2	0	121	0	0	8	0	8	34	6	0	0	5	0	0
3065	3996	"Coolteen"	52.35	-6.6	125	"AWI"	125	9034	9829	9441	1	1	0	4	6	43	0	0	3	0	0	1	34	2	0	9	20	0	0	0	3	131	0	0	7	0	3	61	16	0	0	1	0	0
3065	3996	"Coolteen"	52.35	-6.6	126	"AWI"	126	9072	9866	9479	0	0	0	6	4	27	0	0	0	0	1	0	154	0	0	8	1	0	0	0	0	55	0	0	1	0	0	83	11	0	0	0	0	0
3065	3996	"Coolteen"	52.35	-6.6	127	"AWI"	127	9114	9901	9519	0	0	0	15	7	23	0	0	0	0	0	0	172	0	0	9	0	0	0	1	0	81	0	0	0	0	0	32	5	0	0	0	0	0
3065	3996	"Coolteen"	52.35	-6.6	128	"AWI"	128	9157	9935	9558	0	0	0	0	3	63	0	0	0	0	0	0	28	0	0	5	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0
