"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16656	26435	"Egelsee"	47.61312	12.17047	30	"AWI"	30	-3	680	235	36	2	199	0	5	0	2	0	55	0	2	0	0	0	2	0	0	0	35	1	64	0	0	3	0	166	0	4	0	0	0	1	25	0	8	1	0	0	0	0	135	0	0	199	0	0	35	0	2	0	1	31	7	1	0	0	0	0	0	1	7	8	0
16656	26435	"Egelsee"	47.61312	12.17047	40	"AWI"	40	11	909	318	60	3	97	3	6	0	5	0	54	0	0	0	0	0	1	0	0	0	38	0	64	0	0	0	0	140	0	2	0	0	0	2	41	0	6	0	0	0	0	0	179	0	0	153	0	0	27	0	4	0	0	25	2	0	0	0	0	0	0	0	3	13	0
16656	26435	"Egelsee"	47.61312	12.17047	50	"AWI"	50	45	1102	405	54	0	113	0	5	1	1	0	84	0	2	0	1	0	1	3	0	0	50	0	64	0	0	0	0	255	0	4	0	0	0	2	30	0	6	0	0	0	0	0	165	0	0	142	0	0	54	0	1	0	2	28	6	1	0	0	1	0	0	0	3	12	0
16656	26435	"Egelsee"	47.61312	12.17047	60	"AWI"	60	118	1166	510	50	4	116	3	3	1	0	0	69	0	0	0	0	0	4	0	0	0	52	0	81	0	0	2	0	268	0	1	1	0	0	1	44	0	3	0	0	0	0	0	139	144	0	151	0	0	62	0	2	0	1	21	6	0	0	0	2	0	0	0	2	7	0
16656	26435	"Egelsee"	47.61312	12.17047	70	"AWI"	70	164	1246	619	45	2	111	0	3	0	0	0	77	0	1	0	0	0	1	0	0	1	56	0	53	0	0	4	0	259	2	1	0	0	0	3	32	0	6	0	0	0	0	0	125	168	0	128	0	0	51	0	0	0	0	13	3	0	0	0	0	0	0	0	2	7	0
16656	26435	"Egelsee"	47.61312	12.17047	80	"AWI"	80	204	1324	724	66	2	132	2	2	0	0	0	85	0	1	0	0	0	0	0	0	1	35	1	52	0	0	0	0	246	0	5	0	0	0	2	39	0	3	0	0	0	0	0	172	0	0	139	0	0	61	0	0	0	1	18	9	5	0	0	3	0	0	0	3	13	0
16656	26435	"Egelsee"	47.61312	12.17047	90	"AWI"	90	236	1448	829	37	2	132	0	2	0	1	0	64	0	2	0	1	0	0	0	0	0	55	0	50	0	0	0	0	239	0	0	0	0	0	2	29	0	0	0	0	0	0	0	126	0	0	117	0	1	71	0	0	0	0	19	2	2	0	0	0	0	0	0	3	12	0
16656	26435	"Egelsee"	47.61312	12.17047	100	"AWI"	100	325	1545	929	55	0	135	1	4	0	4	0	83	0	4	0	0	0	1	0	0	0	59	0	58	0	0	2	0	254	0	0	0	0	0	3	42	0	6	0	0	0	0	0	141	76	0	116	0	0	84	0	0	0	1	20	5	0	0	0	0	0	0	0	2	13	0
16656	26435	"Egelsee"	47.61312	12.17047	110	"AWI"	110	481	1586	1030	48	0	125	0	4	1	0	0	90	0	3	0	0	0	0	0	0	0	64	1	55	0	0	0	0	313	0	2	0	0	0	2	37	0	4	0	0	0	0	0	96	0	0	121	0	0	86	0	0	0	0	15	6	0	0	0	3	0	0	0	2	10	0
16656	26435	"Egelsee"	47.61312	12.17047	120	"AWI"	120	587	1633	1138	29	1	95	0	1	0	0	0	70	0	0	0	0	0	0	0	0	0	79	0	40	0	0	0	0	287	0	3	0	0	0	7	33	0	2	0	0	0	0	0	105	0	0	96	0	0	98	0	0	0	1	14	4	0	0	0	1	0	0	1	1	17	1
