"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Orchidaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
363	374	"Le Marais St Boetien"	49.61667	3.81667	50	"AWI"	50	367	1230	750	2	83	7	2	0	11	0	22	5	0	11	0	1	1	0	0	0	102	300	0	0	1	0	174	7	0	0	0	0	13	0	0	0	27	0	18	0	0	1	0	235	0	0	3	0	16	0	0	0	0	0	1	3	2	8	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	60	"AWI"	60	491	1393	913	0	73	6	7	0	0	0	15	4	0	0	0	0	0	0	0	0	98	743	0	0	0	0	177	8	1	1	0	0	4	0	0	0	46	1	21	0	0	0	3	245	0	0	3	0	4	0	0	2	0	0	0	1	0	23	0	1
363	374	"Le Marais St Boetien"	49.61667	3.81667	70	"AWI"	70	631	1552	1078	1	82	5	2	0	18	0	11	2	0	0	0	2	1	0	0	0	49	1131	0	0	1	0	123	20	1	0	0	0	7	0	0	1	31	0	23	43	0	1	4	205	0	0	2	39	3	0	0	0	0	0	0	2	0	20	1	3
363	374	"Le Marais St Boetien"	49.61667	3.81667	80	"AWI"	80	785	1722	1240	0	72	2	2	0	4	0	11	1	0	0	0	0	0	0	0	0	65	175	1	0	0	0	55	6	0	0	1	0	0	0	0	0	4	0	163	19	0	0	0	123	0	0	1	0	8	2	0	0	0	0	0	2	2	7	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	90	"AWI"	90	930	1891	1406	2	58	0	1	0	2	0	25	1	0	0	0	0	0	0	0	0	67	432	0	0	0	0	71	3	0	0	0	0	0	0	1	0	4	0	249	9	0	0	0	104	0	0	2	0	2	0	0	0	0	0	0	1	3	4	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	100	"AWI"	100	1081	2040	1570	0	5	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	4	96	0	0	0	0	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	27	0	0	2	0	1	0	0	0	0	0	0	2	1	2	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	110	"AWI"	110	1258	2168	1735	0	77	3	2	0	5	0	90	5	0	0	0	0	0	0	0	0	73	1240	0	0	0	0	10	4	0	1	0	0	0	0	0	0	1	1	158	4	0	0	2	110	0	0	4	0	15	0	0	1	0	0	0	1	3	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	130	"AWI"	130	1613	2458	2067	0	55	16	23	0	9	0	27	27	0	0	0	1	0	0	0	0	37	1627	0	0	0	0	42	68	0	0	1	0	0	0	2	0	2	0	28	22	0	3	2	244	0	0	20	0	13	1	0	3	0	0	0	5	3	7	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	140	"AWI"	140	1802	2580	2230	1	58	7	1	0	10	0	18	15	0	0	0	0	1	1	0	0	26	3000	0	0	2	0	52	38	0	0	0	0	0	0	0	0	2	1	26	9	0	0	0	220	0	0	7	0	11	0	0	2	0	0	0	0	2	3	3	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	150	"AWI"	150	1985	2706	2393	0	11	5	5	0	8	0	12	1	0	0	0	0	0	0	0	0	18	827	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	80	0	0	18	0	4	0	0	0	0	0	1	2	5	2	0	0
