"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Lamiaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	5	"AWI"	5	-40	356	119	50	1	0	3	0	0	0	0	0	2	3	0	0	0	0	0	0	56	212	1	20	0	0	0	1	0	1	3	0	0	0
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	15	"AWI"	15	111	959	441	74	2	0	1	0	171	0	0	0	4	12	0	0	0	0	0	0	23	212	0	31	0	0	0	5	0	11	3	0	1	0
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	35	"AWI"	35	927	1338	1152	57	0	1	1	0	0	1	0	0	0	6	0	2	0	0	0	0	33	196	0	15	1	0	0	2	0	5	3	0	0	1
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	55	"AWI"	55	1391	1809	1603	87	0	0	3	0	0	0	0	0	5	7	0	0	0	0	0	2	26	165	0	26	0	2	2	4	0	2	6	0	1	1
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	65	"AWI"	65	1544	2011	1772	59	1	1	1	0	102	0	0	0	9	1	0	0	0	0	0	0	70	208	0	12	0	1	0	2	0	0	2	0	3	5
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	75	"AWI"	75	1705	2128	1907	58	0	1	1	0	104	0	0	0	4	8	0	2	0	1	0	0	36	157	0	15	0	2	0	3	0	1	3	0	0	2
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	95	"AWI"	95	1981	2369	2192	49	0	0	2	0	0	0	0	0	1	3	0	0	1	0	0	0	131	247	0	14	0	2	0	0	0	0	1	0	2	2
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	115	"AWI"	115	2247	2724	2504	76	0	1	0	0	124	0	0	1	9	2	0	0	2	0	0	1	130	150	0	4	0	2	0	2	0	0	0	0	1	4
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	135	"AWI"	135	2753	3189	2929	38	0	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	113	231	0	5	0	1	0	3	0	0	0	0	1	1
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	155	"AWI"	155	3120	3705	3378	39	1	1	1	0	0	0	0	0	7	3	0	0	1	0	0	0	183	204	0	4	0	2	0	1	0	0	1	0	2	5
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	165	"AWI"	165	3352	4123	3699	56	0	0	2	0	0	0	0	0	12	3	0	0	0	0	0	0	187	277	0	5	0	4	0	0	0	0	1	0	6	7
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	175	"AWI"	175	3699	4456	4119	51	1	0	1	0	0	0	0	0	7	1	0	0	0	0	0	0	175	272	0	4	0	2	0	3	0	0	1	0	3	9
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	185	"AWI"	185	3959	4647	4327	39	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	202	223	0	0	0	1	1	2	0	0	0	0	2	2
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	195	"AWI"	195	4194	4807	4516	36	0	0	2	0	0	2	0	0	6	4	0	0	0	0	0	0	240	288	0	2	0	3	1	1	0	0	1	0	2	9
26572	46469	"Lembolovskoye lake"	60.3575	30.31333	205	"AWI"	205	4416	5040	4725	34	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	1	138	127	0	2	0	3	1	1	0	0	2	0	1	4
