"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23834	41310	"Stonetor Brook"	50.65556	-3.91	48	"AWI"	48	766	992	899	0	40	0	1	0	0	29	3	0	0	1	0	0	0	67	0	0	28	105	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	1	0	1	0	1	0	2	0	0	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	50	"AWI"	50	781	1123	930	0	15	0	0	0	0	44	0	0	0	0	0	2	0	35	0	0	24	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	42	0	0	0	0	0	0	1	0	0	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	52	"AWI"	52	832	1206	1002	0	75	0	1	0	0	0	4	0	0	0	0	4	0	60	0	1	37	54	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	38	0	0	0	0	0	0	1	1	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	54	"AWI"	54	866	1349	1069	0	57	0	0	0	0	0	8	0	0	0	0	1	0	38	0	0	61	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	56	3	0	0	0	0	0	0	1	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	55	"AWI"	55	883	1442	1102	0	65	0	0	2	0	0	5	0	0	0	0	4	0	50	0	0	93	51	0	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	65	3	0	0	0	1	0	0	1	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	56	"AWI"	56	931	1461	1145	0	68	0	0	1	0	0	2	0	0	0	0	1	0	52	0	0	71	64	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	54	3	0	0	0	0	0	0	0	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	57	"AWI"	57	971	1494	1190	0	46	0	0	1	0	0	1	1	0	0	0	0	0	60	0	0	103	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	70	2	0	0	0	0	0	1	2	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	58	"AWI"	58	1002	1527	1235	0	60	0	1	0	0	0	5	2	0	0	0	3	0	44	0	0	128	0	0	2	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	55	5	0	0	0	0	0	0	2	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	59	"AWI"	59	1030	1587	1276	0	72	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	106	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	64	2	0	0	0	0	0	0	0	5	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	60	"AWI"	60	1052	1661	1314	0	67	0	0	1	0	0	0	0	0	0	0	4	0	36	0	0	121	58	0	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	62	3	0	0	0	0	0	1	1	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	61	"AWI"	61	1111	1682	1351	0	71	0	0	1	0	0	0	0	0	0	0	2	0	45	0	0	139	58	0	1	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	56	2	0	0	0	0	0	2	1	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	62	"AWI"	62	1170	1705	1394	0	145	1	0	5	0	0	2	0	0	0	0	4	0	35	0	0	88	64	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	62	6	0	0	0	0	0	0	0	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	63	"AWI"	63	1214	1749	1437	0	120	1	0	0	0	0	3	0	0	0	0	0	0	60	0	0	118	45	0	4	1	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	62	0	0	0	0	0	0	0	0	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	64	"AWI"	64	1250	1801	1476	0	80	0	0	1	0	0	7	0	0	0	0	2	0	78	0	0	94	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	92	1	0	0	0	0	0	2	1	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	65	"AWI"	65	1285	1866	1519	0	75	0	0	1	0	0	1	1	0	0	0	2	0	64	0	0	121	47	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	76	3	0	0	0	0	0	0	1	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	66	"AWI"	66	1460	1920	1638	0	76	0	0	0	0	0	4	0	0	0	0	2	0	75	0	0	136	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	4	0	0	0	0	0	0	0	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	67	"AWI"	67	1638	1974	1755	0	78	1	0	1	0	0	3	0	0	0	0	0	0	54	0	0	129	61	0	2	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	68	7	0	0	0	0	0	0	2	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	68	"AWI"	68	1785	2038	1878	0	50	1	0	0	0	0	0	0	0	0	0	2	0	81	0	0	84	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	81	2	0	0	0	0	0	0	0	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	69	"AWI"	69	1882	2148	2004	0	68	0	0	1	0	0	3	0	0	0	0	1	0	84	0	0	119	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	67	3	0	0	0	0	0	0	1	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	70	"AWI"	70	1962	2298	2129	0	36	0	0	0	0	0	0	1	0	0	0	4	0	49	0	0	141	13	0	1	3	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	32	8	0	0	0	0	0	0	0	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	71	"AWI"	71	2182	2533	2333	0	11	0	0	2	0	0	1	6	0	1	0	11	0	26	0	0	121	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	25	7	0	0	0	0	2	0	0	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	72	"AWI"	72	2227	2964	2526	0	12	0	0	0	0	0	3	5	0	0	0	15	0	34	0	0	103	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	35	4	0	1	0	0	0	0	0	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	73	"AWI"	73	2266	3429	2716	0	34	0	0	0	0	0	4	0	0	0	0	6	0	50	0	0	79	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	32	1	0	1	0	1	0	0	0	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	74	"AWI"	74	2302	3904	2913	0	24	0	0	0	0	0	6	0	0	0	0	3	0	45	0	0	39	30	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	35	0	0	0	0	1	0	0	1	0	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	75	"AWI"	75	2335	4381	3108	0	73	1	0	0	0	0	7	0	0	1	0	4	0	59	0	0	43	48	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	35	2	0	0	0	2	0	0	0	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	76	"AWI"	76	2479	4495	3339	0	145	0	0	0	0	0	14	0	0	0	0	0	0	85	0	0	17	31	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	38	2	0	0	0	1	0	0	2	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	77	"AWI"	77	2578	4589	3625	0	145	0	0	0	0	0	13	0	0	0	0	0	0	134	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	32	3	0	0	0	8	0	0	2	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	78	"AWI"	78	2667	4719	3953	0	164	0	0	0	0	0	12	0	0	0	0	1	0	111	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	46	1	0	0	0	5	0	0	3	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	79	"AWI"	79	2737	4922	4245	0	84	0	0	0	0	0	8	0	0	0	0	0	0	91	0	0	113	23	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	54	3	0	0	0	2	0	2	2	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	80	"AWI"	80	2837	5207	4479	0	60	0	0	1	0	0	5	0	0	0	0	2	0	73	0	0	133	29	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	69	6	0	0	0	2	0	0	2	8	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	81	"AWI"	81	3331	5235	4633	0	86	0	0	0	0	0	4	0	0	0	37	2	0	87	0	0	111	32	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	56	0	0	0	0	3	0	0	0	7	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	82	"AWI"	82	3799	5267	4780	0	90	0	0	3	0	0	1	0	0	0	0	5	0	76	0	0	107	29	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	73	3	0	0	0	1	0	0	1	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	83	"AWI"	83	4268	5300	4926	0	88	0	0	0	0	0	6	0	0	0	36	4	0	80	0	0	88	26	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	70	3	0	0	0	1	0	0	3	9	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	84	"AWI"	84	4730	5355	5072	0	47	0	0	1	0	0	3	0	0	0	68	1	0	72	0	0	125	0	0	0	0	2	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	65	5	0	0	0	0	0	0	1	8	0
