"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16515	25837	"Gerlos"	47.24306	12.13889	5	"AWI"	5	-40	359	92	4	1	87	2	0	2	0	1	0	0	33	2	0	0	0	1	0	0	0	4	363	0	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	1	371	78	12	64	0	0	10	0	0	1	0	0	17	0	0	0	0	0	0	1	3	0
16515	25837	"Gerlos"	47.24306	12.13889	10	"AWI"	10	18	609	216	7	1	70	0	0	3	0	0	0	0	30	0	0	0	0	0	0	0	0	4	250	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	338	190	6	94	0	0	2	0	0	0	0	0	9	3	0	0	0	0	0	1	0	0
16515	25837	"Gerlos"	47.24306	12.13889	15	"AWI"	15	70	816	341	17	2	67	0	0	2	0	1	0	0	47	1	0	0	0	0	0	0	0	14	273	0	0	0	0	47	0	1	0	0	0	2	0	0	0	0	0	0	0	190	215	17	56	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	1	2	0
16515	25837	"Gerlos"	47.24306	12.13889	20	"AWI"	20	148	958	475	21	0	70	0	0	4	0	5	0	0	35	4	0	0	0	0	0	0	0	7	320	0	0	0	0	34	0	0	0	0	2	0	0	0	0	0	0	0	0	402	256	10	50	0	0	5	0	0	0	0	0	9	1	0	0	1	0	0	0	0	0
16515	25837	"Gerlos"	47.24306	12.13889	25	"AWI"	25	234	1125	604	2	1	67	1	0	0	0	5	0	0	27	2	0	0	0	1	0	0	0	15	417	0	0	0	0	6	0	0	0	0	0	8	0	2	0	0	0	0	1	401	201	17	127	0	1	10	0	0	0	0	2	30	0	0	0	0	0	0	0	4	0
16515	25837	"Gerlos"	47.24306	12.13889	30	"AWI"	30	312	1286	731	5	0	57	0	0	2	0	2	0	0	22	2	0	0	0	0	0	0	0	7	598	0	0	0	0	17	0	0	0	0	1	4	0	2	0	0	0	0	2	197	186	12	96	0	0	6	0	0	0	0	1	22	2	0	0	0	0	0	0	7	0
16515	25837	"Gerlos"	47.24306	12.13889	35	"AWI"	35	408	1414	866	2	1	74	0	0	2	0	3	0	0	36	0	0	0	0	1	0	0	0	7	1186	0	0	0	3	14	0	0	0	0	4	17	0	2	0	0	0	0	0	160	218	17	193	0	0	8	0	0	0	17	1	59	1	0	0	2	0	0	0	7	0
16515	25837	"Gerlos"	47.24306	12.13889	40	"AWI"	40	512	1547	993	8	1	52	0	0	5	0	7	0	0	30	1	0	0	0	3	0	0	0	10	754	0	0	0	0	10	0	0	0	0	0	4	0	2	0	0	0	0	0	228	171	17	241	0	0	7	0	0	0	0	1	0	2	0	0	5	1	0	0	0	0
16515	25837	"Gerlos"	47.24306	12.13889	45	"AWI"	45	608	1693	1119	10	1	106	1	0	3	0	4	0	0	56	4	0	0	0	2	0	0	0	9	1227	0	0	0	0	25	0	1	0	0	4	10	0	3	0	0	0	0	0	476	343	18	141	0	0	23	0	0	0	0	0	52	0	0	0	5	2	0	1	3	0
16515	25837	"Gerlos"	47.24306	12.13889	50	"AWI"	50	724	1817	1249	5	1	70	0	0	1	0	5	0	0	125	0	0	0	0	4	0	0	0	3	799	0	0	0	0	12	0	0	0	0	1	10	0	2	0	0	0	0	0	180	211	12	110	0	0	11	0	0	0	0	0	39	1	0	0	0	0	0	0	0	0
