"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3376	4377	"Regetovka"	49.423704	21.277606	5	"AWI"	5	-142	24	-51	7	0	46	9	0	0	8	0	29	0	5	0	0	4	0	40	66	0	0	52	2	0	1	0	1	0	0	0	0	6	16	167	0	66	0	198	0	13	0	0	0	7	0	3	0	0	0	1	2	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	25	"AWI"	25	-66	212	47	9	2	69	12	0	0	10	0	89	1	2	0	8	2	0	40	230	0	0	79	1	0	1	0	8	0	3	0	0	10	12	121	0	269	0	59	0	2	0	0	2	12	9	0	0	0	0	2	1	1	0	0
3376	4377	"Regetovka"	49.423704	21.277606	45	"AWI"	45	5	325	154	6	0	81	1	0	1	4	0	31	0	2	0	0	8	0	90	13	2	0	38	0	0	6	0	0	2	2	0	0	5	4	55	0	80	3	14	0	5	0	0	7	3	156	0	0	0	0	4	0	1	0	0
3376	4377	"Regetovka"	49.423704	21.277606	65	"AWI"	65	91	432	266	6	0	39	4	0	0	18	0	12	0	2	0	0	0	0	42	15	0	0	87	0	0	1	0	0	1	5	0	0	5	6	166	0	74	1	51	0	9	0	0	3	9	1	0	0	0	0	3	0	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	85	"AWI"	85	194	526	376	30	5	216	5	0	0	10	0	53	0	0	0	0	0	0	51	0	0	0	177	7	0	4	0	0	25	0	0	0	12	3	33	0	75	0	6	0	7	0	0	12	4	3	0	0	0	0	4	5	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	105	"AWI"	105	358	603	480	5	2	227	0	2	0	14	0	31	0	0	0	0	0	0	27	4	0	0	157	34	0	2	0	0	0	0	0	1	5	3	7	0	25	0	10	0	0	0	0	0	0	4	0	0	0	0	2	0	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	125	"AWI"	125	507	875	625	19	4	426	0	0	0	3	0	223	0	0	0	0	0	0	31	1	0	0	140	6	0	1	0	0	0	0	0	0	10	0	7	0	22	0	3	0	0	0	0	2	2	6	0	0	0	0	4	11	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	140	"AWI"	140	569	1176	780	107	1	58	2	0	0	5	0	69	0	0	0	0	0	0	25	15	0	0	572	4	0	0	0	0	0	0	0	0	51	0	36	0	0	0	59	0	1	0	0	0	0	1	0	0	0	0	9	9	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	165	"AWI"	165	713	1602	1053	164	1	278	0	0	1	4	0	5	0	0	0	0	0	0	11	1	0	0	49	2	0	6	0	0	0	0	0	0	6	0	15	0	0	0	23	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	210	"AWI"	210	1067	2159	1560	87	3	258	0	0	1	4	0	13	0	0	0	0	0	0	19	5	0	0	168	4	0	0	0	0	0	0	0	0	19	0	17	0	0	0	30	0	1	0	0	1	1	1	0	0	0	0	2	6	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	220	"AWI"	220	1177	2249	1676	90	2	359	0	0	0	0	0	5	0	0	0	0	0	0	10	0	0	0	141	5	0	0	0	0	0	0	0	0	15	0	7	0	0	0	0	0	11	0	0	0	4	2	0	0	0	0	3	6	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	230	"AWI"	230	1274	2360	1794	44	1	586	0	0	1	3	0	21	0	0	0	1	0	0	8	4	0	0	83	2	0	3	0	2	0	0	0	0	8	0	4	0	8	0	23	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0
3376	4377	"Regetovka"	49.423704	21.277606	250	"AWI"	250	1468	2562	2019	79	0	603	0	0	0	5	0	16	0	0	0	0	0	0	18	7	0	0	162	0	0	3	0	0	0	0	0	0	6	0	15	0	0	0	16	0	4	0	0	0	0	3	0	0	0	0	4	4	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	270	"AWI"	270	1679	2762	2237	109	3	208	2	0	0	7	0	37	0	0	0	0	0	0	30	6	0	0	361	9	0	34	0	0	0	0	0	0	35	1	8	0	0	0	13	0	24	0	0	1	1	3	0	0	0	0	4	8	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	290	"AWI"	290	1918	2938	2463	87	2	585	1	0	2	9	0	35	0	0	0	0	2	0	19	9	0	0	161	5	0	9	0	0	0	0	0	0	16	0	12	0	0	0	12	0	6	0	0	0	7	6	0	0	0	0	8	7	1	0	0
3376	4377	"Regetovka"	49.423704	21.277606	310	"AWI"	310	2153	3097	2690	89	0	486	3	0	0	2	0	8	0	0	0	0	0	0	15	2	0	0	33	3	0	7	0	0	0	0	0	0	6	0	10	0	0	0	0	0	6	0	0	0	3	1	0	0	0	0	2	7	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	330	"AWI"	330	2401	3244	2909	62	2	372	0	2	0	4	0	4	0	0	0	0	0	0	18	2	0	0	23	4	0	3	0	0	0	0	0	0	6	0	6	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	5	4	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	350	"AWI"	350	2707	3385	3131	68	3	54	0	0	0	8	0	0	0	2	0	0	0	0	29	4	0	0	73	8	0	11	0	0	0	0	0	0	14	3	12	0	0	0	3	0	21	0	0	2	2	10	0	0	0	0	7	13	0	1	0
3376	4377	"Regetovka"	49.423704	21.277606	370	"AWI"	370	3117	3522	3345	69	1	819	1	0	0	7	0	11	0	0	0	0	0	0	16	6	0	0	116	4	0	12	0	0	0	0	0	0	10	5	18	0	0	0	8	0	15	0	0	0	3	4	0	0	0	1	12	10	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	390	"AWI"	390	3429	3858	3597	89	4	595	2	0	1	3	0	7	0	0	0	0	0	0	17	1	0	0	92	8	0	8	0	0	0	0	0	0	10	6	15	0	0	0	19	0	0	0	0	2	16	5	0	0	0	0	13	12	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	410	"AWI"	410	3582	4365	3902	37	7	385	2	0	0	9	0	14	0	3	0	7	0	0	100	5	0	0	13	2	0	20	0	0	0	0	0	0	33	77	35	0	0	0	23	0	7	0	0	0	8	13	0	0	0	0	49	51	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	420	"AWI"	420	3694	4547	4064	26	2	115	0	0	0	5	0	9	0	1	0	10	0	0	165	27	0	0	10	2	2	2	0	0	0	0	0	0	14	138	43	0	0	0	42	0	3	0	0	0	1	4	0	0	0	1	49	39	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	430	"AWI"	430	3779	4723	4232	5	14	52	2	0	0	10	0	15	0	2	0	7	0	0	201	30	0	0	5	15	0	16	0	0	0	0	0	0	8	65	7	0	0	0	32	0	13	0	0	1	2	22	0	0	0	0	64	49	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	440	"AWI"	440	3933	4833	4393	5	6	39	0	0	0	0	0	9	0	1	0	3	0	0	113	43	0	0	3	14	0	5	0	0	0	0	0	0	16	47	32	0	0	0	68	1	1	0	0	0	1	18	0	1	0	2	32	84	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	450	"AWI"	450	4085	4977	4547	30	10	316	1	0	1	4	0	15	0	1	0	0	0	0	84	5	0	0	19	26	0	11	0	0	0	0	0	0	15	17	9	0	0	0	26	0	6	0	0	3	9	8	0	0	0	0	23	41	4	0	0
3376	4377	"Regetovka"	49.423704	21.277606	460	"AWI"	460	4240	5105	4717	5	17	166	0	0	0	8	0	12	0	0	0	1	0	0	237	38	0	0	12	16	0	3	0	0	0	0	0	0	27	86	41	0	0	0	72	0	14	0	0	0	3	141	0	0	0	0	71	154	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	470	"AWI"	470	4489	5209	4869	1	13	79	1	0	0	4	0	14	0	0	0	12	0	0	234	17	0	0	1	24	0	18	0	0	0	0	1	0	6	62	17	0	0	0	44	0	6	0	0	0	1	8	0	0	0	0	42	100	2	1	0
3376	4377	"Regetovka"	49.423704	21.277606	480	"AWI"	480	4698	5320	5018	21	6	61	1	30	0	4	0	14	0	0	0	2	0	0	146	68	0	0	4	26	0	1	0	0	0	0	0	0	5	39	35	0	0	0	41	0	2	0	0	0	3	1	0	0	0	0	32	85	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	490	"AWI"	490	4915	5427	5143	6	6	59	0	25	0	10	0	10	1	1	0	7	0	0	149	66	0	0	1	17	0	46	0	0	0	0	0	0	1	69	3	0	0	0	21	0	6	0	0	2	3	0	3	0	0	0	44	94	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	500	"AWI"	500	5016	5555	5257	23	2	83	0	0	1	6	0	17	0	0	1	8	0	0	254	288	0	0	3	9	1	11	0	0	2	0	0	0	3	27	43	0	0	0	26	0	4	0	0	0	5	1	0	0	0	1	30	119	1	0	0
3376	4377	"Regetovka"	49.423704	21.277606	510	"AWI"	510	5075	5749	5355	1	5	76	1	0	0	3	0	10	0	0	0	5	0	0	229	155	0	0	0	27	0	19	0	0	0	0	0	0	7	18	12	0	0	0	17	0	9	0	0	1	2	2	0	0	0	0	27	141	2	0	0
3376	4377	"Regetovka"	49.423704	21.277606	520	"AWI"	520	5155	5864	5458	28	2	68	0	0	1	4	0	8	0	2	0	5	0	0	221	154	0	0	1	4	0	14	0	0	0	0	0	0	1	33	24	0	0	0	6	0	1	0	0	0	0	2	0	0	0	1	28	129	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	530	"AWI"	530	5224	5999	5555	0	4	60	0	0	0	7	0	12	0	0	0	6	0	0	234	93	0	0	1	20	0	16	0	0	0	0	0	0	13	18	12	0	0	0	25	0	12	0	0	2	0	3	0	0	0	0	27	132	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	540	"AWI"	540	5291	6137	5657	15	8	84	2	0	0	5	0	11	0	2	0	8	0	0	350	215	0	0	0	17	0	10	0	0	0	0	0	0	4	14	21	0	85	0	11	0	4	0	0	0	0	6	2	0	0	1	32	130	0	0	0
3376	4377	"Regetovka"	49.423704	21.277606	550	"AWI"	550	5383	6241	5766	3	3	181	0	0	0	5	0	17	0	0	0	7	1	0	234	188	0	0	14	20	0	6	0	0	0	0	0	0	1	22	15	0	0	0	3	0	10	0	0	0	3	4	0	0	0	0	15	146	0	0	0
