"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	0	"AWI"	0	-118	45	-38	4	0	0	0	0	0	0	3	0	0	63	0	2	0	0	0	0	0	0	0	3	21	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	548	243	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	10	"AWI"	10	-6	950	360	3	0	0	2	0	1	0	1	0	0	48	0	0	0	0	0	0	0	0	0	3	55	1	0	0	0	7	0	0	0	0	0	0	0	0	3	0	2	624	320	0	0	50	0	0	5	0	0	0	0	0	0	1	0	2	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	20	"AWI"	20	49	1940	755	3	0	0	1	0	1	0	5	0	0	44	0	0	0	1	0	0	0	0	0	1	40	0	0	0	0	3	0	0	0	0	0	1	0	0	29	0	1	215	239	0	0	33	0	0	5	0	0	0	0	0	0	0	1	1	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	30	"AWI"	30	177	2754	1142	104	0	0	1	0	1	0	7	0	0	69	0	0	0	0	0	0	0	1	0	10	14	0	0	0	0	77	0	0	0	0	0	0	0	0	6	0	2	623	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1	2	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	40	"AWI"	40	477	2929	1515	110	1	0	0	0	3	0	12	0	0	0	0	1	0	0	0	0	0	0	0	16	3	0	0	0	0	107	0	1	0	0	0	0	0	0	5	0	1	791	87	0	0	0	0	0	9	0	0	0	0	0	0	1	1	3	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	60	"AWI"	60	1016	3422	2303	141	4	0	4	0	1	0	4	0	0	32	0	0	0	0	0	0	2	0	0	6	4	0	0	0	0	129	1	0	0	0	0	0	0	0	1	0	0	891	0	0	0	0	1	0	16	0	0	0	0	0	0	0	3	2	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	80	"AWI"	80	1878	3720	3074	161	0	0	3	0	1	0	6	0	0	32	0	0	1	0	0	0	1	0	0	6	3	0	0	0	0	74	0	0	0	0	0	0	0	0	2	0	2	899	0	0	0	0	1	0	5	0	0	0	0	0	0	0	2	1	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	100	"AWI"	100	3267	4001	3669	138	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	1	0	0	130	0	0	0	0	0	0	0	0	0	0	2	934	56	0	0	0	0	0	9	0	0	0	0	0	0	0	3	5	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	120	"AWI"	120	3775	4649	4149	146	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	69	0	0	0	0	0	0	0	0	4	0	0	856	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	3	0	0
3482	41756	"Grosses Überling Schattseit-Moor"	47.17222	13.9	140	"AWI"	140	3890	5268	4422	174	1	0	0	0	3	0	1	0	0	26	0	1	0	0	0	0	0	0	0	7	14	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	3	0	65	0	0	0	0	0	10	0	0	0	0	0	0	0	5	2	0	0
