"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15701	24091	"Sommersüss"	46.759926	11.680222	1	"AWI"	1	-41	218	62	0	0	6	2	1	0	6	0	20	0	2	0	0	0	0	1	0	0	1	0	0	135	0	0	0	0	0	1	0	0	0	0	1	2	0	8	2	0	0	0	48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
15701	24091	"Sommersüss"	46.759926	11.680222	5	"AWI"	5	18	1033	316	1	0	20	5	10	0	16	0	39	0	3	0	1	0	0	1	0	0	8	0	1	405	0	0	0	0	0	1	0	0	0	0	5	7	0	21	0	0	0	0	79	0	0	182	0	0	0	3	0	0	0	1	6	0	0	0	0	2	0	0	1	1	0	1	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	10	"AWI"	10	60	2062	646	3	0	17	6	3	0	7	0	32	0	0	0	0	0	0	1	0	0	21	0	0	170	0	0	0	0	0	3	0	0	0	0	0	3	0	16	0	0	0	0	119	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	15	"AWI"	15	367	2301	1102	3	0	22	1	6	0	10	0	26	0	1	0	0	0	0	2	0	0	14	0	0	140	0	0	0	0	0	1	0	0	0	0	2	1	0	9	0	0	0	0	126	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	20	"AWI"	20	525	2792	1513	7	0	12	4	0	0	8	0	44	0	3	0	1	0	0	0	0	1	13	0	0	229	0	0	0	0	0	1	0	0	0	0	2	0	0	21	1	0	0	0	120	0	0	0	0	0	0	7	0	1	0	3	0	0	0	0	0	0	1	0	1	1	0	2	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	25	"AWI"	25	934	2996	1947	3	0	14	2	6	0	8	0	16	0	0	0	0	0	0	0	0	0	14	0	0	159	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	105	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	30	"AWI"	30	1144	3402	2357	3	0	16	6	5	0	14	0	29	0	2	1	0	0	0	0	0	0	19	0	0	77	0	0	0	0	0	1	0	0	0	0	0	1	0	10	0	0	0	0	110	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	35	"AWI"	35	1705	3527	2722	10	0	23	3	8	0	9	0	27	0	1	1	0	0	0	0	0	0	9	0	0	154	0	0	0	0	0	1	0	0	0	0	0	1	0	21	0	0	0	0	117	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	5	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	40	"AWI"	40	1936	3756	3114	7	1	45	4	8	0	7	0	34	0	1	1	3	0	0	0	0	0	31	0	0	186	0	0	0	0	0	2	0	0	0	0	2	1	0	20	0	0	0	0	204	392	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	2	0	0	1	0	0	6	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	45	"AWI"	45	2758	3836	3412	5	0	20	5	5	1	3	0	32	0	0	0	0	0	0	2	0	0	13	0	0	202	0	0	0	0	0	4	0	0	0	0	0	0	0	14	1	0	0	0	157	0	0	0	0	0	0	5	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	50	"AWI"	50	3382	4019	3734	5	0	18	5	3	0	11	0	25	0	2	0	0	0	0	0	0	0	14	0	0	228	0	0	0	0	0	4	0	0	0	0	0	2	0	22	0	0	0	0	163	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	2	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	55	"AWI"	55	3751	4361	4024	15	0	18	1	4	0	3	0	89	0	0	1	0	0	0	0	0	0	11	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	223	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	60	"AWI"	60	3836	5116	4296	16	0	46	3	8	0	11	0	153	0	0	0	0	0	0	0	0	0	26	0	0	214	0	0	0	0	0	6	0	0	0	0	0	0	0	11	1	0	0	0	355	0	0	0	0	0	0	16	0	0	0	1	0	15	0	0	0	1	0	0	0	3	0	2	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	65	"AWI"	65	4029	5396	4625	9	2	32	2	7	0	3	0	202	0	0	0	0	0	0	0	0	0	16	0	0	201	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	227	0	0	0	0	0	0	21	0	0	0	1	0	7	0	0	0	1	0	0	1	1	0	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	70	"AWI"	70	4124	6018	4920	13	0	26	1	7	0	2	0	210	0	0	0	0	0	0	0	0	0	9	0	0	132	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	209	660	0	0	0	0	0	12	0	0	0	1	0	8	0	0	0	1	0	0	0	2	2	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	75	"AWI"	75	4414	6199	5254	8	0	10	1	7	0	1	0	146	0	0	0	0	0	0	0	0	0	9	0	0	150	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	158	444	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	80	"AWI"	80	4582	6555	5576	4	0	22	3	6	0	2	0	88	0	1	0	0	0	0	0	0	1	13	0	0	224	0	0	2	0	0	3	9	0	0	0	0	0	0	8	0	0	0	0	173	414	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	9	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	85	"AWI"	85	4938	6660	5895	1	1	26	0	6	0	6	0	142	0	0	0	0	0	0	0	0	0	10	0	0	78	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	233	400	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	5	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	90	"AWI"	90	5158	6866	6224	2	0	21	0	9	0	8	0	206	0	0	0	0	0	0	0	0	0	9	0	0	50	0	0	0	0	0	1	1	0	0	0	0	0	0	5	1	0	0	0	210	392	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	95	"AWI"	95	5876	6945	6506	2	0	13	1	1	0	10	0	181	0	0	0	0	0	0	0	0	0	8	0	0	40	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	0	0	7	6	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	100	"AWI"	100	6362	7127	6811	2	0	12	0	7	0	8	0	141	0	0	0	0	0	0	0	0	0	7	0	0	60	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	154	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	3	0	1	9	4	2	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	105	"AWI"	105	6522	7265	6952	1	1	15	0	1	0	7	0	236	0	0	0	0	0	0	0	0	0	23	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	210	368	0	0	0	0	0	18	0	0	0	2	0	1	0	0	0	0	0	0	1	4	2	0	0	0
