"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Ligustrum"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
26066	45219	"Malham Tarn"	54.09639	-2.16361	2	"AWI"	2	-86	161	3	3	2	2	0	0	0	13	0	1	0	0	0	19	0	5	0	0	0	0	2	3	0	0	1	0	0	0	0	0	16	0	155	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	10	"AWI"	10	15	519	224	9	0	0	0	0	0	12	0	1	0	0	0	7	0	47	0	0	0	1	3	4	0	0	0	1	0	0	0	0	13	0	147	0	0	17	0	0	1	0	2	0	0	0	0	0	0	0	8	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	18	"AWI"	18	193	682	458	3	0	3	1	1	0	6	1	0	0	0	0	18	0	91	0	0	0	0	1	10	0	31	0	1	0	0	0	0	4	0	126	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	26	"AWI"	26	460	839	694	14	1	1	0	1	0	10	1	0	0	0	0	31	0	101	0	0	0	1	1	3	0	0	0	1	0	0	0	1	3	0	122	0	0	18	0	0	0	11	0	0	0	0	0	0	0	0	1	8	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	34	"AWI"	34	791	984	885	39	0	2	0	1	0	26	0	0	2	0	0	66	0	66	0	0	0	0	1	5	0	0	0	0	0	0	2	0	1	0	62	0	0	39	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	42	"AWI"	42	894	1179	1040	45	0	0	0	2	0	47	0	0	1	0	0	51	1	65	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	88	0	0	21	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	50	"AWI"	50	1030	1306	1206	35	1	0	0	2	0	20	1	0	2	0	0	62	0	57	0	1	0	0	3	4	1	0	0	0	0	0	2	0	0	0	0	0	0	39	0	0	1	12	3	1	0	0	0	1	0	0	1	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	58	"AWI"	58	1277	1437	1347	57	0	1	0	0	0	36	0	0	3	0	0	94	0	64	0	0	0	0	3	3	0	17	0	0	0	0	1	0	2	0	64	0	0	23	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	66	"AWI"	66	1362	1719	1496	44	0	0	0	1	0	30	0	0	0	0	0	58	0	134	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	27	0	0	1	5	3	0	0	0	0	0	0	0	3	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	74	"AWI"	74	1460	1908	1668	20	2	0	0	3	0	9	1	0	0	0	0	48	0	142	0	0	0	0	0	4	0	12	0	0	0	0	0	0	1	0	0	0	0	16	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
