"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Melanthiaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	10	"AWI"	10	2920	5438	4632	7	0	19	0	0	0	4	0	0	0	5	0	0	0	0	3	199	0	0	0	0	1	0	0	0	0	0	5	3	0	105	126	0	0	0	0	1	8	0	1	0	0	6	0	0	1	0	0	2
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	20	"AWI"	20	3565	5495	4784	19	1	15	1	0	0	5	0	3	2	6	0	0	0	0	2	188	0	0	0	0	1	0	0	0	0	2	3	2	0	95	157	0	0	1	1	1	4	0	0	0	1	3	1	0	1	0	0	3
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	30	"AWI"	30	4111	5575	4948	47	1	0	0	0	0	11	0	6	1	5	2	0	0	0	2	422	0	0	0	0	2	0	0	0	0	0	3	7	0	93	464	0	0	0	0	6	19	0	1	0	0	3	1	0	1	0	1	1
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	40	"AWI"	40	4470	5694	5135	40	1	17	1	1	0	7	0	2	0	8	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	1	5	0	82	362	0	0	0	0	2	6	0	0	0	0	4	2	0	2	0	0	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	50	"AWI"	50	4801	5786	5317	17	0	0	0	1	0	2	0	6	0	4	0	0	0	0	7	518	0	0	0	0	0	0	0	0	0	0	0	2	0	9	288	0	0	0	0	4	2	0	0	0	0	1	1	0	0	0	6	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	60	"AWI"	60	5130	5855	5494	11	0	0	0	0	0	1	0	7	0	3	0	0	0	0	1	350	0	0	0	0	0	0	0	0	0	0	0	2	0	15	189	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	70	"AWI"	70	5409	5960	5679	11	0	0	1	0	0	5	0	4	0	0	0	0	0	0	1	371	0	0	0	0	0	0	0	0	0	0	0	1	0	13	177	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	80	"AWI"	80	5563	6144	5867	18	0	6	0	0	0	2	0	12	0	0	0	0	0	0	10	761	0	0	0	0	0	0	0	0	1	0	0	7	0	6	343	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	10	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	90	"AWI"	90	5792	6360	6085	10	1	0	0	0	0	0	0	5	0	2	0	0	0	0	5	873	0	0	0	0	0	0	0	0	0	0	1	2	0	18	198	0	0	1	0	2	2	0	1	0	1	0	1	0	2	0	1	0
14562	22831	"Mont Carré Hérémence"	46.15389	7.36861	100	"AWI"	100	5979	6654	6339	4	0	0	0	0	0	1	0	9	0	0	0	0	0	0	5	260	0	0	0	0	0	0	1	0	1	0	3	1	0	4	337	0	0	0	0	4	5	0	0	0	0	2	2	0	0	0	6	0
