"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24188	42563	"Altar Lough"	55.018552	-8.388922	260	"AWI"	260	-133	31	-52	0	22	0	0	0	1	0	51	1	0	0	0	0	118	3	0	41	80	0	9	0	3	3	14	2	0	0	38	0	0	0	0	0	35	0	0	0	2	5	0	1	0	4	0	0	7	1
24188	42563	"Altar Lough"	55.018552	-8.388922	268	"AWI"	268	-66	448	91	0	39	0	0	0	2	0	45	0	0	0	0	0	103	0	0	62	0	0	15	1	0	1	27	5	0	0	35	0	0	0	0	0	31	0	0	0	1	4	0	0	0	1	0	0	4	3
24188	42563	"Altar Lough"	55.018552	-8.388922	276	"AWI"	276	14	717	263	0	35	0	1	0	0	0	43	0	0	0	1	0	89	0	0	69	0	0	19	0	0	0	29	2	0	0	28	0	0	0	0	0	26	0	0	0	0	4	0	0	0	0	0	0	4	2
24188	42563	"Altar Lough"	55.018552	-8.388922	284	"AWI"	284	107	960	429	0	29	0	0	1	2	2	39	0	0	0	0	0	73	0	0	64	0	1	3	0	0	1	21	8	0	0	32	0	0	0	0	0	19	0	9	0	2	5	0	1	0	1	0	0	6	4
24188	42563	"Altar Lough"	55.018552	-8.388922	292	"AWI"	292	208	1171	606	0	29	0	0	0	2	0	25	0	0	0	0	0	100	0	0	74	82	0	7	1	0	0	20	8	0	2	50	0	0	0	0	0	29	1	0	0	3	4	0	0	1	0	0	0	6	1
24188	42563	"Altar Lough"	55.018552	-8.388922	300	"AWI"	300	305	1370	783	0	26	0	0	0	3	0	23	0	0	0	0	0	91	0	0	66	0	0	9	0	0	2	19	9	0	0	54	0	92	0	0	0	18	1	0	0	2	1	0	0	0	1	0	0	5	1
24188	42563	"Altar Lough"	55.018552	-8.388922	308	"AWI"	308	445	1528	960	0	19	0	0	0	0	0	42	2	0	0	0	0	78	0	0	44	0	0	8	0	1	6	10	8	0	0	76	0	0	0	0	0	30	0	0	0	2	2	0	0	0	12	0	0	4	0
24188	42563	"Altar Lough"	55.018552	-8.388922	316	"AWI"	316	589	1685	1130	0	32	0	0	0	1	0	23	0	0	0	0	0	110	0	0	55	0	0	9	0	0	0	10	11	0	0	41	0	0	0	0	0	33	0	9	0	2	5	0	0	1	5	0	0	8	1
24188	42563	"Altar Lough"	55.018552	-8.388922	324	"AWI"	324	732	1854	1304	0	49	0	0	0	0	0	25	2	0	0	0	0	98	1	0	54	93	0	9	0	0	0	15	18	0	0	0	0	0	0	0	0	34	0	0	0	0	1	0	0	0	3	0	0	6	0
24188	42563	"Altar Lough"	55.018552	-8.388922	332	"AWI"	332	897	2005	1472	0	50	0	0	0	0	0	33	0	0	0	0	0	73	0	0	50	0	1	11	0	0	1	14	20	0	0	26	0	64	0	0	0	49	0	0	0	2	5	0	0	0	3	1	0	7	0
24188	42563	"Altar Lough"	55.018552	-8.388922	340	"AWI"	340	1055	2145	1640	0	42	0	0	0	3	0	27	0	0	0	0	0	73	0	0	52	102	2	3	0	0	0	7	16	0	0	15	0	0	2	0	0	33	0	0	0	0	3	0	0	0	2	0	0	10	2
24188	42563	"Altar Lough"	55.018552	-8.388922	348	"AWI"	348	1256	2269	1814	0	28	1	0	0	0	0	50	1	0	0	0	0	107	0	0	45	0	0	7	0	0	1	5	23	0	0	0	0	0	0	0	0	31	0	0	0	1	3	0	0	0	2	0	0	8	1
24188	42563	"Altar Lough"	55.018552	-8.388922	356	"AWI"	356	1467	2386	1984	0	36	0	0	0	2	0	38	0	0	0	0	0	103	0	0	44	0	2	7	0	1	0	7	16	0	0	0	0	0	0	0	0	33	0	7	0	1	9	0	0	0	0	0	0	3	2
24188	42563	"Altar Lough"	55.018552	-8.388922	364	"AWI"	364	1689	2513	2152	1	29	0	0	0	1	0	25	1	0	0	0	0	89	1	1	60	0	2	4	0	0	2	13	19	0	0	33	0	86	0	0	0	41	0	0	0	0	5	0	0	0	3	0	0	7	0
24188	42563	"Altar Lough"	55.018552	-8.388922	372	"AWI"	372	1929	2626	2316	0	31	0	0	0	0	0	26	0	0	0	0	0	85	0	0	51	0	1	4	0	1	1	5	24	0	0	0	0	0	0	0	0	52	1	7	1	2	4	0	0	1	4	0	0	5	0
24188	42563	"Altar Lough"	55.018552	-8.388922	380	"AWI"	380	2200	2705	2463	0	55	0	0	0	1	0	32	0	0	0	0	0	81	0	0	43	0	1	4	0	0	0	0	7	0	0	44	0	0	0	0	0	74	0	0	0	2	4	0	0	0	2	0	0	15	1
24188	42563	"Altar Lough"	55.018552	-8.388922	388	"AWI"	388	2350	3090	2661	0	46	0	0	1	0	0	32	0	0	0	0	0	88	0	0	45	0	0	11	1	0	0	0	12	0	0	90	0	85	0	1	1	56	0	0	1	0	4	1	0	0	6	0	0	10	3
24188	42563	"Altar Lough"	55.018552	-8.388922	396	"AWI"	396	2464	3384	2855	0	54	0	0	0	1	0	43	1	0	0	0	0	69	0	0	20	63	2	11	0	0	4	0	27	0	0	57	0	0	0	0	0	51	0	0	0	1	4	0	0	0	4	0	0	7	0
24188	42563	"Altar Lough"	55.018552	-8.388922	404	"AWI"	404	2596	3651	3047	0	39	1	0	0	0	0	23	0	0	0	0	0	76	1	0	42	0	1	10	0	1	3	1	12	0	0	70	0	0	0	0	0	74	0	0	0	1	2	0	1	0	6	0	0	8	6
24188	42563	"Altar Lough"	55.018552	-8.388922	412	"AWI"	412	2724	3894	3234	0	32	0	0	0	1	0	34	0	0	0	0	0	96	1	0	40	0	2	5	0	0	2	0	9	0	0	86	0	0	0	0	0	59	0	0	0	1	4	0	0	0	4	0	0	8	2
24188	42563	"Altar Lough"	55.018552	-8.388922	420	"AWI"	420	2849	4137	3429	0	49	0	0	1	0	0	26	0	0	0	0	0	82	0	0	31	0	0	8	1	0	3	0	14	0	0	95	0	0	0	0	0	55	0	4	0	0	0	0	0	0	1	0	0	12	0
24188	42563	"Altar Lough"	55.018552	-8.388922	428	"AWI"	428	3007	4317	3634	0	48	0	0	0	0	0	50	0	0	0	0	0	92	0	0	37	0	0	5	0	0	2	1	15	0	0	84	0	0	0	0	0	72	0	0	0	0	7	0	0	0	8	0	0	5	1
24188	42563	"Altar Lough"	55.018552	-8.388922	436	"AWI"	436	3171	4484	3826	0	24	0	0	0	1	0	52	0	0	0	0	0	30	0	0	3	0	0	1	0	0	0	0	1	0	0	224	0	0	0	0	0	21	0	0	0	0	3	0	0	0	0	0	0	3	0
24188	42563	"Altar Lough"	55.018552	-8.388922	444	"AWI"	444	3347	4666	4013	0	33	0	0	0	0	0	34	0	0	0	0	0	93	0	0	32	0	0	8	0	0	1	15	24	0	0	0	0	0	0	0	0	36	0	0	0	0	4	0	0	0	0	0	0	10	2
24188	42563	"Altar Lough"	55.018552	-8.388922	452	"AWI"	452	3519	4824	4207	0	36	0	0	0	1	0	35	0	0	0	0	0	94	1	0	25	0	1	1	0	0	1	0	7	0	0	86	0	0	0	0	0	73	0	0	0	0	1	0	0	1	7	0	0	4	1
24188	42563	"Altar Lough"	55.018552	-8.388922	460	"AWI"	460	3672	4989	4402	0	61	0	0	1	0	0	52	0	0	0	0	0	122	0	0	22	70	0	6	0	0	2	0	5	0	0	65	0	0	0	0	0	77	0	5	0	1	3	0	0	1	2	0	0	16	0
24188	42563	"Altar Lough"	55.018552	-8.388922	468	"AWI"	468	3901	5122	4591	0	65	0	0	0	2	0	34	1	0	0	0	0	93	0	0	38	80	0	5	0	3	2	0	9	0	0	63	0	0	0	0	0	63	1	0	0	2	2	0	0	1	5	0	0	13	1
24188	42563	"Altar Lough"	55.018552	-8.388922	476	"AWI"	476	4115	5262	4772	0	53	0	0	0	3	0	34	1	0	0	0	0	105	0	0	26	0	0	6	0	0	1	0	1	0	0	97	0	0	0	0	0	65	0	0	0	1	4	0	0	0	7	0	0	16	0
24188	42563	"Altar Lough"	55.018552	-8.388922	484	"AWI"	484	4355	5396	4961	0	48	1	0	0	2	0	30	1	0	0	0	0	111	0	0	21	0	1	9	0	0	3	0	3	0	0	95	0	0	0	0	0	78	0	0	0	1	4	0	0	0	2	0	1	12	1
24188	42563	"Altar Lough"	55.018552	-8.388922	492	"AWI"	492	4615	5529	5154	0	40	0	0	1	0	0	40	1	0	0	0	0	101	0	0	20	0	0	11	1	0	2	1	0	0	0	111	0	0	0	0	0	62	1	0	0	1	2	0	0	0	9	0	0	11	0
24188	42563	"Altar Lough"	55.018552	-8.388922	500	"AWI"	500	4890	5654	5354	0	41	0	0	2	1	0	51	0	0	0	0	0	106	0	0	9	0	0	1	0	3	17	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	3	0	0	0	0	0	0	17	4
24188	42563	"Altar Lough"	55.018552	-8.388922	508	"AWI"	508	5295	5767	5520	0	54	0	0	1	0	0	28	0	0	0	0	0	154	0	0	24	0	1	2	0	0	0	0	0	0	0	54	0	0	0	0	0	59	0	0	0	0	3	0	0	0	0	0	0	20	0
24188	42563	"Altar Lough"	55.018552	-8.388922	516	"AWI"	516	5397	6004	5684	0	61	0	0	0	0	0	43	1	0	1	0	0	114	1	0	43	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	7	0	0	0	4	0	0	12	5
24188	42563	"Altar Lough"	55.018552	-8.388922	524	"AWI"	524	5500	6282	5847	0	49	0	0	0	1	0	33	0	0	0	0	0	113	1	0	44	0	1	0	1	0	1	2	7	0	0	0	0	0	0	0	0	77	0	0	0	0	2	0	0	0	2	0	0	28	2
24188	42563	"Altar Lough"	55.018552	-8.388922	532	"AWI"	532	5614	6526	6017	0	56	0	0	0	2	0	31	1	0	0	0	0	119	0	0	33	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	58	0	0	0	1	7	0	0	1	1	0	0	32	2
24188	42563	"Altar Lough"	55.018552	-8.388922	540	"AWI"	540	5731	6712	6194	0	63	0	1	0	0	2	45	0	0	0	0	0	106	0	0	37	0	0	3	0	0	0	0	0	0	0	44	0	0	0	0	0	74	0	0	0	2	7	0	0	0	0	0	0	37	0
24188	42563	"Altar Lough"	55.018552	-8.388922	548	"AWI"	548	5889	6860	6365	0	43	0	0	0	0	0	35	1	0	0	0	0	150	2	0	18	50	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	68	0	0	0	0	12	0	0	0	1	0	0	36	1
24188	42563	"Altar Lough"	55.018552	-8.388922	556	"AWI"	556	6050	7000	6539	0	26	1	0	0	0	0	47	2	0	1	0	0	130	0	0	25	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	51	0	0	0	0	4	1	0	0	2	0	0	18	0
24188	42563	"Altar Lough"	55.018552	-8.388922	564	"AWI"	564	6224	7136	6707	0	17	0	2	0	3	0	32	0	0	0	0	0	165	0	0	48	0	0	0	0	1	2	0	11	0	0	0	0	0	0	0	0	55	0	0	0	2	7	0	0	0	0	0	0	35	0
24188	42563	"Altar Lough"	55.018552	-8.388922	572	"AWI"	572	6390	7283	6880	0	6	0	0	0	0	0	24	1	0	0	0	0	109	0	0	22	0	1	0	0	0	3	0	13	0	0	0	0	0	0	0	0	27	0	7	0	0	8	0	0	0	1	0	0	18	0
24188	42563	"Altar Lough"	55.018552	-8.388922	580	"AWI"	580	6574	7418	7054	0	22	0	0	0	0	0	31	0	0	0	0	0	156	0	0	24	66	0	1	0	2	2	0	14	0	0	0	0	0	0	0	0	60	0	0	0	0	9	0	0	1	0	0	0	26	1
24188	42563	"Altar Lough"	55.018552	-8.388922	588	"AWI"	588	6849	7509	7213	0	9	0	0	0	0	0	38	2	0	0	0	0	208	0	0	31	0	2	1	0	0	1	1	1	0	0	48	0	0	0	0	0	29	0	0	0	3	6	0	0	0	0	0	0	24	1
24188	42563	"Altar Lough"	55.018552	-8.388922	596	"AWI"	596	7074	7645	7388	0	8	0	0	0	1	0	42	0	0	0	0	0	183	0	0	19	0	3	0	0	3	1	0	3	0	0	0	0	0	0	0	0	36	2	0	0	1	6	0	0	0	1	0	0	31	0
24188	42563	"Altar Lough"	55.018552	-8.388922	604	"AWI"	604	7231	7933	7570	0	4	0	0	1	0	0	37	0	0	0	0	0	168	0	0	23	72	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	36	0	4	0	0	5	0	0	0	0	1	1	24	2
24188	42563	"Altar Lough"	55.018552	-8.388922	612	"AWI"	612	7349	8325	7745	0	2	0	0	1	0	0	42	1	0	0	0	0	181	0	0	21	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	32	0	0	0	0	6	0	0	0	1	0	0	24	0
24188	42563	"Altar Lough"	55.018552	-8.388922	620	"AWI"	620	7456	8631	7930	0	5	0	0	0	0	0	47	0	0	0	0	0	184	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	9	0	0	0	0	0	0	36	0
24188	42563	"Altar Lough"	55.018552	-8.388922	628	"AWI"	628	7603	8863	8127	0	0	0	0	0	0	0	23	0	0	0	0	0	212	0	0	16	84	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	1	7	0	0	2	0	0	0	25	0
24188	42563	"Altar Lough"	55.018552	-8.388922	636	"AWI"	636	7741	9105	8322	0	1	0	0	0	0	0	39	1	0	1	0	0	164	0	0	17	0	2	0	0	0	2	1	0	0	0	55	0	0	0	0	0	40	0	3	0	1	6	0	0	0	0	1	1	23	0
24188	42563	"Altar Lough"	55.018552	-8.388922	644	"AWI"	644	7892	9361	8516	0	2	0	0	0	1	0	45	0	0	0	0	0	177	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	5	0	0	0	1	0	0	28	0
24188	42563	"Altar Lough"	55.018552	-8.388922	652	"AWI"	652	8038	9613	8710	0	4	0	0	1	0	0	61	0	0	0	0	0	121	0	0	19	0	1	2	0	0	2	2	2	0	0	47	0	0	0	0	0	28	0	0	0	0	5	0	0	0	0	0	0	33	0
24188	42563	"Altar Lough"	55.018552	-8.388922	660	"AWI"	660	8177	9831	8915	0	2	0	0	0	0	0	59	1	0	0	0	0	158	0	0	31	63	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	15	0	0	0	2	0	0	47	0
24188	42563	"Altar Lough"	55.018552	-8.388922	668	"AWI"	668	8355	10043	9111	0	0	0	0	0	0	0	40	3	0	0	0	0	162	0	0	39	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	28	0	5	0	0	15	0	0	0	0	1	0	34	0
24188	42563	"Altar Lough"	55.018552	-8.388922	676	"AWI"	676	8548	10270	9304	0	0	2	0	0	2	0	45	1	0	0	0	0	224	0	0	21	47	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	41	0	5	0	1	8	0	0	0	2	0	0	40	0
24188	42563	"Altar Lough"	55.018552	-8.388922	684	"AWI"	684	8731	10493	9498	0	0	0	0	1	0	0	61	1	0	0	0	0	181	0	0	27	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	2	3	0	1	12	0	0	1	0	0	0	34	0
24188	42563	"Altar Lough"	55.018552	-8.388922	692	"AWI"	692	8926	10716	9689	0	0	0	0	0	1	0	57	0	0	0	0	0	206	3	0	15	0	0	0	0	0	6	0	0	0	0	23	0	0	0	0	0	26	0	0	0	2	12	0	0	0	0	0	0	32	0
24188	42563	"Altar Lough"	55.018552	-8.388922	700	"AWI"	700	9106	10950	9873	0	1	0	0	0	0	0	73	1	0	0	0	0	238	0	0	22	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	0	0	0	1	13	0	0	1	0	0	0	35	0
24188	42563	"Altar Lough"	55.018552	-8.388922	704	"AWI"	704	9237	11056	9965	0	0	0	0	1	1	0	70	0	0	0	0	0	237	0	0	20	32	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	22	0	0	0	1	17	0	0	0	1	0	0	32	1
24188	42563	"Altar Lough"	55.018552	-8.388922	708	"AWI"	708	9329	11185	10059	0	0	0	0	1	0	0	54	0	0	0	0	0	277	0	0	11	44	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1	11	0	0	0	0	0	0	22	0
24188	42563	"Altar Lough"	55.018552	-8.388922	712	"AWI"	712	9455	11305	10149	0	0	0	0	1	1	0	65	1	0	0	0	0	269	0	0	22	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	0	0	0	2	15	0	0	0	0	0	0	39	0
24188	42563	"Altar Lough"	55.018552	-8.388922	716	"AWI"	716	9582	11413	10238	0	0	0	0	0	1	0	60	2	0	0	0	0	256	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	5	0	0	1	0	0	0	39	0
24188	42563	"Altar Lough"	55.018552	-8.388922	720	"AWI"	720	9672	11536	10334	0	0	0	0	0	1	0	67	0	0	0	0	0	290	0	0	25	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	21	0	0	0	2	13	0	0	0	0	0	0	35	0
24188	42563	"Altar Lough"	55.018552	-8.388922	724	"AWI"	724	9835	11619	10415	0	0	0	0	0	0	0	67	0	0	0	0	0	333	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	5	18	0	0	0	1	0	0	5	0
24188	42563	"Altar Lough"	55.018552	-8.388922	728	"AWI"	728	9964	11734	10499	0	0	1	0	0	1	0	191	0	0	0	0	0	27	0	0	30	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	50	0	0	0	0	0	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	734	"AWI"	734	10238	11934	10756	0	0	1	0	0	2	0	134	0	0	0	0	0	0	0	0	24	49	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	45	0	0	0	0	0	0	0	1
24188	42563	"Altar Lough"	55.018552	-8.388922	738	"AWI"	738	10335	12139	11011	0	0	0	0	0	1	0	104	1	0	0	0	0	0	0	0	25	44	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	3	0	0	1	7	48	0	0	1	0	0	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	742	"AWI"	742	10513	12380	11253	0	0	0	0	0	0	0	67	0	0	0	0	0	0	2	0	13	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0	0	1
24188	42563	"Altar Lough"	55.018552	-8.388922	746	"AWI"	746	10660	12561	11558	0	0	0	0	0	5	0	26	0	0	0	0	1	0	1	0	47	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	7	0	0	0	0	4	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	748	"AWI"	748	10710	12701	11707	0	0	3	0	0	14	0	17	5	0	0	0	0	0	6	0	71	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	2	0	0	26	24	3	0	0	0	1	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	750	"AWI"	750	10757	12887	11848	0	0	1	1	0	17	3	15	1	0	0	1	0	0	5	0	64	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	2	26	16	2	0	0	0	5	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	752	"AWI"	752	10976	12934	11992	0	0	0	2	0	7	3	7	0	0	0	2	0	0	3	0	63	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	1	0	2	16	14	0	0	0	0	5	0	0	0
24188	42563	"Altar Lough"	55.018552	-8.388922	754	"AWI"	754	11113	12992	12140	0	0	0	2	0	3	4	8	1	0	0	1	0	0	0	0	131	0	0	0	0	0	87	0	0	1	0	0	0	0	0	0	0	0	0	0	1	21	4	1	0	0	0	4	0	0	0
