"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23847	41335	"Hares Down"	50.97806	-3.64389	0	"AWI"	0	-129	32	-48	0	0.53475935828877	9.62566844919786	1.06951871657754	0	0	0	0	4.81283422459893	0	1.60427807486631	0	0	0	0	10.6951871657754	0	17.1122994652406	0	0	0	8.02139037433155	5.3475935828877	0	0	0	0	0	0	0	0	0	0	0	11.7647058823529	0	0	0	0	0	25.1336898395722	0.53475935828877	0	0	0	2.13903743315508	1.06951871657754	0	0	0.53475935828877	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	4	"AWI"	4	-80	150	22	1.73410404624277	0	7.51445086705202	0	0	0	0	0	2.3121387283237	0	1.73410404624277	0	0	0	0	3.46820809248555	0	27.7456647398844	1.73410404624277	0	0	5.20231213872832	17.3410404624277	0	0	0	0	0	0	0	0	0	0	0	18.4971098265896	0	0	0	0	0	8.09248554913295	1.15606936416185	0	0	0	1.15606936416185	0.578034682080925	0	0.578034682080925	0	0	1.15606936416185
23847	41335	"Hares Down"	50.97806	-3.64389	8	"AWI"	8	-58	316	86	0	1.48148148148148	5.18518518518519	0	0.740740740740741	0.740740740740741	0.740740740740741	0	6.66666666666667	0	0	0	0	0	0	4.44444444444444	0	25.1851851851852	2.22222222222222	0	0	6.66666666666667	2.96296296296296	0	0	0	0	0	0	0	0	0	0	0	16.2962962962963	0	0	0	0	0	21.4814814814815	1.48148148148148	0	0	0	0.740740740740741	0	0	0.740740740740741	0	0	2.22222222222222
23847	41335	"Hares Down"	50.97806	-3.64389	12	"AWI"	12	-8	421	158	0	0	4.08163265306122	1.02040816326531	0	0	0	0	3.06122448979592	0	0	0	0	0	2.04081632653061	7.14285714285714	0	16.3265306122449	0	0	0	13.265306122449	11.2244897959184	0	0	0	0	0	0	0	0	1.02040816326531	1.02040816326531	0	15.3061224489796	0	0	0	0	0	15.3061224489796	1.02040816326531	0	0	6.12244897959184	1.02040816326531	0	0	0	0	1.02040816326531	0
23847	41335	"Hares Down"	50.97806	-3.64389	16	"AWI"	16	40	472	242	0	0	2.54237288135593	0.847457627118644	0	0	0	0	4.23728813559322	0	1.69491525423729	0	0	0	0	5.93220338983051	0	29.6610169491525	6.77966101694915	0	0	12.7118644067797	1.69491525423729	0	0	0	0	0	0	0	0	0	0	0	10.1694915254237	0	0	0	0	0	18.6440677966102	1.69491525423729	0	0	0	0	0	0	0	0	1.69491525423729	1.69491525423729
23847	41335	"Hares Down"	50.97806	-3.64389	20	"AWI"	20	67	566	323	0	0	1.49892933618844	0	0	0.214132762312634	0	0	0.856531049250535	0	0.214132762312634	0	0	0	0	1.2847965738758	0.214132762312634	13.9186295503212	11.3490364025696	0	0	1.9271948608137	0.214132762312634	0	0	0	0.214132762312634	0	0	0	0	0	0	0	2.78372591006424	0	59.9571734475375	0	0	0	3.21199143468951	0.856531049250535	0	0.428265524625268	0	0.428265524625268	0.214132762312634	0	0	0	0.214132762312634	0
23847	41335	"Hares Down"	50.97806	-3.64389	24	"AWI"	24	190	593	400	0	0	2.35042735042735	0	0	0.213675213675214	0	0	0.213675213675214	0.213675213675214	0	0	0	0	0	1.4957264957265	0	29.9145299145299	20.5128205128205	0	0	0.641025641025641	0	0	0	0.213675213675214	0.213675213675214	0	0	0	0	0.427350427350427	0.213675213675214	0.427350427350427	1.92307692307692	0	34.6153846153846	0.213675213675214	0	0	4.7008547008547	1.06837606837607	0	0	0	0.213675213675214	0.213675213675214	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	28	"AWI"	28	278	632	479	0	0	1.88679245283019	0.943396226415094	0.943396226415094	0	0	0	1.88679245283019	0	0	0	0	0	0	0.943396226415094	0	48.1132075471698	0	0	0	7.54716981132075	1.88679245283019	0	0	0	0	0	0	0	0	0.943396226415094	0	0	10.377358490566	0	0	0	0	0	14.1509433962264	6.60377358490566	0	0.943396226415094	0	0.943396226415094	0	0	0	0	1.88679245283019	0
23847	41335	"Hares Down"	50.97806	-3.64389	32	"AWI"	32	345	698	551	0	0	1.87793427230047	0.469483568075117	0	0.234741784037559	0.469483568075117	0	0.469483568075117	0	0	0	0	0	0	2.8169014084507	0	45.0704225352113	0	0	0	0.704225352112676	0.234741784037559	0	0	0	0	0	0	0	0	0	0	1.40845070422535	0	0	40.6103286384976	0	0	0	3.05164319248826	2.11267605633803	0	0.234741784037559	0	0	0.234741784037559	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	36	"AWI"	36	387	793	619	0	0	0.840336134453782	1.12044817927171	0.280112044817927	0	0	0	0	0	1.12044817927171	0	0	0	2.24089635854342	1.40056022408964	0	35.0140056022409	0	0	0	2.52100840336134	0	0.280112044817927	0.280112044817927	0	0	0	0	0	0	0	0.280112044817927	0.280112044817927	1.40056022408964	0	44.5378151260504	0	0	0	6.1624649859944	2.24089635854342	0	0	0	0	0	0	0	0	0	0
