"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24186	42555	"Großvillars Alter See"	49.042312	8.758684	120	"AWI"	120	611	1219	916	2	1	4	0	0	0	0	0	5	0	3	0	0	1	5	163	0	2	0	4	0	1	0	14	0	11	0	0	0	0	6	0	4	11	0	0	0	0	33	0	0	0	0	1	0	0	0	0	0	0	2	1	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	130	"AWI"	130	688	1289	999	2	2	1	1	0	0	1	0	1	0	0	0	0	0	0	96	0	1	0	2	0	6	0	5	0	1	0	0	0	0	2	0	3	8	0	0	0	0	24	0	0	1	0	1	0	0	0	0	0	0	4	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	140	"AWI"	140	781	1359	1082	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	251	0	1	0	2	0	0	0	10	0	1	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	1	0	1	0	0	0	0	0	0	0	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	150	"AWI"	150	869	1427	1164	6	0	0	2	0	0	2	0	12	1	0	0	0	0	10	471	0	0	0	13	0	12	0	44	0	7	0	0	0	0	0	0	4	22	0	0	0	0	58	0	0	1	0	5	0	0	1	1	0	0	3	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	160	"AWI"	160	961	1497	1248	4	1	2	1	0	0	1	0	9	0	1	0	0	0	6	280	0	0	0	5	0	6	0	10	3	10	0	0	0	0	4	0	2	16	0	0	0	0	38	0	0	1	0	5	0	0	0	0	0	0	2	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	170	"AWI"	170	1053	1555	1331	3	0	6	0	0	0	0	0	9	1	0	0	0	1	4	132	0	0	0	1	0	3	0	13	0	4	0	0	0	0	3	0	1	9	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	1	0	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	180	"AWI"	180	1158	1614	1412	3	1	12	1	0	0	1	0	3	0	0	0	0	0	4	144	0	0	0	2	0	1	1	45	0	9	0	0	0	0	1	0	5	63	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	3	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	190	"AWI"	190	1265	1667	1492	11	0	8	1	0	0	0	0	0	0	0	0	0	0	12	109	0	1	0	2	0	6	0	34	0	5	0	0	0	0	0	0	1	79	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	200	"AWI"	200	1375	1721	1573	4	0	240	4	0	0	4	0	17	0	0	0	0	0	41	36	0	1	0	10	1	7	0	62	0	0	0	0	0	0	4	0	2	457	0	0	0	0	22	0	0	1	0	2	6	0	0	0	0	1	6	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	210	"AWI"	210	1543	1800	1654	0	0	98	1	0	0	3	0	7	0	0	0	0	0	11	10	0	0	0	1	0	2	0	19	0	2	0	0	0	0	0	0	1	184	0	0	0	0	4	0	0	0	0	3	0	0	0	1	0	3	12	0	1
24186	42555	"Großvillars Alter See"	49.042312	8.758684	220	"AWI"	220	1603	1975	1762	1	2	40	6	0	0	1	0	3	1	0	0	0	0	20	1	0	0	0	0	0	3	0	27	0	1	0	0	0	0	0	0	2	164	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	10	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	230	"AWI"	230	1703	2104	1890	0	0	14	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	240	"AWI"	240	1870	2258	2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	250	"AWI"	250	1989	2512	2237	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24186	42555	"Großvillars Alter See"	49.042312	8.758684	260	"AWI"	260	2339	2677	2436	0	0	2	1	1	0	1	0	4	0	0	0	0	0	1	1	2	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0
