"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	1	"AWI"	1	-150	6	-63	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	2	0	0	2	416	0	0	0	1	0	3	1	2	0	0	0	2	2	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	4	"AWI"	4	-126	35	-42	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	26	0	0	0	0	1	1	0	1	0	0	0	0	0	419	0	0	0	0	0	2	3	0	0	0	0	1	0	0	1	2	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	8	"AWI"	8	-109	89	-17	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	10	0	31	0	0	0	0	0	2	1	0	0	0	0	1	3	385	0	0	0	0	0	3	2	0	0	0	3	2	0	0	0	0	2	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	12	"AWI"	12	-90	143	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	407	0	0	0	0	0	5	4	2	0	0	1	3	0	0	0	1	1	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	16	"AWI"	16	-69	171	37	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	26	0	0	0	0	0	1	1	0	0	1	0	0	0	355	0	0	0	0	0	5	0	2	0	0	1	0	1	0	0	3	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	20	"AWI"	20	-54	213	64	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	21	0	0	0	0	0	1	1	0	0	2	0	0	3	346	0	0	0	0	0	4	2	0	0	0	1	1	0	0	0	1	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	26	"AWI"	26	-21	250	108	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	1	0	1	374	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	32	"AWI"	32	10	299	153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0	0	6	420	0	0	0	2	1	3	1	0	0	0	0	1	1	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	36	"AWI"	36	40	317	185	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	26	0	0	0	0	1	2	0	0	0	4	0	0	1	316	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	40	"AWI"	40	64	345	217	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	11	0	27	0	0	0	0	0	0	0	0	0	1	0	1	2	385	0	0	0	0	0	4	2	2	0	0	0	1	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	44	"AWI"	44	101	365	247	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	20	0	0	0	0	1	0	0	0	0	1	0	0	1	444	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	50	"AWI"	50	142	394	294	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	2	0	0	1	401	0	0	0	0	0	8	1	0	0	0	0	2	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	56	"AWI"	56	222	420	338	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	55	0	0	0	0	1	1	0	0	0	1	0	0	0	344	0	0	0	0	0	8	2	1	0	0	1	5	0	0	0	1	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	62	"AWI"	62	292	468	400	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	20	0	0	0	0	0	4	0	0	0	0	0	0	1	353	0	0	1	0	0	5	1	1	1	0	1	2	1	0	0	0	1	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	64	"AWI"	64	326	537	442	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	26	0	0	0	0	1	2	0	0	0	1	0	0	2	406	0	0	0	0	0	4	1	0	0	0	1	2	0	0	0	1	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	68	"AWI"	68	368	795	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	17	0	0	0	0	1	0	0	0	0	0	0	0	0	378	0	0	0	2	0	8	1	2	0	0	1	1	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	72	"AWI"	72	424	1031	614	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	16	0	16	0	0	0	0	1	2	0	0	0	4	0	0	1	342	0	0	0	1	0	3	1	1	0	0	1	1	1	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	76	"AWI"	76	498	1159	784	0	0	0	0	3	1	0	1	0	0	2	0	0	0	0	15	0	14	0	0	0	0	1	4	0	0	0	0	0	0	0	372	0	0	0	0	0	8	0	1	0	0	0	3	3	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	80	"AWI"	80	547	1385	932	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	11	0	0	0	0	1	4	0	0	0	0	1	0	0	338	0	0	0	0	0	15	0	1	0	0	1	2	0	0	0	2	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	84	"AWI"	84	673	1501	1084	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	10	2	8	0	0	0	0	2	5	0	0	0	0	0	0	0	394	0	0	0	0	0	9	0	4	0	0	0	2	5	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	86	"AWI"	86	718	1539	1167	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	6	0	14	0	0	1	1	1	0	0	0	1	5	0	0	0	327	0	0	1	1	0	6	1	1	0	0	0	1	3	0	0	0	0	0	0
