"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	515	"AWI"	515	-71	510	98	0	200	0	0	3	0	0	0	0	0	0	45	5	0	0	0	0	1	5	0	0	9	57	416	0	0	12	0	0	0	0	1	8	0	0	3	7
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	525	"AWI"	525	53	1298	438	0	178	0	0	4	0	0	0	3	0	0	10	9	0	0	0	0	0	1	0	2	4	159	454	0	0	16	0	0	0	0	0	3	0	0	1	3
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	535	"AWI"	535	229	1897	813	0	124	0	0	1	0	0	0	1	0	0	6	8	0	0	0	0	2	2	0	0	4	147	640	0	0	13	0	0	0	0	0	2	0	0	1	1
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	545	"AWI"	545	447	2391	1196	0	105	0	0	0	0	0	0	3	0	0	33	2	0	0	0	1	0	2	1	0	6	340	351	0	0	15	0	0	0	0	1	1	1	0	8	5
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	555	"AWI"	555	692	2876	1582	0	79	0	0	1	0	0	0	0	0	0	12	4	0	0	0	1	0	0	0	0	0	274	477	0	0	21	0	0	0	0	0	0	0	0	3	3
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	565	"AWI"	565	947	3323	1965	0	107	0	0	2	0	0	0	1	0	0	24	3	0	0	0	0	0	3	0	0	4	131	447	0	0	16	0	0	0	0	0	0	0	0	4	5
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	575	"AWI"	575	1234	3751	2352	0	165	1	0	1	0	0	0	0	0	0	60	4	0	0	0	0	0	2	0	0	0	148	259	0	0	22	0	0	0	0	0	2	0	1	9	17
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	585	"AWI"	585	1550	4144	2747	0	154	0	0	6	0	0	0	1	0	0	55	6	0	0	0	0	0	3	1	0	1	280	197	0	0	42	0	0	0	0	0	0	0	0	22	34
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	595	"AWI"	595	1854	4537	3122	0	202	0	0	8	0	0	0	1	0	0	83	8	0	0	0	0	0	6	0	0	1	195	205	0	0	55	0	0	0	0	0	1	0	0	21	48
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	605	"AWI"	605	2209	4958	3529	0	206	0	0	6	0	0	0	0	0	0	83	4	0	0	0	0	0	6	0	0	1	218	219	0	0	81	0	0	0	0	0	0	0	1	40	68
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	615	"AWI"	615	2567	5352	3928	1	191	1	0	3	0	0	0	0	0	0	83	13	0	0	0	0	0	6	0	0	0	336	128	0	0	38	0	0	2	0	0	0	0	0	37	48
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	625	"AWI"	625	2952	5720	4341	0	182	1	0	2	0	0	1	0	0	0	108	1	0	0	0	0	0	2	0	0	3	183	301	0	0	39	0	0	2	0	0	1	0	0	44	22
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	630	"AWI"	630	3095	5891	4538	0	231	0	1	4	0	0	0	0	0	0	115	12	0	0	0	0	0	10	0	0	0	56	142	0	0	60	0	0	2	0	0	4	1	0	20	21
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	635	"AWI"	635	3314	6005	4717	4	276	4	0	4	5	0	0	0	0	0	144	23	0	0	0	0	0	18	0	0	1	258	177	0	0	95	0	0	7	0	1	2	0	0	75	30
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	640	"AWI"	640	3469	6189	4897	1	169	0	0	4	0	0	0	0	0	0	147	3	0	0	0	0	0	8	0	0	0	169	104	0	0	65	0	0	0	0	0	0	3	0	36	45
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	645	"AWI"	645	3710	6331	5096	1	228	0	0	6	0	0	0	0	0	0	154	2	0	0	0	0	0	2	0	0	0	92	108	0	0	57	0	0	3	0	0	1	1	0	33	62
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	655	"AWI"	655	4084	6659	5478	0	281	0	0	4	0	0	0	0	0	0	129	4	0	0	0	0	0	2	0	0	0	91	165	0	0	40	0	0	0	0	0	0	0	0	80	48
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	665	"AWI"	665	4545	6979	5859	0	288	1	0	5	0	0	0	0	0	0	100	2	0	0	0	0	0	0	0	0	0	64	159	0	0	24	0	0	0	0	0	1	0	0	99	71
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	675	"AWI"	675	4990	7266	6250	0	273	0	0	3	0	0	0	0	0	0	135	2	0	0	0	0	0	0	0	0	0	23	178	0	0	11	0	0	0	0	0	0	0	0	88	69
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	685	"AWI"	685	5441	7534	6668	0	259	0	0	5	0	0	0	0	0	0	186	7	0	0	0	0	0	7	1	0	0	7	173	0	0	25	0	0	0	0	0	1	0	0	84	123
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	695	"AWI"	695	5925	7774	7069	0	271	0	0	1	0	0	0	1	0	0	173	2	0	0	0	0	0	4	0	0	0	6	128	0	0	21	0	0	0	0	0	0	0	0	56	99
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	705	"AWI"	705	6486	7996	7445	0	275	0	0	2	0	0	0	0	0	0	146	4	0	0	0	0	0	1	0	0	0	4	153	0	0	8	0	0	0	0	0	1	0	0	44	79
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	715	"AWI"	715	7166	8176	7804	0	255	0	0	3	0	0	0	1	0	0	184	3	0	0	0	0	0	0	0	0	0	11	302	0	0	16	0	0	0	0	0	0	0	0	49	97
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	725	"AWI"	725	8002	8368	8185	0	317	0	0	1	0	0	0	0	0	0	241	2	0	0	0	0	0	2	0	0	0	2	175	0	0	4	0	0	0	0	0	1	0	0	11	82
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	735	"AWI"	735	8237	9260	8640	0	236	0	0	0	0	0	0	0	0	0	71	5	0	0	0	0	0	0	0	0	0	2	175	0	0	4	0	0	0	0	1	1	0	0	3	57
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	745	"AWI"	745	8498	10108	9147	0	211	1	0	2	0	0	0	0	0	0	122	3	0	0	0	0	0	0	0	0	0	1	220	0	0	4	0	0	0	0	0	1	0	0	0	50
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	755	"AWI"	755	8822	10699	9672	0	263	1	0	1	0	0	0	0	0	0	122	2	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	2	2	0	1	54
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	765	"AWI"	765	9212	11162	10193	0	296	0	0	2	0	0	0	1	0	0	101	2	0	0	0	0	0	0	0	0	0	0	308	0	0	3	0	0	0	0	0	9	0	0	0	44
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	775	"AWI"	775	9731	11531	10736	0	247	1	0	6	0	0	0	1	0	0	58	15	0	0	0	0	0	0	1	0	0	3	375	0	0	0	0	0	6	0	0	4	0	0	0	37
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	780	"AWI"	780	9941	11759	11007	0	4	1	0	1	0	0	0	0	0	0	6	6	1	0	0	0	0	0	2	0	0	2	513	0	0	0	0	0	0	0	0	0	1	1	0	4
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	785	"AWI"	785	10388	11875	11247	0	0	1	0	5	0	0	0	0	0	0	5	15	3	0	0	0	0	0	1	0	0	0	416	0	0	0	0	2	0	0	0	3	0	0	0	5
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	790	"AWI"	790	10635	12116	11514	0	1	3	1	24	0	741	0	0	0	0	1	40	27	0	0	0	0	0	21	0	0	3	197	2	0	0	0	0	7	0	1	18	1	0	1	4
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	795	"AWI"	795	11273	12245	11721	0	8	1	0	11	0	561	0	0	0	0	4	31	2	0	0	0	0	0	6	0	0	14	484	0	0	0	0	0	0	0	0	8	0	0	0	1
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	805	"AWI"	805	11706	12916	12201	0	2	4	2	26	0	929	0	4	0	0	0	57	42	0	0	0	0	0	50	0	0	1	199	0	0	0	0	0	0	1	0	19	0	0	0	1
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	815	"AWI"	815	11976	13981	12676	0	0	14	0	25	0	442	0	0	0	2	0	40	9	0	0	0	0	0	78	0	0	16	567	0	0	0	0	0	0	0	1	18	0	1	0	0
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	825	"AWI"	825	12263	14861	13202	0	102	45	0	144	0	526	0	0	1	1	12	125	0	1	0	0	0	0	61	0	4	13	369	0	0	0	0	2	0	4	2	28	0	0	0	2
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	835	"AWI"	835	12544	15651	13722	0	41	30	0	84	0	408	1	0	1	0	12	111	1	0	0	0	0	0	43	0	0	8	350	0	0	0	0	0	0	0	0	18	0	1	0	1
26156	45410	"Lake Jarveotsa"	59.03333	24.28333	845	"AWI"	845	12896	16418	14232	0	28	19	2	44	0	159	0	1	0	0	18	54	0	2	0	0	0	0	36	0	0	3	166	0	0	0	0	0	5	1	0	0	0	0	0	0
