"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16319	25318	"Nataloup"	47.2275	4.03528	0	"AWI"	0	-153	6	-68	2	0	53	1	1	0	1	0	0	177	1	0	0	0	0	4	0	0	14	0	12	0	0	0	0	0	21	4	2	0	0	0	0	0	1	0	0	0	0	0	0	10	1	3	29	0	235	0	0	0	5	35	8	0	0	0	0	8	0	0	0	0	0	0	1	1	6	0	0
16319	25318	"Nataloup"	47.2275	4.03528	4	"AWI"	4	-99	243	20	1	0	25	1	5	0	0	1	0	140	1	0	0	0	0	14	0	0	37	0	45	0	0	0	0	0	26	2	3	0	0	0	0	1	1	3	0	0	0	0	0	16	0	3	24	0	257	0	0	0	0	64	3	0	0	0	0	17	0	0	0	0	0	0	1	2	3	0	0
16319	25318	"Nataloup"	47.2275	4.03528	8	"AWI"	8	-41	404	122	1	0	15	1	1	0	1	0	0	91	1	0	0	0	0	7	0	0	16	0	124	0	0	0	0	0	13	2	5	0	0	0	0	0	2	1	0	0	0	0	0	10	0	2	18	0	0	0	0	0	0	68	2	0	0	2	0	16	0	0	0	0	0	0	1	0	1	1	0
16319	25318	"Nataloup"	47.2275	4.03528	12	"AWI"	12	13	530	223	0	0	27	1	0	0	0	0	0	60	2	0	0	0	0	3	0	0	34	0	124	0	0	3	0	0	57	4	1	0	0	0	0	0	3	2	0	0	0	0	0	8	0	1	4	0	0	0	0	0	0	70	5	0	0	0	0	41	0	0	1	1	0	0	0	0	5	0	0
16319	25318	"Nataloup"	47.2275	4.03528	16	"AWI"	16	79	662	328	1	1	16	2	0	0	0	1	0	38	1	0	0	2	0	4	0	0	25	0	86	0	0	0	0	0	31	6	0	0	0	0	0	0	1	2	0	0	0	0	0	7	0	0	4	0	0	0	1	0	0	66	2	0	0	0	0	39	0	0	1	0	0	0	0	0	3	0	0
16319	25318	"Nataloup"	47.2275	4.03528	20	"AWI"	20	138	816	434	0	1	61	0	0	0	0	0	0	81	0	0	0	0	0	1	0	0	27	0	37	0	0	0	0	0	26	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	41	12	0	0	3	0	44	0	0	0	0	0	0	2	1	1	0	0
16319	25318	"Nataloup"	47.2275	4.03528	24	"AWI"	24	214	921	543	0	0	194	0	1	0	0	0	0	975	2	0	0	0	0	1	0	0	84	0	9	0	0	2	0	0	57	0	1	0	0	0	0	1	0	1	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	49	12	0	0	7	11	38	0	0	0	2	0	0	0	0	1	0	0
16319	25318	"Nataloup"	47.2275	4.03528	28	"AWI"	28	313	1017	648	0	0	33	0	0	0	0	1	0	143	0	0	0	0	0	0	0	0	21	0	22	0	0	0	0	0	6	0	0	0	0	1	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	46	1	0	0	1	0	7	0	0	2	0	0	0	0	0	2	0	0
16319	25318	"Nataloup"	47.2275	4.03528	32	"AWI"	32	406	1105	751	0	0	23	1	0	0	0	0	0	170	0	0	0	0	0	1	0	0	66	0	40	0	0	7	0	0	24	1	0	0	0	0	0	0	1	1	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	71	0	0	0	1	0	9	0	0	0	0	1	0	0	1	1	0	0
16319	25318	"Nataloup"	47.2275	4.03528	36	"AWI"	36	501	1204	859	1	0	17	1	0	0	0	1	0	14	0	0	0	0	0	0	1	0	19	0	15	0	0	0	0	0	16	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	24	0	0	0	2	0	7	0	0	3	0	0	0	0	1	2	0	0
16319	25318	"Nataloup"	47.2275	4.03528	40	"AWI"	40	597	1292	962	0	1	57	0	0	0	0	2	0	17	1	0	0	0	0	0	0	0	33	0	20	0	0	0	0	0	20	1	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	19	3	0	0	2	0	23	0	0	1	0	0	0	0	0	0	0	0
16319	25318	"Nataloup"	47.2275	4.03528	44	"AWI"	44	693	1370	1066	0	0	63	0	0	0	0	3	0	31	0	0	0	0	0	0	0	0	57	0	1	0	0	0	0	0	17	24	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	1	0	0	0	0	0	0	20	1	0	0	2	0	40	0	0	0	0	0	0	0	0	0	0	0
16319	25318	"Nataloup"	47.2275	4.03528	48	"AWI"	48	816	1446	1168	1	1	38	0	0	0	0	1	0	6	1	0	0	0	1	0	0	0	23	0	14	0	0	0	0	0	14	3	1	1	0	0	0	0	1	3	0	0	0	1	0	8	0	1	2	0	0	0	0	0	0	53	2	0	0	1	0	126	0	0	0	0	0	0	0	0	2	0	0
16319	25318	"Nataloup"	47.2275	4.03528	52	"AWI"	52	945	1521	1272	1	0	363	0	0	0	0	2	0	27	0	0	0	0	2	0	0	0	70	0	44	0	0	0	0	0	142	0	3	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	1	86	10	0	0	4	0	32	0	0	2	0	0	0	3	1	3	0	0
16319	25318	"Nataloup"	47.2275	4.03528	56	"AWI"	56	1080	1595	1376	2	0	169	0	0	0	0	2	0	13	0	0	0	0	0	1	0	0	31	0	56	0	0	0	0	0	124	3	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	55	4	1	0	1	9	5	0	0	0	1	0	0	1	1	1	0	0
16319	25318	"Nataloup"	47.2275	4.03528	60	"AWI"	60	1226	1658	1485	0	0	440	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	77	0	18	0	0	0	0	0	55	5	9	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	45	2	0	0	2	0	5	0	0	0	0	0	1	0	1	0	0	0
16319	25318	"Nataloup"	47.2275	4.03528	64	"AWI"	64	1457	1689	1571	0	0	246	1	0	0	0	0	0	52	1	0	0	0	0	0	0	0	33	0	21	0	0	0	0	0	58	16	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	50	4	0	0	1	0	9	0	0	6	1	0	0	1	0	2	0	0
16319	25318	"Nataloup"	47.2275	4.03528	68	"AWI"	68	1569	1953	1728	0	0	444	0	0	0	0	0	0	43	0	0	0	0	1	0	0	1	72	0	24	0	0	0	0	0	39	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	51	2	0	0	2	0	4	0	0	0	0	0	0	2	1	0	0	0
